t,v_battery,kp_m1,kd_m1,p_des_m1,v_des_m1,t_des_m1,p_cur_m1,v_cur_m1,t_cur_m1,kp_m2,kd_m2,p_des_m2,v_des_m2,t_des_m2,p_cur_m2,v_cur_m2,t_cur_m2,sh_el,sh_el_dot,sh_hr,el_fe,el_fe_dot,sh_force_des,el_force_des,force_cur,trigger,gravity_support_shoulder,gravity_support_elbow
0.00674,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.571,0.016,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.01951,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.571,0.016,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.02974,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.571,0.013,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.04217,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.571,0.010,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.05236,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.571,0.008,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.06253,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,3.541,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.07261,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,2.659,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.08271,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,1.936,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.09279,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,1.382,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.10288,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,0.965,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.11295,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,0.653,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.12305,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,0.423,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.13312,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,0.254,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.14322,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,0.132,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.15330,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,0.045,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.16337,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,-0.015,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.17345,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,-0.055,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.18354,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,-0.081,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.19362,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,-0.096,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.20370,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,-0.104,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.21377,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,-0.107,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.22384,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,-0.106,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.23392,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,-0.103,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.24400,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,-0.098,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.25408,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,-0.093,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.26415,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,-0.087,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
0.27422,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.704,-0.080,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.00,0.00
