time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00450,1.287,-0.214,0.00
0.01556,1.276,-0.213,0.00
0.02784,1.276,-0.213,0.00
0.03808,1.276,-0.213,0.00
0.04832,1.251,-0.211,0.00
0.05901,1.251,-0.209,0.00
0.06948,1.251,-0.209,0.00
0.07986,1.251,-0.209,0.00
0.09251,1.235,-0.210,0.00
0.10290,1.219,-0.216,0.00
0.11341,1.210,-0.229,0.00
0.12400,1.210,-0.249,0.00
0.13416,1.206,-0.249,0.00
0.14441,1.206,-0.249,0.00
0.15483,1.201,-0.275,0.00
0.16672,1.195,-0.275,0.00
0.17748,1.195,-0.307,0.00
0.18765,1.188,-0.337,0.00
0.19904,1.188,-0.337,0.00
0.20904,1.179,-0.366,0.00
0.21952,1.179,-0.366,0.00
0.23074,1.177,-0.390,0.00
0.24168,1.177,-0.390,0.00
0.25224,1.177,-0.414,0.00
0.26259,1.173,-0.414,0.00
0.27279,1.167,-0.431,0.00
0.28295,1.167,-0.431,0.00
0.29325,1.152,-0.439,0.00
0.30350,1.152,-0.439,0.00
0.31427,1.136,-0.445,0.00
0.32495,1.136,-0.445,0.00
0.33592,1.126,-0.447,0.00
0.34628,1.126,-0.447,0.00
0.35646,1.121,-0.445,0.00
0.36679,1.116,-0.440,0.00
0.37793,1.116,-0.440,0.00
0.38856,1.114,-0.436,0.00
0.39950,1.114,-0.436,0.00
0.41038,1.115,-0.429,0.00
0.42098,1.115,-0.429,0.00
0.43150,1.113,-0.422,0.00
0.44280,1.113,-0.422,0.00
0.45335,1.112,-0.421,0.00
0.46486,1.112,-0.421,0.00
0.47588,1.108,-0.421,0.00
0.48650,1.100,-0.417,0.00
0.49706,1.100,-0.417,0.00
0.50749,1.100,-0.417,0.00
0.51816,1.091,-0.406,0.00
0.52884,1.080,-0.392,0.00
0.53903,1.080,-0.392,0.00
0.54963,1.068,-0.376,0.00
0.56023,1.068,-0.376,0.00
0.57180,1.059,-0.358,0.00
0.58336,1.059,-0.358,0.00
0.59373,1.054,-0.340,0.00
0.60837,1.054,-0.340,0.00
0.61873,1.054,-0.327,0.00
0.62904,1.054,-0.314,0.00
0.63948,1.054,-0.314,0.00
0.65018,1.054,-0.304,0.00
0.66047,1.054,-0.304,0.00
0.67170,1.050,-0.299,0.00
0.68279,1.050,-0.299,0.00
0.69420,1.039,-0.303,0.00
0.70446,1.039,-0.303,0.00
0.71483,1.020,-0.314,0.00
0.72612,1.002,-0.314,0.00
0.73669,1.002,-0.327,0.00
0.74682,0.993,-0.342,0.00
0.75705,0.993,-0.342,0.00
0.76766,0.981,-0.357,0.00
0.77795,0.981,-0.357,0.00
