time,old_sh_el_deg,sh_el_deg,stim_curr
0.00370,-1.266,-1.266,0.00
0.01454,-1.272,-1.272,0.00
0.02472,-1.272,-1.274,0.00
0.03502,-1.274,-1.274,0.00
0.04520,-1.274,-1.275,0.00
0.05551,-1.275,-1.275,0.00
0.06571,-1.275,-1.277,0.00
0.07654,-1.277,-1.277,0.00
0.08669,-1.277,-1.280,0.00
0.09687,-1.280,-1.280,0.00
0.10703,-1.280,-1.280,0.00
0.11734,-1.278,-1.278,0.00
0.12750,-1.278,-1.280,0.00
0.13766,-1.280,-1.280,0.00
0.14785,-1.280,-1.279,0.00
0.15805,-1.279,-1.279,0.00
0.16822,-1.276,-1.276,0.00
0.17837,-1.276,-1.276,0.00
0.18862,-1.282,-1.282,0.00
0.19881,-1.282,-1.282,0.00
0.20898,-1.292,-1.292,0.00
0.21925,-1.292,-1.292,0.00
0.22942,-1.292,-1.302,0.00
0.23968,-1.302,-1.306,0.00
0.25035,-1.306,-1.306,0.00
0.26052,-1.306,-1.306,0.00
0.27067,-1.309,-1.309,0.00
0.28184,-1.309,-1.309,0.00
0.29199,-1.311,-1.311,0.00
0.30215,-1.311,-1.313,0.00
0.31232,-1.313,-1.313,0.00
0.32248,-1.313,-1.320,0.00
0.33265,-1.320,-1.320,0.00
0.34281,-1.320,-1.330,0.00
0.35297,-1.330,-1.330,0.00
0.36314,-1.340,-1.340,0.00
0.37330,-1.340,-1.340,0.00
0.38347,-1.340,-1.349,0.00
0.39363,-1.349,-1.349,0.00
0.40379,-1.356,-1.356,0.00
0.41438,-1.356,-1.356,0.00
0.42493,-1.361,-1.361,0.00
0.43529,-1.361,-1.361,0.00
0.44591,-1.370,-1.370,0.00
0.45676,-1.370,-1.370,0.00
0.46706,-1.380,-1.380,0.00
0.47802,-1.380,-1.380,0.00
0.48801,-1.390,-1.390,0.00
0.49817,-1.390,-1.390,0.00
0.50832,-1.403,-1.403,0.00
0.51849,-1.403,-1.403,0.00
0.52866,-1.417,-1.417,0.00
0.53924,-1.417,-1.417,0.00
0.54941,-1.433,-1.433,0.00
0.55959,-1.433,-1.447,0.00
0.56974,-1.447,-1.447,0.00
0.57989,-1.447,-1.447,0.00
0.59006,-1.459,-1.459,0.00
0.60111,-1.459,-1.459,0.00
0.61130,-1.466,-1.466,0.00
0.62146,-1.466,-1.464,0.00
0.63160,-1.464,-1.464,0.00
0.64211,-1.464,-1.464,0.00
0.65227,-1.467,-1.467,0.00
0.66242,-1.467,-1.462,0.00
0.67271,-1.462,-1.462,0.00
0.68316,-1.462,-1.458,0.00
0.69343,-1.458,-1.458,0.00
0.70381,-1.461,-1.461,0.00
0.71411,-1.461,-1.461,0.00
0.72465,-1.470,-1.470,0.00
0.73548,-1.470,-1.470,0.00
0.74565,-1.477,-1.477,0.00
0.75622,-1.477,-1.477,0.00
0.76646,-1.485,-1.485,0.00
0.77697,-1.485,-1.485,0.00
0.78734,-1.492,-1.492,0.00
0.79759,-1.492,-1.492,0.00
0.80775,-1.496,-1.496,0.00
0.81817,-1.496,-1.496,0.00
0.82833,-1.492,-1.492,0.00
0.83848,-1.492,-1.492,0.00
0.84864,-1.488,-1.488,0.00
0.85879,-1.488,-1.488,0.00
0.86893,-1.487,-1.487,0.00
0.87908,-1.487,-1.487,0.00
0.88922,-1.492,-1.492,0.00
0.89937,-1.492,-1.492,0.00
0.90963,-1.499,-1.499,0.00
0.91977,-1.499,-1.499,0.00
0.92993,-1.503,-1.503,0.00
0.94008,-1.503,-1.503,0.00
0.95023,-1.506,-1.506,0.00
0.96038,-1.506,-1.514,0.00
0.97052,-1.514,-1.514,0.00
0.98066,-1.514,-1.521,0.00
0.99080,-1.521,-1.521,0.00
1.00095,-1.521,-1.521,0.00
1.01109,-1.522,-1.522,0.00
1.02124,-1.522,-1.522,0.00
1.03137,-1.513,-1.513,0.00
1.04152,-1.513,-1.494,0.00
1.05166,-1.494,-1.494,0.00
1.06182,-1.494,-1.467,0.00
1.07198,-1.467,-1.467,0.00
1.08212,-1.467,-1.437,0.00
1.09227,-1.437,-1.437,0.00
1.10239,-1.437,-1.437,0.00
1.11253,-1.399,-1.399,0.00
1.12268,-1.399,-1.357,0.00
1.13282,-1.357,-1.357,0.00
1.14297,-1.357,-1.314,0.00
1.15311,-1.314,-1.314,0.00
1.16326,-1.314,-1.280,0.00
1.17339,-1.280,-1.280,0.00
1.18369,-1.280,-1.236,0.00
1.19408,-1.236,-1.236,0.00
1.20422,-1.236,-1.236,0.00
1.21437,-1.189,-1.189,0.00
1.22452,-1.189,-1.145,0.00
1.23479,-1.145,-1.145,0.00
1.24493,-1.100,-1.100,0.00
1.25519,-1.100,-1.100,0.00
1.26534,-1.052,-1.052,0.00
1.27566,-1.052,-1.052,0.00
1.28582,-1.003,-1.003,0.00
1.29631,-1.003,-1.003,0.00
1.30647,-0.959,-0.959,0.00
1.31680,-0.959,-0.959,0.00
1.32765,-0.924,-0.924,0.00
1.33781,-0.924,-0.924,0.00
1.34795,-0.889,-0.889,0.00
1.35822,-0.889,-0.889,0.00
1.36837,-0.853,-0.853,0.00
1.37852,-0.853,-0.853,0.00
1.38867,-0.815,-0.815,0.00
1.39881,-0.815,-0.787,0.00
1.40895,-0.787,-0.787,0.00
1.41910,-0.787,-0.787,0.00
1.42923,-0.769,-0.769,0.00
1.43938,-0.769,-0.769,0.00
1.44953,-0.772,-0.772,0.00
1.45966,-0.772,-0.772,0.00
1.46980,-0.797,-0.797,0.00
1.47993,-0.797,-0.848,0.00
1.49034,-0.848,-0.848,0.00
1.50049,-0.848,-0.848,0.00
1.51062,-0.914,-0.914,0.00
1.52077,-0.914,-0.914,0.00
1.53092,-0.977,-0.977,0.00
1.54113,-0.977,-0.977,0.00
1.55128,-1.028,-1.028,0.00
1.56143,-1.028,-1.028,0.00
1.57158,-1.028,-1.057,0.00
1.58173,-1.057,-1.065,0.00
1.59188,-1.065,-1.065,0.00
1.60203,-1.065,-1.059,0.00
1.61224,-1.059,-1.059,0.00
1.62240,-1.059,-1.051,0.00
1.63254,-1.051,-1.051,0.00
1.64267,-1.051,-1.051,0.00
1.65281,-1.053,-1.053,0.00
1.66295,-1.053,-1.062,0.00
1.67310,-1.062,-1.062,0.00
1.68325,-1.062,-1.077,0.00
1.69339,-1.077,-1.077,0.00
1.70370,-1.077,-1.092,0.00
