time,old_sh_el_deg,sh_el_deg,stim_curr
0.00883,8.251,8.249,0.00
0.01902,8.249,8.249,0.00
0.02919,8.249,8.243,0.00
0.03936,8.243,8.243,0.00
0.04952,8.237,8.237,0.00
0.06001,8.237,8.237,0.00
0.07018,8.233,8.233,0.00
0.08036,8.233,8.233,0.00
0.09053,8.231,8.231,0.00
0.10070,8.231,8.231,0.00
0.11086,8.237,8.237,0.00
0.12111,8.237,8.237,0.00
0.13158,8.244,8.244,0.00
0.14208,8.244,8.254,0.00
0.15251,8.254,8.254,0.00
0.16283,8.254,8.263,0.00
0.17337,8.263,8.263,0.00
0.18353,8.263,8.270,0.00
0.19369,8.270,8.270,0.00
0.20385,8.270,8.270,0.00
0.21402,8.277,8.277,0.00
0.22419,8.277,8.284,0.00
0.23436,8.284,8.284,0.00
0.24452,8.284,8.286,0.00
0.25485,8.286,8.286,0.00
0.26513,8.286,8.286,0.00
0.27533,8.287,8.287,0.00
0.28550,8.287,8.285,0.00
0.29566,8.285,8.285,0.00
0.30582,8.285,8.280,0.00
0.31599,8.280,8.280,0.00
0.32634,8.280,8.273,0.00
0.33663,8.273,8.273,0.00
0.34685,8.267,8.267,0.00
0.35727,8.267,8.267,0.00
0.36762,8.265,8.265,0.00
0.37815,8.265,8.265,0.00
0.38831,8.259,8.259,0.00
0.39852,8.259,8.259,0.00
0.40868,8.245,8.245,0.00
0.41887,8.245,8.245,0.00
0.42925,8.230,8.230,0.00
0.43942,8.230,8.226,0.00
0.44958,8.226,8.226,0.00
0.45988,8.226,8.226,0.00
0.47014,8.221,8.221,0.00
0.48165,8.221,8.218,0.00
0.49199,8.218,8.218,0.00
0.50262,8.218,8.218,0.00
0.51282,8.217,8.217,0.00
0.52314,8.217,8.217,0.00
0.53330,8.216,8.216,0.00
0.54347,8.216,8.219,0.00
0.55364,8.219,8.219,0.00
0.56397,8.219,8.219,0.00
0.57413,8.219,8.221,0.00
0.58484,8.221,8.221,0.00
0.59500,8.223,8.223,0.00
0.60560,8.220,8.220,0.00
0.61577,8.220,8.220,0.00
0.62667,8.220,8.220,0.00
0.63677,8.220,8.220,0.00
0.64693,8.220,8.221,0.00
0.65719,8.221,8.221,0.00
0.66735,8.223,8.223,0.00
0.67751,8.223,8.223,0.00
0.68773,8.223,8.222,0.00
0.69791,8.222,8.222,0.00
0.70808,8.219,8.219,0.00
0.71856,8.219,8.219,0.00
0.72876,8.217,8.217,0.00
0.73892,8.217,8.217,0.00
0.75095,8.217,8.210,0.00
0.76146,8.210,8.210,0.00
0.77213,8.201,8.201,0.00
0.78225,8.201,8.201,0.00
0.79243,8.195,8.195,0.00
0.80260,8.195,8.189,0.00
0.81276,8.189,8.189,0.00
0.82306,8.189,8.189,0.00
0.83343,8.183,8.183,0.00
