time,old_sh_el_deg,sh_el_deg,stim_curr
0.01414,3.939,3.939,0.00
0.02431,3.975,3.975,0.00
0.03527,3.975,3.975,0.00
0.04547,4.015,4.015,0.00
0.05564,4.054,4.054,0.00
0.06599,4.054,4.092,0.00
0.07616,4.092,4.092,0.00
0.08674,4.092,4.129,0.00
0.09690,4.129,4.129,0.00
0.10707,4.129,4.164,0.00
0.11723,4.164,4.164,0.00
0.12740,4.198,4.198,0.00
0.13757,4.198,4.198,0.00
0.14773,4.198,4.198,0.00
0.15790,4.230,4.230,0.00
0.16807,4.230,4.260,0.00
0.17824,4.260,4.260,0.00
0.18841,4.290,4.290,0.00
0.19857,4.290,4.290,0.00
0.20871,4.290,4.320,0.00
0.21898,4.320,4.320,0.00
0.22914,4.353,4.353,0.00
0.23931,4.353,4.386,0.00
0.24986,4.386,4.386,0.00
0.26014,4.386,4.421,0.00
0.27074,4.421,4.421,0.00
0.28106,4.421,4.456,0.00
0.29186,4.456,4.456,0.00
0.30204,4.456,4.490,0.00
0.31231,4.490,4.490,0.00
0.32249,4.490,4.490,0.00
0.33267,4.490,4.526,0.00
0.34286,4.526,4.526,0.00
0.35302,4.568,4.568,0.00
0.36319,4.568,4.568,0.00
0.37336,4.604,4.604,0.00
0.38352,4.604,4.604,0.00
0.39368,4.641,4.641,0.00
0.40385,4.641,4.686,0.00
0.41402,4.686,4.686,0.00
0.42419,4.686,4.686,0.00
0.43685,4.727,4.727,0.00
0.44701,4.727,4.761,0.00
0.45718,4.761,4.761,0.00
0.46733,4.761,4.794,0.00
0.47771,4.794,4.794,0.00
0.48933,4.838,4.838,0.00
0.49968,4.838,4.893,0.00
0.51004,4.893,4.893,0.00
0.52036,4.893,4.893,0.00
0.53081,4.893,4.949,0.00
0.54111,4.949,4.949,0.00
0.55459,4.998,4.998,0.00
0.56487,5.044,5.044,0.00
0.57522,5.044,5.044,0.00
0.58552,5.089,5.089,0.00
0.59595,5.089,5.089,0.00
0.60643,5.089,5.138,0.00
0.61675,5.138,5.138,0.00
0.62708,5.138,5.138,0.00
0.63740,5.188,5.188,0.00
0.64772,5.188,5.245,0.00
0.65806,5.245,5.245,0.00
0.66842,5.309,5.309,0.00
0.67890,5.309,5.309,0.00
0.68920,5.391,5.391,0.00
0.69953,5.391,5.391,0.00
0.70991,5.473,5.473,0.00
0.72053,5.473,5.473,0.00
0.73153,5.532,5.532,0.00
0.74172,5.532,5.579,0.00
0.75197,5.579,5.579,0.00
0.76240,5.579,5.626,0.00
0.77265,5.626,5.626,0.00
0.78348,5.626,5.626,0.00
0.79364,5.668,5.668,0.00
0.80381,5.668,5.707,0.00
0.81397,5.707,5.707,0.00
0.82461,5.707,5.707,0.00
0.83476,5.746,5.746,0.00
0.84506,5.746,5.781,0.00
0.85536,5.781,5.781,0.00
0.86575,5.781,5.814,0.00
0.87592,5.814,5.814,0.00
0.88609,5.814,5.841,0.00
0.89624,5.841,5.841,0.00
0.90641,5.852,5.852,0.00
0.91656,5.852,5.852,0.00
0.92671,5.852,5.852,0.00
0.93710,5.860,5.860,0.00
0.94775,5.871,5.871,0.00
0.95799,5.871,5.871,0.00
0.96814,5.878,5.878,0.00
0.97839,5.878,5.878,0.00
0.98855,5.879,5.879,0.00
0.99898,5.879,5.879,0.00
1.00913,5.878,5.878,0.00
1.01931,5.878,5.878,0.00
1.02946,5.873,5.873,0.00
1.04027,5.873,5.873,0.00
1.05046,5.870,5.870,0.00
1.06061,5.870,5.871,0.00
1.07076,5.871,5.871,0.00
1.08109,5.871,5.872,0.00
1.09140,5.872,5.872,0.00
1.10173,5.872,5.872,0.00
1.11218,5.872,5.872,0.00
1.12248,5.872,5.872,0.00
1.13265,5.873,5.873,0.00
1.14280,5.873,5.874,0.00
1.15295,5.874,5.874,0.00
1.16326,5.874,5.873,0.00
1.17341,5.873,5.873,0.00
1.18354,5.873,5.874,0.00
1.19369,5.874,5.874,0.00
1.20383,5.874,5.876,0.00
1.21405,5.876,5.876,0.00
1.22422,5.876,5.881,0.00
1.23563,5.881,5.881,0.00
1.24579,5.881,5.885,0.00
1.25608,5.885,5.885,0.00
1.26624,5.888,5.888,0.00
1.27640,5.888,5.888,0.00
1.28657,5.891,5.891,0.00
1.29757,5.891,5.891,0.00
1.30773,5.893,5.893,0.00
1.31790,5.893,5.893,0.00
1.32807,5.894,5.894,0.00
1.33826,5.894,5.894,0.00
1.34847,5.896,5.896,0.00
1.35883,5.896,5.896,0.00
1.36900,5.896,5.895,0.00
1.37916,5.895,5.895,0.00
1.38953,5.889,5.889,0.00
1.39968,5.889,5.889,0.00
1.40985,5.883,5.883,0.00
1.42000,5.883,5.883,0.00
1.43016,5.866,5.866,0.00
1.44033,5.866,5.866,0.00
1.45047,5.847,5.847,0.00
1.46063,5.847,5.825,0.00
1.47079,5.825,5.825,0.00
1.48096,5.825,5.791,0.00
1.49128,5.791,5.791,0.00
1.50158,5.791,5.748,0.00
