time,old_sh_el_deg,sh_el_deg,stim_curr
0.00274,9.986,9.986,0.00
0.01290,9.986,9.987,0.00
0.02306,9.987,9.987,0.00
0.03322,9.987,9.991,0.00
0.04339,9.991,9.991,0.00
0.05356,9.991,9.995,0.00
0.06372,9.995,9.995,0.00
0.07396,9.995,9.995,0.00
0.09516,9.995,10.000,0.00
0.10535,10.000,10.005,0.00
0.12666,10.005,10.010,24.00
0.13685,10.010,10.024,24.00
0.14709,10.024,10.024,24.00
0.15896,10.024,10.024,24.00
0.16916,10.081,10.081,24.00
0.17933,10.081,10.081,24.00
0.19085,10.081,10.303,24.00
0.20105,10.303,10.578,24.00
0.21125,10.578,10.578,24.00
0.22289,10.578,10.782,24.00
0.23307,10.782,10.782,24.00
0.24324,10.949,10.949,24.00
0.25482,10.949,10.949,24.00
0.26501,11.123,11.123,24.00
0.27518,11.123,11.312,24.00
0.28708,11.312,11.312,24.00
0.29728,11.312,11.476,24.00
0.30750,11.476,11.476,24.00
0.33509,11.476,11.601,24.00
0.34528,11.601,11.685,24.00
0.36691,11.685,11.685,24.00
0.37712,11.725,11.735,24.00
0.39871,11.735,11.735,24.00
0.41027,11.732,11.732,24.00
0.43139,11.743,11.743,24.00
0.44158,11.767,11.767,24.00
0.46290,11.767,11.767,24.00
0.47309,11.800,11.830,24.00
0.48325,11.830,11.830,24.00
0.49509,11.830,11.830,24.00
0.50549,11.847,11.847,24.00
0.51570,11.847,11.864,24.00
0.52682,11.864,11.864,24.00
0.53702,11.864,11.897,24.00
0.54733,11.897,11.897,24.00
0.55932,11.946,11.946,24.00
0.56987,11.946,11.946,24.00
0.58016,12.008,12.008,24.00
0.59211,12.008,12.008,24.00
0.60229,12.076,12.076,24.00
0.61246,12.076,12.146,24.00
0.63926,12.146,12.146,24.00
0.64986,12.146,12.213,24.00
0.67139,12.276,12.276,24.00
0.68318,12.334,12.334,24.00
0.70265,12.334,12.334,24.00
0.71284,12.383,12.416,24.00
0.72298,12.416,12.416,0.00
0.73314,12.416,12.440,0.00
0.74327,12.440,12.440,0.00
0.75342,12.440,12.467,0.00
0.76355,12.467,12.467,0.00
0.77389,12.467,12.482,0.00
0.78403,12.482,12.482,0.00
0.79418,12.482,12.475,0.00
0.80436,12.475,12.475,0.00
0.81461,12.475,12.429,0.00
0.82476,12.429,12.429,0.00
0.83489,12.429,12.324,0.00
0.84504,12.324,12.324,0.00
0.85520,12.324,12.137,0.00
0.86534,12.137,12.137,0.00
0.87549,11.880,11.880,0.00
0.88562,11.880,11.880,0.00
0.89577,11.880,11.580,0.00
0.90591,11.580,11.580,0.00
0.91626,11.580,11.259,0.00
0.92654,11.259,11.259,0.00
0.93671,11.259,10.988,0.00
0.94685,10.988,10.988,0.00
0.95702,10.988,10.872,0.00
0.96732,10.872,10.872,0.00
0.97782,10.884,10.884,0.00
0.98802,10.884,10.884,0.00
0.99818,10.884,10.884,0.00
1.00897,10.970,10.970,0.00
1.01916,11.101,11.101,0.00
1.02931,11.101,11.101,0.00
1.03948,11.235,11.235,0.00
1.04980,11.235,11.235,0.00
1.05998,11.334,11.334,0.00
1.07032,11.334,11.334,0.00
1.08049,11.396,11.396,0.00
1.09065,11.396,11.435,0.00
1.10083,11.435,11.435,0.00
1.11156,11.435,11.435,0.00
1.12172,11.444,11.444,0.00
1.13286,11.444,11.444,0.00
1.14303,11.434,11.434,0.00
1.15320,11.434,11.430,0.00
1.16337,11.430,11.430,0.00
1.17353,11.430,11.458,0.00
1.18370,11.458,11.458,0.00
