time,old_sh_el_deg,sh_el_deg,stim_curr
0.00291,8.528,8.527,0.00
0.01326,8.527,8.527,0.00
0.02343,8.527,8.529,0.00
0.03366,8.529,8.529,0.00
0.04383,8.531,8.531,0.00
0.05414,8.531,8.531,0.00
0.06456,8.536,8.536,0.00
0.07487,8.536,8.536,0.00
0.08503,8.538,8.538,0.00
0.09781,8.538,8.538,0.00
0.10799,8.538,8.538,0.00
0.11816,8.538,8.538,0.00
0.12833,8.538,8.538,0.00
0.13871,8.538,8.538,0.00
0.14908,8.537,8.537,0.00
0.15930,8.537,8.537,0.00
0.16957,8.537,8.537,0.00
0.17974,8.537,8.537,0.00
0.18991,8.539,8.539,0.00
0.20007,8.539,8.539,0.00
0.21228,8.540,8.540,0.00
0.22245,8.540,8.534,0.00
0.23260,8.534,8.534,0.00
0.24277,8.534,8.534,0.00
0.25293,8.534,8.525,0.00
0.26309,8.525,8.521,0.00
0.27325,8.521,8.521,0.00
0.28350,8.521,8.524,0.00
0.29359,8.524,8.524,0.00
0.30375,8.524,8.532,0.00
0.31392,8.532,8.532,0.00
0.32406,8.538,8.538,0.00
0.33423,8.538,8.538,0.00
0.34446,8.538,8.541,0.00
0.35475,8.541,8.541,0.00
0.36491,8.539,8.539,0.00
0.37519,8.539,8.539,0.00
0.38536,8.534,8.534,0.00
0.39617,8.534,8.534,0.00
0.40653,8.529,8.529,0.00
0.41820,8.529,8.529,0.00
0.42854,8.527,8.527,0.00
0.43884,8.527,8.527,0.00
0.44900,8.527,8.527,0.00
0.45944,8.527,8.527,0.00
0.46957,8.530,8.530,0.00
0.48084,8.530,8.530,0.00
0.49100,8.534,8.534,0.00
0.50116,8.534,8.541,0.00
0.51139,8.541,8.541,0.00
0.52154,8.548,8.548,0.00
0.53170,8.548,8.548,0.00
0.54422,8.548,8.548,0.00
0.55489,8.553,8.553,0.00
0.56533,8.558,8.558,0.00
0.57714,8.558,8.558,0.00
0.58730,8.561,8.561,0.00
0.59767,8.561,8.561,0.00
0.60782,8.563,8.563,0.00
0.61835,8.563,8.563,0.00
0.62871,8.566,8.566,0.00
0.63886,8.566,8.566,0.00
0.64902,8.571,8.571,0.00
0.65917,8.571,8.576,0.00
0.66933,8.576,8.576,0.00
0.67948,8.576,8.583,0.00
0.68963,8.583,8.583,0.00
0.69978,8.583,8.591,0.00
0.71021,8.591,8.591,0.00
0.72050,8.591,8.591,0.00
0.73071,8.596,8.596,0.00
0.74087,8.596,8.596,0.00
0.75102,8.597,8.597,0.00
0.76118,8.597,8.597,0.00
0.77133,8.604,8.604,0.00
0.78147,8.604,8.604,0.00
0.79161,8.605,8.605,0.00
0.80176,8.605,8.605,0.00
0.81190,8.612,8.612,0.00
0.82207,8.612,8.612,0.00
0.83222,8.619,8.619,0.00
0.84247,8.619,8.624,0.00
0.85262,8.624,8.624,0.00
0.86276,8.624,8.624,0.00
0.87290,8.624,8.624,0.00
0.88305,8.624,8.623,0.00
