time,old_sh_el_deg,sh_el_deg,stim_curr
0.00209,9.641,9.641,0.00
0.01226,9.641,9.634,0.00
0.02242,9.634,9.634,0.00
0.03259,9.634,9.634,0.00
0.04298,9.634,9.630,0.00
0.05331,9.623,9.623,0.00
0.06383,9.616,9.616,0.00
0.07420,9.616,9.616,0.00
0.08471,9.616,9.616,0.00
0.09488,9.610,9.610,0.00
0.10538,9.609,9.609,0.00
0.11562,9.609,9.609,0.00
0.12578,9.609,9.609,0.00
0.13595,9.609,9.609,0.00
0.14612,9.609,9.609,0.00
0.15628,9.612,9.612,0.00
0.16645,9.612,9.612,0.00
0.17662,9.618,9.618,0.00
0.18678,9.617,9.617,0.00
0.19695,9.617,9.616,0.00
0.20712,9.616,9.616,0.00
0.21729,9.616,9.616,0.00
0.22758,9.616,9.615,0.00
0.23775,9.615,9.615,0.00
0.24791,9.615,9.611,0.00
0.25808,9.611,9.611,0.00
0.26824,9.601,9.601,0.00
0.27841,9.601,9.601,0.00
0.28867,9.590,9.590,0.00
0.29884,9.590,9.590,0.00
0.30901,9.584,9.584,0.00
0.31918,9.584,9.584,0.00
0.32934,9.584,9.576,0.00
0.33958,9.576,9.576,0.00
0.34974,9.576,9.576,0.00
0.35990,9.564,9.564,0.00
0.37007,9.564,9.558,0.00
0.38027,9.558,9.558,0.00
0.39059,9.553,9.553,0.00
0.40082,9.553,9.553,0.00
0.41099,9.552,9.552,0.00
0.42115,9.552,9.551,0.00
0.43132,9.551,9.551,0.00
0.44158,9.551,9.551,0.00
0.45174,9.550,9.550,0.00
0.46192,9.550,9.550,0.00
0.47208,9.550,9.547,0.00
0.48223,9.547,9.547,0.00
0.49240,9.545,9.545,0.00
0.50256,9.539,9.539,0.00
0.51275,9.539,9.539,0.00
0.52293,9.539,9.539,0.00
0.53310,9.539,9.533,0.00
0.54327,9.533,9.533,0.00
0.55344,9.533,9.529,0.00
0.56360,9.529,9.529,0.00
0.57384,9.526,9.526,0.00
0.58401,9.524,9.524,0.00
0.59418,9.524,9.524,0.00
0.60444,9.523,9.523,0.00
0.61460,9.523,9.523,0.00
0.62477,9.523,9.523,0.00
0.63530,9.520,9.520,0.00
0.64553,9.520,9.513,0.00
0.65569,9.513,9.513,0.00
0.66586,9.513,9.513,0.00
0.67602,9.506,9.506,0.00
0.68617,9.502,9.502,0.00
0.69633,9.502,9.502,0.00
0.70648,9.501,9.501,0.00
0.71675,9.501,9.501,0.00
0.72693,9.501,9.499,0.00
0.73709,9.499,9.499,0.00
0.74727,9.503,9.503,0.00
0.75744,9.503,9.503,0.00
0.76761,9.508,9.508,0.00
0.77777,9.508,9.508,0.00
0.78794,9.507,9.507,0.00
0.79824,9.507,9.507,0.00
0.80839,9.500,9.500,0.00
0.81856,9.500,9.500,0.00
0.82872,9.491,9.491,0.00
0.83890,9.491,9.491,0.00
0.84912,9.483,9.483,0.00
0.85928,9.483,9.483,0.00
0.86944,9.480,9.480,0.00
0.87962,9.480,9.480,0.00
0.88983,9.480,9.480,0.00
0.89999,9.480,9.487,0.00
0.91014,9.487,9.487,0.00
0.92031,9.487,9.493,0.00
0.93046,9.493,9.493,0.00
0.94062,9.493,9.497,0.00
0.95078,9.497,9.497,0.00
0.96093,9.497,9.501,0.00
0.97108,9.501,9.501,0.00
0.98157,9.501,9.504,0.00
0.99217,9.504,9.504,0.00
1.00245,9.504,9.502,0.00
1.01277,9.502,9.502,0.00
1.02293,9.502,9.497,0.00
1.03437,9.497,9.497,0.00
1.04463,9.493,9.493,0.00
1.05563,9.493,9.493,0.00
1.06578,9.492,9.492,0.00
1.07604,9.492,9.492,0.00
1.08646,9.492,9.497,0.00
1.09662,9.497,9.497,0.00
1.10677,9.501,9.501,0.00
1.11693,9.501,9.501,0.00
1.12710,9.503,9.503,0.00
1.13725,9.503,9.503,0.00
1.14751,9.507,9.507,0.00
1.15765,9.507,9.515,0.00
1.16802,9.515,9.515,0.00
1.17821,9.515,9.525,0.00
1.18846,9.525,9.525,0.00
1.19860,9.525,9.539,0.00
1.20875,9.539,9.539,0.00
1.21891,9.539,9.560,0.00
1.22928,9.560,9.560,0.00
1.23981,9.560,9.580,0.00
1.24997,9.580,9.580,0.00
1.26031,9.580,9.606,0.00
1.27062,9.606,9.606,0.00
1.28080,9.606,9.606,0.00
1.29096,9.631,9.631,0.00
1.30114,9.631,9.631,0.00
1.31127,9.646,9.646,0.00
1.32142,9.646,9.646,0.00
1.33168,9.651,9.651,0.00
1.34184,9.651,9.651,0.00
1.35200,9.659,9.659,0.00
1.36216,9.659,9.669,0.00
1.37232,9.669,9.669,0.00
1.38247,9.669,9.669,0.00
1.39263,9.681,9.681,0.00
1.40279,9.681,9.698,0.00
1.41310,9.698,9.698,0.00
1.42316,9.711,9.711,0.00
1.43338,9.711,9.711,0.00
1.44372,9.718,9.718,0.00
1.45403,9.718,9.718,0.00
1.46409,9.720,9.720,0.00
1.47425,9.720,9.720,0.00
1.48441,9.720,9.719,0.00
1.49459,9.719,9.719,0.00
1.50474,9.719,9.723,0.00
1.51519,9.723,9.723,0.00
1.52530,9.723,9.723,0.00
1.53601,9.723,9.723,0.00
1.54608,9.723,9.718,0.00
1.55635,9.718,9.718,0.00
1.56651,9.718,9.708,0.00
1.57667,9.708,9.708,0.00
1.58683,9.696,9.696,0.00
1.59699,9.696,9.696,0.00
1.60714,9.686,9.686,0.00
1.61729,9.686,9.686,0.00
1.62752,9.681,9.681,0.00
1.63768,9.681,9.678,0.00
1.64784,9.678,9.678,0.00
1.65800,9.678,9.673,0.00
1.66816,9.673,9.673,0.00
1.67834,9.673,9.668,0.00
1.68851,9.668,9.668,0.00
1.69906,9.668,9.659,0.00
1.70935,9.659,9.659,0.00
1.71971,9.659,9.647,0.00
1.73037,9.647,9.647,0.00
1.74055,9.647,9.647,0.00
