time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00294,1.658,6.441,0.00
0.01315,1.632,6.441,0.00
0.02331,1.610,6.443,0.00
0.03417,1.610,6.443,0.00
0.04421,1.587,6.441,0.00
0.05449,1.587,6.441,0.00
0.06463,1.565,6.437,0.00
0.07527,1.565,6.437,0.00
0.08549,1.550,6.435,0.00
0.09587,1.550,6.435,0.00
0.10657,1.550,6.435,0.00
0.11673,1.548,6.435,0.00
0.12690,1.548,6.430,0.00
0.13724,1.548,6.430,0.00
0.14777,1.554,6.422,0.00
0.15793,1.554,6.422,0.00
0.16809,1.559,6.415,0.00
0.17834,1.554,6.411,0.00
0.18850,1.554,6.411,0.00
0.19866,1.544,6.408,0.00
0.20881,1.544,6.408,0.00
0.21909,1.535,6.406,0.00
0.22952,1.535,6.406,0.00
0.23980,1.528,6.408,0.00
0.25042,1.528,6.408,0.00
0.26061,1.532,6.412,0.00
0.27099,1.532,6.412,0.00
0.28137,1.539,6.419,0.00
0.29160,1.539,6.419,0.00
0.30193,1.538,6.425,0.00
0.31300,1.540,6.425,0.00
0.32318,1.540,6.430,0.00
0.33334,1.540,6.430,0.00
0.34351,1.535,6.434,0.00
0.35367,1.535,6.434,0.00
0.36383,1.531,6.439,0.00
0.37401,1.531,6.442,0.00
0.38790,1.527,6.442,0.00
0.39815,1.527,6.443,0.00
0.40857,1.521,6.443,0.00
0.41873,1.518,6.444,0.00
0.42889,1.518,6.444,0.00
0.43905,1.520,6.444,0.00
0.44918,1.520,6.444,0.00
0.45934,1.524,6.441,0.00
0.46949,1.524,6.441,0.00
0.47978,1.529,6.439,0.00
0.49038,1.529,6.439,0.00
0.50106,1.533,6.436,0.00
0.51133,1.533,6.436,0.00
0.52158,1.540,6.434,0.00
0.53189,1.540,6.434,0.00
0.54242,1.543,6.433,0.00
0.55418,1.547,6.433,0.00
0.56453,1.547,6.433,0.00
0.57481,1.548,6.432,0.00
0.58516,1.548,6.432,0.00
0.59551,1.549,6.432,0.00
0.60591,1.549,6.432,0.00
0.61686,1.551,6.433,0.00
0.62720,1.551,6.433,0.00
0.63750,1.553,6.432,0.00
0.64802,1.553,6.432,0.00
0.65819,1.559,6.432,0.00
0.66842,1.559,6.430,0.00
0.67894,1.563,6.427,0.00
0.68910,1.563,6.427,0.00
0.69934,1.561,6.427,0.00
0.70947,1.561,6.423,0.00
0.71975,1.551,6.418,0.00
0.72992,1.551,6.418,0.00
0.74007,1.543,6.411,0.00
0.75032,1.543,6.411,0.00
0.76050,1.543,6.404,0.00
0.77087,1.543,6.404,0.00
0.78104,1.542,6.398,0.00
0.79119,1.542,6.398,0.00
0.80135,1.542,6.389,0.00
0.81150,1.542,6.389,0.00
0.82167,1.536,6.380,0.00
0.83259,1.536,6.380,0.00
0.84275,1.529,6.374,0.00
0.85301,1.529,6.374,0.00
0.86314,1.524,6.368,0.00
0.87336,1.524,6.368,0.00
0.88369,1.523,6.360,0.00
0.89398,1.523,6.360,0.00
0.90412,1.526,6.350,0.00
0.91440,1.524,6.350,0.00
0.92455,1.524,6.344,0.00
0.93612,1.523,6.344,0.00
0.94628,1.523,6.340,0.00
0.95643,1.517,6.337,0.00
0.96659,1.517,6.337,0.00
0.97702,1.508,6.335,0.00
0.98731,1.508,6.335,0.00
0.99746,1.508,6.332,0.00
1.00761,1.499,6.332,0.00
1.01772,1.491,6.329,0.00
1.02787,1.491,6.329,0.00
1.03804,1.479,6.326,0.00
1.04819,1.479,6.326,0.00
1.05837,1.471,6.323,0.00
1.06869,1.471,6.323,0.00
1.07886,1.462,6.320,0.00
1.08902,1.462,6.320,0.00
1.09918,1.451,6.318,0.00
1.10934,1.451,6.318,0.00
1.11950,1.441,6.316,0.00
1.12966,1.441,6.316,0.00
1.13983,1.429,6.311,0.00
1.14998,1.429,6.311,0.00
1.16020,1.414,6.304,0.00
1.17035,1.414,6.304,0.00
1.18051,1.401,6.299,0.00
1.19068,1.401,6.299,0.00
1.20085,1.396,6.294,0.00
1.21100,1.396,6.294,0.00
1.22115,1.398,6.288,0.00
1.23131,1.398,6.288,0.00
1.24146,1.402,6.282,0.00
1.25164,1.402,6.282,0.00
1.26179,1.405,6.276,0.00
1.27193,1.405,6.276,0.00
1.28208,1.405,6.267,0.00
1.29223,1.405,6.267,0.00
1.30239,1.402,6.259,0.00
1.31268,1.402,6.259,0.00
1.32284,1.403,6.251,0.00
1.33299,1.403,6.251,0.00
1.34325,1.404,6.242,0.00
1.35358,1.404,6.242,0.00
1.36375,1.406,6.232,0.00
1.37389,1.407,6.232,0.00
