time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00317,-0.952,0.351,0.00
0.01341,-0.950,0.351,0.00
0.02361,-0.950,0.350,0.00
0.03378,-0.950,0.350,0.00
0.04396,-0.950,0.350,0.00
0.05430,-0.963,0.349,0.00
0.06446,-0.973,0.346,0.00
0.07462,-0.986,0.343,0.00
0.08478,-0.986,0.343,0.00
0.09494,-1.009,0.337,0.00
0.10510,-1.009,0.337,0.00
0.11526,-1.043,0.327,0.00
0.12546,-1.043,0.327,0.00
0.13590,-1.073,0.318,0.00
0.14612,-1.073,0.318,0.00
0.15642,-1.089,0.307,0.00
0.16674,-1.089,0.307,0.00
0.17713,-1.086,0.292,0.00
0.18751,-1.086,0.292,0.00
0.19806,-1.081,0.271,0.00
0.20834,-1.081,0.271,0.00
0.21852,-1.076,0.248,0.00
0.23051,-1.076,0.248,0.00
0.24071,-1.075,0.228,0.00
0.25094,-1.075,0.228,0.00
0.26109,-1.080,0.205,0.00
0.27124,-1.091,0.205,0.00
0.28139,-1.091,0.186,0.00
0.29156,-1.091,0.186,0.00
0.30186,-1.091,0.186,0.00
0.31230,-1.103,0.173,0.00
0.32245,-1.104,0.163,0.00
0.33261,-1.104,0.163,0.00
0.34274,-1.104,0.163,0.00
0.35481,-1.104,0.159,0.00
0.36567,-1.065,0.165,0.00
0.37551,-1.037,0.175,0.00
0.38581,-1.037,0.175,0.00
0.39595,-1.004,0.189,0.00
0.40644,-1.004,0.189,0.00
0.41658,-1.004,0.189,0.00
0.42676,-1.004,0.189,0.00
0.43695,-0.948,0.189,0.00
0.44714,-0.948,0.202,0.00
0.45731,-0.922,0.202,0.00
0.46748,-0.922,0.217,0.00
0.47783,-0.899,0.233,0.00
0.48800,-0.899,0.233,0.00
0.49816,-0.899,0.233,0.00
0.50884,-0.899,0.233,0.00
0.51935,-0.851,0.246,0.00
0.53338,-0.851,0.258,0.00
0.54391,-0.818,0.269,0.00
0.55405,-0.779,0.277,0.00
0.56508,-0.779,0.277,0.00
0.57526,-0.742,0.277,0.00
0.58546,-0.742,0.277,0.00
0.59560,-0.720,0.272,0.00
0.60577,-0.720,0.272,0.00
0.61617,-0.703,0.263,0.00
0.62659,-0.703,0.263,0.00
0.63676,-0.676,0.255,0.00
0.64692,-0.676,0.255,0.00
0.65708,-0.643,0.244,0.00
0.66737,-0.643,0.244,0.00
0.67832,-0.615,0.223,0.00
0.68847,-0.615,0.223,0.00
0.69870,-0.591,0.196,0.00
