time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00629,-2.357,6.241,0.00
0.01653,-2.357,6.238,0.00
0.02695,-2.358,6.238,0.00
0.03729,-2.358,6.236,0.00
0.04761,-2.361,6.236,0.00
0.05830,-2.366,6.235,0.00
0.06908,-2.366,6.235,0.00
0.07925,-2.369,6.235,0.00
0.08941,-2.369,6.235,0.00
0.09972,-2.374,6.235,0.00
0.11272,-2.374,6.233,0.00
0.12343,-2.381,6.230,0.00
0.13354,-2.381,6.230,0.00
0.14370,-2.386,6.227,0.00
0.15404,-2.386,6.227,0.00
0.16420,-2.386,6.224,0.00
0.17436,-2.386,6.224,0.00
0.18464,-2.386,6.221,0.00
0.19480,-2.387,6.221,0.00
0.20580,-2.387,6.220,0.00
0.21755,-2.387,6.220,0.00
0.22785,-2.391,6.217,0.00
0.23862,-2.395,6.215,0.00
0.24877,-2.395,6.215,0.00
0.25893,-2.400,6.212,0.00
0.26910,-2.400,6.212,0.00
0.28039,-2.406,6.209,0.00
0.29055,-2.406,6.209,0.00
0.30080,-2.407,6.210,0.00
0.31096,-2.407,6.210,0.00
0.32150,-2.408,6.210,0.00
0.33167,-2.408,6.210,0.00
0.34184,-2.415,6.210,0.00
0.35230,-2.415,6.210,0.00
0.36246,-2.426,6.211,0.00
0.37352,-2.426,6.211,0.00
0.38369,-2.426,6.212,0.00
0.39441,-2.426,6.214,0.00
0.40459,-2.412,6.214,0.00
0.41512,-2.399,6.214,0.00
0.42547,-2.399,6.216,0.00
0.43728,-2.399,6.216,0.00
0.44747,-2.399,6.218,0.00
0.45774,-2.406,6.220,0.00
0.46903,-2.406,6.220,0.00
0.47927,-2.406,6.220,0.00
0.48944,-2.407,6.223,0.00
0.50019,-2.400,6.226,0.00
0.51035,-2.400,6.226,0.00
0.52125,-2.401,6.229,0.00
0.53145,-2.401,6.229,0.00
0.54161,-2.410,6.231,0.00
0.55267,-2.410,6.231,0.00
0.56290,-2.412,6.234,0.00
0.57319,-2.415,6.234,0.00
0.58335,-2.415,6.235,0.00
0.59354,-2.415,6.235,0.00
0.60401,-2.418,6.237,0.00
0.61418,-2.418,6.240,0.00
0.62434,-2.422,6.240,0.00
0.63450,-2.428,6.241,0.00
0.64503,-2.428,6.241,0.00
0.65571,-2.428,6.239,0.00
0.66649,-2.424,6.239,0.00
0.67694,-2.424,6.239,0.00
0.69327,-2.424,6.239,0.00
0.70343,-2.430,6.241,0.00
0.71379,-2.437,6.241,0.00
0.72610,-2.437,6.241,0.00
0.73660,-2.441,6.240,0.00
0.74715,-2.441,6.240,0.00
0.75755,-2.446,6.240,0.00
0.76776,-2.446,6.240,0.00
0.77793,-2.445,6.239,0.00
0.78812,-2.445,6.239,0.00
0.79832,-2.442,6.239,0.00
0.80858,-2.442,6.239,0.00
0.81940,-2.442,6.239,0.00
0.82957,-2.443,6.238,0.00
0.84069,-2.443,6.239,0.00
0.85164,-2.443,6.239,0.00
0.86209,-2.442,6.243,0.00
0.87295,-2.442,6.243,0.00
0.88335,-2.444,6.246,0.00
0.89352,-2.446,6.246,0.00
0.90369,-2.446,6.250,0.00
0.91386,-2.446,6.250,0.00
0.92427,-2.451,6.253,0.00
0.93449,-2.451,6.255,0.00
0.94477,-2.454,6.255,0.00
0.95521,-2.453,6.259,0.00
0.96537,-2.453,6.259,0.00
0.97556,-2.453,6.262,0.00
0.98582,-2.452,6.262,0.00
0.99599,-2.454,6.266,0.00
1.00618,-2.454,6.266,0.00
1.01664,-2.455,6.269,0.00
1.02688,-2.455,6.269,0.00
1.03735,-2.451,6.270,0.00
1.04756,-2.451,6.270,0.00
1.05790,-2.454,6.271,0.00
1.06825,-2.454,6.271,0.00
1.07892,-2.454,6.272,0.00
1.08918,-2.458,6.272,0.00
1.09939,-2.462,6.274,0.00
1.10954,-2.462,6.274,0.00
1.12013,-2.463,6.275,0.00
1.13114,-2.463,6.275,0.00
1.14129,-2.474,6.276,0.00
1.15144,-2.474,6.276,0.00
1.16160,-2.486,6.275,0.00
1.17176,-2.485,6.272,0.00
1.18245,-2.485,6.272,0.00
1.19279,-2.485,6.270,0.00
1.20302,-2.478,6.270,0.00
1.21398,-2.478,6.269,0.00
1.22413,-2.470,6.269,0.00
1.23433,-2.470,6.268,0.00
1.24451,-2.479,6.268,0.00
1.25467,-2.479,6.267,0.00
1.26483,-2.492,6.267,0.00
1.27502,-2.492,6.267,0.00
1.28541,-2.491,6.266,0.00
1.29557,-2.491,6.267,0.00
1.30571,-2.491,6.267,0.00
1.31587,-2.524,6.269,0.00
1.32603,-2.524,6.269,0.00
1.33624,-2.563,6.269,0.00
1.34644,-2.563,6.270,0.00
1.35669,-2.590,6.271,0.00
1.36685,-2.590,6.271,0.00
1.37735,-2.621,6.271,0.00
1.38751,-2.621,6.271,0.00
1.39781,-2.640,6.273,0.00
1.40794,-2.640,6.273,0.00
1.41810,-2.664,6.275,0.00
1.42826,-2.664,6.275,0.00
1.43844,-2.700,6.275,0.00
1.44859,-2.700,6.275,0.00
1.45874,-2.733,6.271,0.00
1.46941,-2.733,6.271,0.00
1.47987,-2.767,6.270,0.00
1.49049,-2.767,6.270,0.00
1.50146,-2.794,6.273,0.00
1.51178,-2.794,6.273,0.00
1.52194,-2.822,6.272,0.00
1.53210,-2.822,6.272,0.00
1.54226,-2.850,6.269,0.00
1.55262,-2.850,6.269,0.00
1.56281,-2.882,6.265,0.00
1.57308,-2.882,6.265,0.00
1.58325,-2.901,6.259,0.00
1.59342,-2.901,6.259,0.00
1.60366,-2.904,6.250,0.00
1.61382,-2.904,6.250,0.00
1.62412,-2.903,6.240,0.00
1.63446,-2.903,6.240,0.00
1.64503,-2.903,6.240,0.00
1.65543,-2.911,6.240,0.00
1.66605,-2.911,6.240,0.00
1.67623,-2.911,6.248,0.00
1.68649,-2.910,6.248,0.00
1.69689,-2.910,6.260,0.00
1.70721,-2.903,6.260,0.00
1.71756,-2.903,6.276,0.00
1.72789,-2.888,6.276,0.00
1.73823,-2.863,6.296,0.00
1.74839,-2.863,6.296,0.00
1.75854,-2.838,6.322,0.00
1.76872,-2.838,6.322,0.00
1.77888,-2.811,6.352,0.00
1.78908,-2.811,6.352,0.00
1.79924,-2.811,6.387,0.00
1.80946,-2.785,6.387,0.00
1.81976,-2.757,6.417,0.00
1.82992,-2.757,6.417,0.00
1.84069,-2.735,6.441,0.00
1.85084,-2.735,6.441,0.00
1.86105,-2.735,6.441,0.00
1.87119,-2.718,6.459,0.00
1.88134,-2.701,6.473,0.00
1.89152,-2.701,6.473,0.00
1.90181,-2.674,6.485,0.00
1.91255,-2.674,6.485,0.00
1.92270,-2.657,6.493,0.00
1.93398,-2.657,6.493,0.00
1.94415,-2.654,6.499,0.00
1.95430,-2.654,6.499,0.00
1.96457,-2.654,6.499,0.00
1.97481,-2.651,6.498,0.00
1.98573,-2.644,6.498,0.00
1.99596,-2.644,6.494,0.00
2.00789,-2.635,6.494,0.00
2.01806,-2.635,6.488,0.00
2.02859,-2.627,6.488,0.00
2.03893,-2.633,6.481,0.00
2.04908,-2.633,6.481,0.00
2.05954,-2.633,6.481,0.00
2.06977,-2.650,6.475,0.00
2.07994,-2.666,6.469,0.00
2.09014,-2.666,6.469,0.00
2.10030,-2.686,6.465,0.00
2.11053,-2.686,6.465,0.00
2.12070,-2.709,6.472,0.00
2.13086,-2.709,6.472,0.00
2.14151,-2.709,6.472,0.00
2.15175,-2.709,6.472,0.00
2.16204,-2.763,6.480,0.00
2.17227,-2.763,6.480,0.00
2.18243,-2.795,6.491,0.00
2.19278,-2.795,6.491,0.00
2.20294,-2.835,6.508,0.00
2.21425,-2.835,6.508,0.00
2.22460,-2.881,6.524,0.00
2.23458,-2.881,6.524,0.00
2.24475,-2.916,6.540,0.00
2.25527,-2.916,6.540,0.00
2.26546,-2.946,6.560,0.00
2.27641,-2.946,6.560,0.00
2.28658,-2.981,6.581,0.00
2.29673,-3.011,6.602,0.00
2.30689,-3.011,6.602,0.00
2.31710,-3.039,6.623,0.00
2.32725,-3.039,6.623,0.00
2.33761,-3.049,6.642,0.00
2.34798,-3.049,6.642,0.00
2.35829,-3.044,6.664,0.00
2.36891,-3.044,6.664,0.00
2.37927,-3.047,6.693,0.00
2.38964,-3.047,6.693,0.00
2.39981,-3.062,6.727,0.00
2.41076,-3.062,6.727,0.00
2.42096,-3.092,6.818,0.00
2.43284,-3.092,6.818,0.00
2.44299,-3.121,6.866,0.00
2.45314,-3.142,6.921,0.00
2.46335,-3.142,6.921,0.00
2.47351,-3.164,6.986,0.00
2.48423,-3.164,6.986,0.00
2.49448,-3.176,6.986,0.00
2.50464,-3.176,7.059,0.00
2.51480,-3.176,7.142,0.00
2.52514,-3.186,7.142,0.00
2.53530,-3.204,7.230,0.00
2.54546,-3.204,7.230,0.00
2.55562,-3.223,7.325,0.00
2.56579,-3.223,7.325,0.00
2.57596,-3.236,7.407,0.00
2.58618,-3.236,7.407,0.00
2.59638,-3.236,7.407,0.00
2.60653,-3.248,7.491,0.00
2.61731,-3.281,7.575,0.00
2.62747,-3.281,7.575,0.00
2.63763,-3.322,7.656,0.00
2.64777,-3.322,7.656,0.00
2.65796,-3.359,7.739,0.00
2.66817,-3.359,7.739,0.00
2.67929,-3.383,7.739,0.00
2.68945,-3.383,7.816,0.00
2.69961,-3.414,7.900,0.00
2.70976,-3.414,7.900,0.00
2.72002,-3.440,8.005,0.00
2.73019,-3.440,8.005,0.00
2.74035,-3.436,8.103,0.00
2.75133,-3.436,8.103,0.00
2.76147,-3.426,8.206,0.00
2.77181,-3.431,8.206,0.00
2.78196,-3.431,8.307,0.00
2.79212,-3.431,8.307,0.00
2.80228,-3.439,8.410,0.00
2.81255,-3.439,8.410,0.00
2.82273,-3.455,8.509,0.00
2.83288,-3.455,8.509,0.00
2.84303,-3.472,8.596,0.00
2.85378,-3.472,8.596,0.00
2.86392,-3.485,8.677,0.00
2.87408,-3.485,8.768,0.00
2.88424,-3.497,8.768,0.00
2.89452,-3.497,8.768,0.00
2.90468,-3.504,8.849,0.00
2.91484,-3.503,8.928,0.00
2.92507,-3.503,8.928,0.00
2.93531,-3.505,9.003,0.00
2.94577,-3.505,9.003,0.00
2.95601,-3.511,9.074,0.00
2.96636,-3.511,9.074,0.00
2.97662,-3.511,9.074,0.00
2.98680,-3.511,9.131,0.00
2.99695,-3.510,9.131,0.00
3.00710,-3.510,9.177,0.00
3.01740,-3.517,9.209,0.00
3.02766,-3.517,9.209,0.00
3.03784,-3.526,9.229,0.00
3.04800,-3.526,9.229,0.00
3.05815,-3.532,9.248,0.00
3.06831,-3.532,9.248,0.00
3.07846,-3.530,9.260,0.00
3.08872,-3.530,9.260,0.00
3.09898,-3.524,9.266,0.00
3.10983,-3.524,9.266,0.00
3.12008,-3.512,9.267,0.00
3.13035,-3.512,9.267,0.00
3.14087,-3.499,9.265,0.00
3.15109,-3.499,9.265,0.00
3.16138,-3.486,9.262,0.00
3.17154,-3.486,9.262,0.00
3.18176,-3.475,9.261,0.00
3.19192,-3.475,9.261,0.00
3.20208,-3.463,9.262,0.00
3.21256,-3.463,9.262,0.00
3.22276,-3.448,9.263,0.00
3.23291,-3.434,9.263,0.00
3.24308,-3.434,9.266,0.00
3.25325,-3.431,9.266,0.00
3.26362,-3.431,9.270,0.00
3.27403,-3.424,9.278,0.00
3.28439,-3.424,9.278,0.00
3.29479,-3.408,9.288,0.00
3.30540,-3.408,9.288,0.00
3.31567,-3.391,9.304,0.00
3.32598,-3.391,9.304,0.00
3.33614,-3.373,9.322,0.00
3.34651,-3.373,9.322,0.00
3.35657,-3.360,9.339,0.00
3.36673,-3.360,9.339,0.00
3.37689,-3.350,9.356,0.00
3.38724,-3.350,9.356,0.00
3.39741,-3.339,9.356,0.00
3.40759,-3.339,9.372,0.00
3.41777,-3.324,9.388,0.00
3.42807,-3.324,9.388,0.00
3.43839,-3.314,9.404,0.00
3.44869,-3.314,9.404,0.00
3.45889,-3.307,9.419,0.00
3.46913,-3.307,9.419,0.00
3.47928,-3.293,9.434,0.00
3.48953,-3.293,9.434,0.00
3.49976,-3.277,9.446,0.00
3.51051,-3.277,9.446,0.00
3.52107,-3.260,9.455,0.00
3.53134,-3.260,9.455,0.00
3.54149,-3.251,9.462,0.00
3.55164,-3.251,9.467,0.00
3.56181,-3.252,9.467,0.00
3.57197,-3.252,9.467,0.00
3.58212,-3.256,9.470,0.00
3.59269,-3.256,9.470,0.00
3.60286,-3.250,9.468,0.00
3.61318,-3.250,9.468,0.00
3.62335,-3.247,9.465,0.00
3.63377,-3.247,9.465,0.00
3.64417,-3.243,9.457,0.00
3.65434,-3.243,9.457,0.00
3.66454,-3.248,9.448,0.00
3.67475,-3.248,9.443,0.00
3.68491,-3.256,9.443,0.00
3.69508,-3.256,9.442,0.00
3.70533,-3.259,9.442,0.00
3.71549,-3.259,9.437,0.00
3.72565,-3.259,9.437,0.00
3.73594,-3.256,9.431,0.00
3.74633,-3.256,9.431,0.00
3.75668,-3.256,9.429,0.00
3.76707,-3.251,9.429,0.00
3.77742,-3.251,9.429,0.00
3.78758,-3.256,9.429,0.00
3.79779,-3.268,9.431,0.00
3.80795,-3.268,9.431,0.00
3.81816,-3.276,9.435,0.00
3.82832,-3.276,9.435,0.00
3.83864,-3.281,9.442,0.00
3.84897,-3.281,9.442,0.00
3.85972,-3.282,9.452,0.00
3.87026,-3.282,9.452,0.00
3.88053,-3.282,9.460,0.00
3.89078,-3.282,9.460,0.00
3.90094,-3.279,9.466,0.00
3.91110,-3.279,9.466,0.00
3.92137,-3.272,9.473,0.00
3.93196,-3.272,9.473,0.00
3.94212,-3.263,9.482,0.00
3.95271,-3.263,9.482,0.00
3.96307,-3.254,9.491,0.00
3.97337,-3.254,9.501,0.00
3.98429,-3.241,9.501,0.00
