time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.03264,0.226,3.783,0.00
0.04524,-0.117,3.568,0.00
0.06394,-0.117,3.527,0.00
0.07485,-0.220,3.527,0.00
0.08496,-0.220,3.527,0.00
0.10022,-0.434,3.510,0.00
0.11669,-0.434,3.505,0.00
0.12974,-0.534,3.496,0.00
0.14015,-0.624,3.496,0.00
0.15138,-0.624,3.477,0.00
0.16149,-0.699,3.451,0.00
0.17331,-0.699,3.451,0.00
0.18347,-0.699,3.451,0.00
0.19371,-0.699,3.421,0.00
0.20394,-0.767,3.421,0.00
0.21423,-0.826,3.392,0.00
0.22687,-0.826,3.392,0.00
0.23710,-0.826,3.362,0.00
0.24812,-0.929,3.339,0.00
0.25907,-0.929,3.339,0.00
0.26975,-0.982,3.320,0.00
0.28001,-1.032,3.320,0.00
0.29017,-1.032,3.302,0.00
0.30034,-1.074,3.276,0.00
0.31100,-1.074,3.276,0.00
0.32546,-1.112,3.276,0.00
0.33735,-1.112,3.240,0.00
0.34752,-1.168,3.141,0.00
0.35768,-1.168,3.141,0.00
0.36796,-1.168,3.141,0.00
0.37823,-1.171,3.141,0.00
0.38839,-1.168,3.025,0.00
0.39856,-1.168,3.025,0.00
0.40929,-1.168,3.025,0.00
0.42019,-1.171,2.954,0.00
0.43036,-1.175,2.875,0.00
0.44288,-1.167,2.875,0.00
0.45473,-1.167,2.797,0.00
0.46517,-1.167,2.797,0.00
0.47651,-1.167,2.797,0.00
0.49151,-1.111,2.660,0.00
0.50172,-1.075,2.660,0.00
0.51188,-1.075,2.609,0.00
0.52276,-1.075,2.609,0.00
0.53302,-1.044,2.609,0.00
0.54318,-1.017,2.571,0.00
0.55439,-0.993,2.530,0.00
0.56455,-0.993,2.530,0.00
0.57484,-0.993,2.530,0.00
0.58510,-0.993,2.530,0.00
0.59661,-0.993,2.530,0.00
0.60679,-0.977,2.519,0.00
0.61703,-0.953,2.510,0.00
0.63035,-0.916,2.504,0.00
0.64930,-0.879,2.498,0.00
0.66134,-0.844,2.499,0.00
0.67209,-0.844,2.499,0.00
0.68308,-0.809,2.510,0.00
0.70123,-0.809,2.510,0.00
0.71161,-0.776,2.533,0.00
0.72240,-0.740,2.554,0.00
0.73257,-0.740,2.554,0.00
0.74455,-0.740,2.554,0.00
0.77479,-0.668,2.576,0.00
0.78523,-0.631,2.636,0.00
0.79550,-0.631,2.636,0.00
0.80631,-0.631,2.636,0.00
0.81890,-0.599,2.672,0.00
0.82916,-0.569,2.705,0.00
0.84862,-0.569,2.705,0.00
0.85966,-0.541,2.737,0.00
0.87559,-0.541,2.774,0.00
0.88576,-0.493,2.809,0.00
0.89592,-0.493,2.809,0.00
0.91436,-0.493,2.809,0.00
0.92464,-0.472,2.844,0.00
0.93484,-0.447,2.879,0.00
0.94523,-0.417,2.879,0.00
0.95612,-0.417,2.913,0.00
0.96808,-0.417,2.913,0.00
0.97891,-0.395,2.944,0.00
0.98908,-0.387,2.975,0.00
1.00282,-0.387,2.975,0.00
1.01384,-0.396,3.003,0.00
1.02400,-0.396,3.003,0.00
1.04385,-0.398,3.003,0.00
1.05725,-0.394,3.060,0.00
1.06741,-0.394,3.083,0.00
1.08136,-0.394,3.083,0.00
1.09147,-0.395,3.083,0.00
1.10214,-0.395,3.119,0.00
1.11233,-0.391,3.119,0.00
1.12278,-0.391,3.119,0.00
1.13294,-0.377,3.119,0.00
1.14334,-0.363,3.151,0.00
1.15381,-0.363,3.151,0.00
1.16583,-0.363,3.151,0.00
1.17602,-0.362,3.166,0.00
1.18618,-0.362,3.166,0.00
1.19737,-0.362,3.166,0.00
1.20760,-0.367,3.183,0.00
1.21775,-0.379,3.183,0.00
1.22795,-0.379,3.198,0.00
1.23824,-0.398,3.211,0.00
1.24865,-0.398,3.222,0.00
1.25982,-0.417,3.222,0.00
1.27221,-0.431,3.222,0.00
1.28250,-0.445,3.235,0.00
1.29266,-0.445,3.244,0.00
1.30353,-0.445,3.244,0.00
1.31379,-0.445,3.244,0.00
1.32410,-0.453,3.248,0.00
1.33499,-0.456,3.250,0.00
1.35856,-0.502,3.250,0.00
1.36875,-0.502,3.258,0.00
1.37892,-0.502,3.258,0.00
1.39178,-0.530,3.258,0.00
