time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00287,-7.206,-1.441,0.00
0.01308,-7.195,-1.426,0.00
0.02329,-7.195,-1.426,0.00
0.03351,-7.195,-1.426,0.00
0.04366,-7.187,-1.416,0.00
0.05418,-7.199,-1.416,0.00
0.06437,-7.199,-1.416,0.00
0.07456,-7.199,-1.416,0.00
0.08488,-7.220,-1.416,0.00
0.09521,-7.220,-1.417,0.00
0.10558,-7.241,-1.417,0.00
0.11589,-7.259,-1.445,0.00
0.12631,-7.259,-1.445,0.00
0.13664,-7.259,-1.445,0.00
0.14702,-7.259,-1.445,0.00
0.15744,-7.259,-1.445,0.00
0.16768,-7.259,-1.445,0.00
0.17785,-7.331,-1.492,0.00
0.18802,-7.331,-1.492,0.00
0.19818,-7.333,-1.523,0.00
0.20837,-7.333,-1.523,0.00
0.21898,-7.333,-1.523,0.00
0.22918,-7.332,-1.558,0.00
0.23931,-7.353,-1.600,0.00
0.24949,-7.353,-1.600,0.00
0.25968,-7.353,-1.600,0.00
0.26984,-7.375,-1.648,0.00
0.28000,-7.363,-1.702,0.00
0.29017,-7.363,-1.702,0.00
0.30052,-7.363,-1.763,0.00
0.31071,-7.317,-1.763,0.00
0.32088,-7.253,-1.820,0.00
0.33104,-7.253,-1.820,0.00
0.34120,-7.180,-1.882,0.00
0.35137,-7.180,-1.882,0.00
0.36159,-7.180,-1.882,0.00
0.37288,-7.180,-1.882,0.00
0.38306,-7.180,-1.882,0.00
0.39323,-7.110,-1.994,0.00
0.40339,-7.017,-2.040,0.00
0.41357,-7.017,-2.040,0.00
0.42374,-6.993,-2.040,0.00
0.43391,-6.993,-2.077,0.00
0.44407,-6.993,-2.118,0.00
0.45423,-6.956,-2.118,0.00
0.46438,-6.956,-2.118,0.00
0.47455,-6.911,-2.163,0.00
0.48472,-6.887,-2.205,0.00
0.49491,-6.887,-2.205,0.00
0.50658,-6.911,-2.237,0.00
0.51825,-6.911,-2.237,0.00
0.52842,-6.943,-2.259,0.00
0.53866,-6.943,-2.259,0.00
0.54881,-6.984,-2.269,0.00
0.55898,-6.984,-2.269,0.00
0.56914,-6.984,-2.269,0.00
0.57933,-6.984,-2.264,0.00
0.58951,-7.142,-2.238,0.00
0.59968,-7.186,-2.189,0.00
0.60986,-7.186,-2.189,0.00
0.62007,-7.186,-2.189,0.00
0.63024,-7.238,-2.117,0.00
0.64041,-7.293,-2.042,0.00
0.65058,-7.293,-2.042,0.00
0.66075,-7.364,-1.959,0.00
0.67091,-7.439,-1.875,0.00
0.68128,-7.439,-1.875,0.00
0.69170,-7.439,-1.798,0.00
0.70193,-7.495,-1.798,0.00
0.71210,-7.538,-1.735,0.00
0.72228,-7.538,-1.735,0.00
0.73244,-7.589,-1.702,0.00
0.74266,-7.589,-1.702,0.00
0.75305,-7.589,-1.702,0.00
0.76337,-7.601,-1.713,0.00
0.77356,-7.601,-1.788,0.00
0.78372,-7.598,-1.788,0.00
0.79388,-7.584,-1.788,0.00
0.80405,-7.584,-1.896,0.00
0.81422,-7.584,-2.018,0.00
0.82438,-7.560,-2.018,0.00
0.83453,-7.548,-2.131,0.00
0.84466,-7.548,-2.131,0.00
0.85482,-7.567,-2.131,0.00
0.86497,-7.567,-2.219,0.00
0.87512,-7.590,-2.271,0.00
0.88530,-7.590,-2.271,0.00
0.89546,-7.611,-2.290,0.00
0.90565,-7.611,-2.290,0.00
0.91579,-7.639,-2.281,0.00
0.92594,-7.639,-2.281,0.00
0.93619,-7.672,-2.258,0.00
0.94635,-7.672,-2.258,0.00
0.95651,-7.713,-2.233,0.00
0.96667,-7.713,-2.233,0.00
0.97683,-7.755,-2.222,0.00
0.98699,-7.755,-2.222,0.00
0.99715,-7.778,-2.229,0.00
1.00746,-7.778,-2.229,0.00
1.01760,-7.779,-2.251,0.00
1.02777,-7.779,-2.251,0.00
1.03796,-7.773,-2.276,0.00
1.04815,-7.773,-2.276,0.00
1.05832,-7.766,-2.296,0.00
1.06848,-7.766,-2.296,0.00
1.07897,-7.755,-2.307,0.00
1.08931,-7.755,-2.307,0.00
1.09982,-7.748,-2.309,0.00
1.11028,-7.748,-2.297,0.00
1.12044,-7.744,-2.297,0.00
1.13059,-7.744,-2.297,0.00
1.14072,-7.751,-2.280,0.00
1.15087,-7.751,-2.280,0.00
1.16103,-7.766,-2.256,0.00
1.17119,-7.766,-2.256,0.00
1.18135,-7.765,-2.232,0.00
1.19151,-7.751,-2.206,0.00
1.20167,-7.751,-2.206,0.00
1.21182,-7.739,-2.184,0.00
1.22205,-7.739,-2.184,0.00
1.23213,-7.739,-2.184,0.00
1.24237,-7.727,-2.174,0.00
1.25253,-7.714,-2.169,0.00
1.26268,-7.714,-2.169,0.00
1.27282,-7.714,-2.169,0.00
1.28298,-7.706,-2.159,0.00
