time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00206,-1.770,-1.766,0.00
0.01230,-1.792,-1.767,0.00
0.02271,-1.792,-1.767,0.00
0.03281,-1.810,-1.766,0.00
0.04312,-1.810,-1.766,0.00
0.05330,-1.818,-1.767,0.00
0.06398,-1.818,-1.767,0.00
0.07408,-1.827,-1.767,0.00
0.08427,-1.843,-1.766,0.00
0.09445,-1.843,-1.766,0.00
0.10598,-1.843,-1.766,0.00
0.11616,-1.864,-1.764,0.00
0.12637,-1.864,-1.764,0.00
0.13657,-1.884,-1.765,0.00
0.14673,-1.884,-1.770,0.00
0.15694,-1.903,-1.770,0.00
0.16710,-1.917,-1.776,0.00
0.17768,-1.917,-1.776,0.00
0.18784,-1.928,-1.782,0.00
0.19812,-1.928,-1.782,0.00
0.20844,-1.939,-1.791,0.00
0.21880,-1.939,-1.791,0.00
0.22920,-1.948,-1.801,0.00
0.23973,-1.948,-1.801,0.00
0.24987,-1.953,-1.812,0.00
0.26025,-1.953,-1.812,0.00
0.27086,-1.954,-1.823,0.00
0.28116,-1.954,-1.823,0.00
0.29182,-1.957,-1.834,0.00
0.30200,-1.957,-1.834,0.00
0.31240,-1.958,-1.848,0.00
0.32277,-1.958,-1.848,0.00
0.33313,-1.953,-1.860,0.00
0.34355,-1.953,-1.860,0.00
0.35375,-1.955,-1.872,0.00
0.36420,-1.955,-1.872,0.00
0.37438,-1.972,-1.886,0.00
0.38471,-1.972,-1.886,0.00
0.39482,-1.992,-1.897,0.00
0.40501,-1.992,-1.897,0.00
0.41520,-1.997,-1.908,0.00
0.42553,-1.997,-1.908,0.00
0.43607,-1.994,-1.918,0.00
0.44636,-1.994,-1.918,0.00
0.45664,-1.991,-1.926,0.00
0.46680,-1.991,-1.933,0.00
0.47696,-1.996,-1.933,0.00
0.48715,-1.996,-1.938,0.00
0.49788,-2.008,-1.938,0.00
0.50828,-2.008,-1.943,0.00
0.51854,-2.010,-1.943,0.00
0.52880,-2.000,-1.943,0.00
0.53894,-2.000,-1.946,0.00
0.54909,-1.987,-1.946,0.00
0.55925,-1.987,-1.947,0.00
0.56943,-1.987,-1.947,0.00
0.57959,-1.988,-1.947,0.00
0.59041,-2.007,-1.948,0.00
0.60056,-2.007,-1.948,0.00
0.61077,-2.020,-1.948,0.00
0.62097,-2.020,-1.948,0.00
0.63227,-2.017,-1.949,0.00
0.64260,-2.017,-1.949,0.00
0.65305,-2.012,-1.949,0.00
0.66327,-2.012,-1.954,0.00
0.67355,-2.016,-1.959,0.00
0.68493,-2.016,-1.959,0.00
0.69502,-2.027,-1.963,0.00
0.70521,-2.027,-1.963,0.00
0.71560,-2.041,-1.967,0.00
0.72582,-2.041,-1.972,0.00
0.73683,-2.054,-1.972,0.00
0.74690,-2.054,-1.972,0.00
0.75719,-2.069,-1.979,0.00
0.76737,-2.069,-1.979,0.00
0.77750,-2.076,-1.984,0.00
0.78766,-2.080,-1.985,0.00
0.79781,-2.080,-1.985,0.00
0.80797,-2.084,-1.985,0.00
0.81816,-2.084,-1.985,0.00
0.82831,-2.087,-1.985,0.00
0.83900,-2.087,-1.985,0.00
0.84915,-2.086,-1.985,0.00
0.85940,-2.086,-1.985,0.00
0.86945,-2.088,-1.984,0.00
0.87961,-2.088,-1.984,0.00
0.89056,-2.098,-1.984,0.00
0.90071,-2.098,-1.984,0.00
0.91087,-2.110,-1.985,0.00
0.92103,-2.110,-1.985,0.00
0.93174,-2.112,-1.985,0.00
0.94189,-2.112,-1.985,0.00
0.95226,-2.106,-1.984,0.00
0.96241,-2.106,-1.984,0.00
0.97299,-2.099,-1.983,0.00
0.98312,-2.099,-1.983,0.00
0.99327,-2.106,-1.982,0.00
1.00364,-2.106,-1.982,0.00
1.01378,-2.117,-1.979,0.00
1.02407,-2.117,-1.979,0.00
1.03423,-2.106,-1.977,0.00
1.04463,-2.106,-1.977,0.00
1.05479,-2.084,-1.976,0.00
1.06504,-2.084,-1.976,0.00
1.07542,-2.077,-1.975,0.00
1.08557,-2.077,-1.974,0.00
1.09573,-2.086,-1.974,0.00
1.10612,-2.086,-1.975,0.00
1.11624,-2.089,-1.975,0.00
1.12651,-2.083,-1.978,0.00
1.13682,-2.083,-1.978,0.00
