time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.01546,-4.622,1.070,0.00
0.02563,-4.621,1.067,0.00
0.03580,-4.620,1.067,0.00
0.04617,-4.620,1.067,0.00
0.05634,-4.623,1.066,0.00
0.06665,-4.623,1.066,0.00
0.07697,-4.628,1.060,0.00
0.08739,-4.630,1.054,0.00
0.09780,-4.630,1.054,0.00
0.10787,-4.630,1.054,0.00
0.11807,-4.628,1.051,0.00
0.12829,-4.628,1.051,0.00
0.13860,-4.628,1.048,0.00
0.14897,-4.618,1.039,0.00
0.15914,-4.618,1.039,0.00
0.16930,-4.618,1.026,0.00
0.17964,-4.628,1.026,0.00
0.18980,-4.638,1.013,0.00
0.19997,-4.638,1.013,0.00
0.21028,-4.636,1.001,0.00
0.22045,-4.636,1.001,0.00
0.23080,-4.629,0.989,0.00
0.24102,-4.629,0.989,0.00
0.25122,-4.629,0.968,0.00
0.26139,-4.628,0.968,0.00
0.27156,-4.628,0.944,0.00
0.28173,-4.628,0.944,0.00
0.29207,-4.628,0.927,0.00
0.30240,-4.630,0.927,0.00
0.31293,-4.641,0.917,0.00
0.32309,-4.641,0.917,0.00
0.33404,-4.648,0.905,0.00
0.34373,-4.648,0.905,0.00
0.35390,-4.649,0.894,0.00
0.36407,-4.649,0.894,0.00
0.37424,-4.644,0.884,0.00
0.38443,-4.644,0.884,0.00
0.39633,-4.632,0.877,0.00
0.40663,-4.632,0.877,0.00
0.41734,-4.628,0.873,0.00
0.42799,-4.627,0.873,0.00
0.43815,-4.627,0.873,0.00
0.44842,-4.627,0.873,0.00
0.45870,-4.623,0.872,0.00
0.46890,-4.615,0.874,0.00
0.47924,-4.615,0.874,0.00
0.48968,-4.610,0.877,0.00
0.49986,-4.610,0.877,0.00
0.51016,-4.606,0.878,0.00
0.52243,-4.600,0.878,0.00
0.53485,-4.600,0.881,0.00
0.54534,-4.594,0.883,0.00
0.55571,-4.594,0.883,0.00
0.56720,-4.594,0.883,0.00
0.57736,-4.596,0.889,0.00
0.58752,-4.599,0.894,0.00
0.59779,-4.599,0.894,0.00
0.60801,-4.599,0.894,0.00
0.61821,-4.588,0.901,0.00
0.62838,-4.571,0.901,0.00
0.63855,-4.571,0.909,0.00
0.64985,-4.571,0.909,0.00
0.66005,-4.559,0.917,0.00
0.67031,-4.550,0.923,0.00
0.68049,-4.550,0.923,0.00
0.69068,-4.546,0.923,0.00
0.70207,-4.546,0.925,0.00
0.71224,-4.546,0.929,0.00
0.72241,-4.546,0.929,0.00
0.73257,-4.546,0.934,0.00
0.74273,-4.546,0.934,0.00
0.75323,-4.544,0.940,0.00
0.76365,-4.544,0.940,0.00
0.77407,-4.540,0.945,0.00
0.78452,-4.540,0.945,0.00
0.79550,-4.532,0.951,0.00
0.80591,-4.544,0.951,0.00
0.81632,-4.544,0.955,0.00
0.82651,-4.544,0.959,0.00
0.83667,-4.568,0.959,0.00
0.84687,-4.584,0.962,0.00
0.85704,-4.584,0.962,0.00
0.86721,-4.590,0.967,0.00
0.87742,-4.590,0.967,0.00
0.88758,-4.594,0.976,0.00
0.89785,-4.594,0.976,0.00
0.90802,-4.607,0.982,0.00
0.91833,-4.607,0.982,0.00
0.92851,-4.627,0.985,0.00
0.93867,-4.627,0.985,0.00
0.94913,-4.641,0.988,0.00
0.95928,-4.641,0.988,0.00
0.96944,-4.650,0.995,0.00
0.97964,-4.650,0.995,0.00
0.98991,-4.663,1.002,0.00
1.00006,-4.663,1.002,0.00
1.01021,-4.694,1.003,0.00
1.02042,-4.694,1.003,0.00
1.03057,-4.727,1.000,0.00
1.04080,-4.727,1.000,0.00
1.05098,-4.737,1.001,0.00
1.06111,-4.737,1.005,0.00
1.07146,-4.737,1.005,0.00
1.08175,-4.737,1.005,0.00
1.09200,-4.732,1.014,0.00
1.10224,-4.720,1.014,0.00
1.11248,-4.720,1.024,0.00
1.12282,-4.705,1.024,0.00
1.13318,-4.705,1.031,0.00
1.14368,-4.701,1.037,0.00
1.15392,-4.701,1.037,0.00
1.16428,-4.702,1.043,0.00
1.17452,-4.702,1.043,0.00
1.18463,-4.704,1.055,0.00
1.19497,-4.704,1.055,0.00
1.20527,-4.704,1.071,0.00
1.21542,-4.710,1.071,0.00
1.22573,-4.721,1.075,0.00
1.23616,-4.721,1.075,0.00
1.24647,-4.724,1.072,0.00
1.25690,-4.724,1.072,0.00
1.26709,-4.718,1.072,0.00
1.27748,-4.718,1.072,0.00
1.28782,-4.710,1.081,0.00
1.29798,-4.710,1.081,0.00
1.30829,-4.706,1.103,0.00
1.31865,-4.706,1.103,0.00
1.32898,-4.701,1.132,0.00
1.33935,-4.701,1.132,0.00
1.34959,-4.694,1.157,0.00
1.36003,-4.694,1.157,0.00
1.37018,-4.690,1.161,0.00
1.38064,-4.690,1.161,0.00
1.39074,-4.689,1.146,0.00
1.40091,-4.689,1.146,0.00
1.41107,-4.681,1.133,0.00
1.42123,-4.668,1.133,0.00
1.43139,-4.668,1.136,0.00
1.44155,-4.668,1.136,0.00
1.45177,-4.660,1.152,0.00
1.46194,-4.660,1.152,0.00
1.47215,-4.650,1.175,0.00
1.48232,-4.643,1.175,0.00
1.49331,-4.643,1.198,0.00
1.50357,-4.642,1.221,0.00
1.51403,-4.642,1.221,0.00
1.52418,-4.641,1.243,0.00
1.53434,-4.641,1.243,0.00
1.54468,-4.639,1.268,0.00
1.55524,-4.639,1.268,0.00
1.56565,-4.634,1.294,0.00
