time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00274,-1.515,2.006,0.00
0.02817,-1.515,2.007,0.00
0.04887,-1.514,2.007,0.00
0.07046,-1.507,2.022,0.00
0.08126,-1.496,2.029,0.00
0.09154,-1.485,2.028,0.00
0.10481,-1.478,2.032,0.00
0.11928,-1.476,2.032,0.00
0.12946,-1.476,2.044,0.00
0.14191,-1.478,2.057,0.00
0.15505,-1.481,2.057,0.00
0.16635,-1.481,2.067,0.00
0.18013,-1.482,2.073,0.00
0.19368,-1.478,2.083,0.00
0.20390,-1.470,2.097,0.00
0.23573,-1.470,2.097,0.00
0.24718,-1.469,2.103,0.00
0.25743,-1.469,2.103,0.00
0.26894,-1.469,2.103,0.00
0.27911,-1.469,2.103,0.00
0.28926,-1.469,2.106,0.00
0.31060,-1.471,2.109,0.00
0.32106,-1.472,2.114,0.00
0.33123,-1.472,2.118,0.00
0.34632,-1.469,2.128,0.00
0.35653,-1.469,2.128,0.00
0.37369,-1.469,2.128,0.00
0.38412,-1.474,2.131,0.00
0.39604,-1.481,2.134,0.00
0.40793,-1.486,2.136,0.00
0.41809,-1.486,2.136,0.00
0.42848,-1.486,2.136,0.00
0.43867,-1.497,2.139,0.00
0.44883,-1.516,2.143,0.00
0.46001,-1.516,2.143,0.00
0.47024,-1.516,2.143,0.00
0.48130,-1.516,2.143,0.00
0.49146,-1.506,2.147,0.00
0.50247,-1.499,2.151,0.00
0.51264,-1.499,2.151,0.00
0.52486,-1.500,2.155,0.00
0.53502,-1.495,2.161,0.00
0.54540,-1.495,2.161,0.00
0.55657,-1.495,2.166,0.00
0.56674,-1.495,2.166,0.00
0.58469,-1.513,2.171,0.00
0.59665,-1.544,2.175,0.00
0.60684,-1.544,2.175,0.00
0.61929,-1.544,2.175,0.00
0.62955,-1.576,2.178,0.00
0.64028,-1.576,2.178,0.00
0.65377,-1.576,2.182,0.00
0.66718,-1.615,2.180,0.00
0.67743,-1.620,2.174,0.00
0.68788,-1.620,2.174,0.00
0.70437,-1.620,2.174,0.00
0.71424,-1.565,2.163,0.00
0.72525,-1.565,2.163,0.00
0.73542,-1.565,2.163,0.00
0.74577,-1.542,2.163,0.00
