time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00191,75.905,78.369,0.00
0.01207,75.905,78.369,0.00
0.02223,75.905,78.369,0.00
0.03266,75.905,78.369,0.00
0.04316,75.905,78.369,0.00
0.05331,75.905,78.369,0.00
0.06364,75.905,78.369,0.00
0.07380,75.905,78.369,0.00
0.08394,75.905,78.369,0.00
0.09422,75.905,78.369,0.00
0.10455,75.905,78.369,0.00
0.11473,75.905,78.369,0.00
0.12489,75.905,78.369,0.00
0.13506,75.905,78.369,0.00
0.14521,75.905,78.369,0.00
0.15535,75.905,78.369,0.00
0.16570,75.905,78.369,0.00
0.17585,75.905,78.369,0.00
0.18663,75.905,78.369,0.00
0.19710,75.905,78.369,0.00
0.20724,75.905,78.369,0.00
0.21739,75.905,78.369,0.00
0.22756,75.905,78.369,0.00
0.23770,75.905,78.369,0.00
0.24785,75.905,78.369,0.00
0.25799,75.905,78.369,0.00
0.26814,75.905,78.369,0.00
0.27829,75.905,78.369,0.00
0.28845,75.905,78.369,0.00
0.29863,75.905,78.369,0.00
0.30878,75.905,78.369,0.00
0.31894,75.905,78.369,0.00
0.32908,75.905,78.369,0.00
0.33926,75.905,78.369,0.00
0.34942,75.905,78.369,0.00
0.35959,75.905,78.369,0.00
0.36975,75.905,78.369,0.00
0.37991,75.905,78.369,0.00
0.39007,75.905,78.369,0.00
0.40051,75.905,78.369,0.00
0.41087,75.905,78.369,0.00
0.42104,75.905,78.369,0.00
0.43119,75.905,78.369,0.00
0.44135,75.905,78.369,0.00
0.45151,75.905,78.369,0.00
0.46194,75.905,78.369,0.00
0.47210,75.905,78.369,0.00
0.48240,75.905,78.369,0.00
0.49284,75.905,78.369,0.00
0.50300,75.905,78.369,0.00
0.51314,75.905,78.369,0.00
0.52331,75.905,78.369,0.00
0.53345,75.905,78.369,0.00
0.54361,75.905,78.369,0.00
0.55377,75.905,78.369,0.00
0.56392,75.905,78.369,0.00
0.57412,75.905,78.369,0.00
0.58427,75.905,78.369,0.00
0.59453,75.905,78.369,0.00
0.60469,75.905,78.369,0.00
0.61485,75.905,78.369,0.00
0.62499,75.905,78.369,0.00
0.63514,75.905,78.369,0.00
0.64530,75.905,78.369,0.00
0.65549,75.905,78.369,0.00
0.66569,75.905,78.369,0.00
0.67586,75.905,78.369,0.00
0.68602,75.905,78.369,0.00
0.69619,75.905,78.369,0.00
0.70663,75.905,78.369,0.00
0.71681,75.905,78.369,0.00
0.72722,75.905,78.369,0.00
0.73751,75.905,78.369,0.00
0.74779,75.905,78.369,0.00
0.75818,75.905,78.369,0.00
0.76843,75.905,78.369,0.00
0.77890,75.905,78.369,0.00
0.78922,75.905,78.369,0.00
0.79941,75.905,78.369,0.00
0.80984,75.905,78.369,0.00
0.82035,75.905,78.369,0.00
0.83071,75.905,78.369,0.00
0.84093,75.905,78.369,0.00
0.85117,75.905,78.369,0.00
0.86145,75.905,78.369,0.00
0.87175,75.905,78.369,0.00
0.88214,75.905,78.369,0.00
0.89237,75.905,78.369,0.00
0.90308,75.905,78.369,0.00
0.91333,75.905,78.369,0.00
0.92348,75.905,78.369,0.00
0.93386,75.905,78.369,0.00
0.94401,75.905,78.369,0.00
0.95431,75.905,78.369,0.00
0.96446,75.905,78.369,0.00
0.97461,75.905,78.369,0.00
0.98473,75.905,78.369,0.00
0.99489,75.905,78.369,0.00
1.00508,75.905,78.369,0.00
1.01530,75.905,78.369,0.00
1.02572,75.905,78.369,0.00
1.03592,75.905,78.369,0.00
1.04661,75.905,78.369,0.00
1.05680,75.905,78.369,0.00
1.06711,75.905,78.369,0.00
1.07726,75.905,78.369,0.00
1.08742,75.905,78.369,0.00
1.09757,75.905,78.369,0.00
1.10773,75.905,78.369,0.00
1.11789,75.905,78.369,0.00
1.12806,75.905,78.369,0.00
1.13823,75.905,78.369,0.00
1.14839,75.905,78.369,0.00
1.15857,75.905,78.369,0.00
1.16874,75.905,78.369,0.00
1.17919,75.905,78.369,0.00
1.18935,75.905,78.369,0.00
1.19967,75.905,78.369,0.00
1.20983,75.905,78.369,0.00
1.21998,75.905,78.369,0.00
1.23014,75.905,78.369,0.00
1.24029,75.905,78.369,0.00
1.25057,75.905,78.369,0.00
1.26072,75.905,78.369,0.00
1.27087,75.905,78.369,0.00
1.28103,75.905,78.369,0.00
1.29153,75.905,78.369,0.00
1.30170,75.905,78.369,0.00
1.31204,75.905,78.369,0.00
1.32231,75.905,78.369,0.00
1.33270,75.905,78.369,0.00
1.34315,75.905,78.369,0.00
1.35340,75.905,78.369,0.00
1.36369,75.905,78.369,0.00
1.37406,75.905,78.369,0.00
1.38431,75.905,78.369,0.00
1.39481,75.905,78.369,0.00
1.40509,75.905,78.369,0.00
1.41548,75.905,78.369,0.00
1.42594,75.905,78.369,0.00
1.43612,75.905,78.369,0.00
1.44640,75.905,78.369,0.00
1.45670,75.905,78.369,0.00
1.46719,75.905,78.369,0.00
1.47747,75.905,78.369,0.00
1.48776,75.905,78.369,0.00
1.49809,75.905,78.369,0.00
1.50839,75.905,78.369,0.00
1.51892,75.905,78.369,0.00
1.52908,75.905,78.369,0.00
1.53924,75.905,78.369,0.00
1.54944,75.905,78.369,0.00
1.55977,75.905,78.369,0.00
1.56996,75.905,78.369,0.00
1.58031,75.905,78.369,0.00
1.59054,75.905,78.369,0.00
1.60071,75.905,78.369,0.00
1.61087,75.905,78.369,0.00
1.62101,75.905,78.369,0.00
1.63117,75.905,78.369,0.00
1.64132,75.905,78.369,0.00
1.65147,75.905,78.369,0.00
1.66183,75.905,78.369,0.00
1.67211,75.905,78.369,0.00
1.68230,75.905,78.369,0.00
1.69245,75.905,78.369,0.00
1.70262,75.905,78.369,0.00
1.71279,75.905,78.369,0.00
1.72297,75.905,78.369,0.00
1.73313,75.905,78.369,0.00
1.74329,75.905,78.369,0.00
1.75345,75.905,78.369,0.00
1.76361,75.905,78.369,0.00
1.77383,75.905,78.369,0.00
1.78400,75.905,78.369,0.00
1.79415,75.905,78.369,0.00
1.80432,75.905,78.369,0.00
1.81457,75.905,78.369,0.00
1.82478,75.905,78.369,0.00
1.83495,75.905,78.369,0.00
1.84529,75.905,78.369,0.00
1.85594,75.905,78.369,0.00
1.86617,75.905,78.369,0.00
1.87640,75.905,78.369,0.00
1.88723,75.905,78.369,0.00
1.89770,75.905,78.369,0.00
