time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.01828,4.451,7.795,0.00
0.02947,4.022,7.577,0.00
0.04388,4.022,7.577,0.00
0.05437,4.022,7.577,0.00
0.07337,3.561,7.577,0.00
0.08462,3.561,7.141,0.00
0.09499,3.282,6.912,0.00
0.10528,3.282,6.912,0.00
0.11550,3.013,6.912,0.00
0.12566,2.835,6.432,0.00
0.13579,2.835,6.432,0.00
0.14596,2.717,6.432,0.00
0.15627,2.717,6.185,0.00
0.16672,2.623,6.185,0.00
0.17689,2.623,5.922,0.00
0.18706,2.507,5.615,0.00
0.19723,2.507,5.615,0.00
0.20740,2.507,5.615,0.00
0.21756,2.378,5.334,0.00
0.22772,2.378,5.334,0.00
0.23789,2.240,5.050,0.00
0.24835,2.092,4.762,0.00
0.26122,2.092,4.762,0.00
0.27139,1.974,4.464,0.00
0.28156,1.974,4.464,0.00
0.29172,1.890,4.156,0.00
0.30188,1.890,4.156,0.00
0.31220,1.828,3.881,0.00
0.32246,1.828,3.618,0.00
0.33278,1.782,3.618,0.00
0.34363,1.782,3.349,0.00
0.35381,1.778,3.349,0.00
0.36398,1.842,3.142,0.00
0.37422,1.842,3.142,0.00
0.38464,1.973,2.936,0.00
0.39501,1.973,2.936,0.00
0.40533,2.138,2.738,0.00
0.41578,2.138,2.738,0.00
0.42602,2.345,2.565,0.00
0.43679,2.345,2.565,0.00
0.44704,2.558,2.390,0.00
0.45732,2.558,2.390,0.00
0.46762,2.719,2.203,0.00
0.47794,2.719,2.203,0.00
0.48821,2.842,2.203,0.00
0.49837,2.842,2.035,0.00
0.50856,2.949,1.873,0.00
0.51873,2.949,1.873,0.00
0.52892,3.031,1.692,0.00
0.53909,3.031,1.692,0.00
0.54928,3.031,1.692,0.00
0.55944,3.086,1.537,0.00
0.56960,3.116,1.384,0.00
0.57987,3.116,1.384,0.00
0.59004,3.116,1.384,0.00
0.60025,3.147,1.229,0.00
0.61041,3.179,1.074,0.00
0.62058,3.179,1.074,0.00
0.63075,3.180,0.923,0.00
0.64092,3.180,0.923,0.00
0.65116,3.147,0.764,0.00
0.66133,3.147,0.764,0.00
0.67149,3.147,0.764,0.00
