time,old_sh_el_deg,sh_el_deg,stim_curr
0.00233,-1.042,-1.075,0.00
0.01832,-1.141,-1.173,0.00
0.02850,-1.201,-1.201,0.00
0.03868,-1.201,-1.201,0.00
0.04908,-1.201,-1.201,0.00
0.05930,-1.201,-1.201,0.00
0.06948,-1.201,-1.201,0.00
0.07966,-1.201,-1.201,0.00
0.08983,-1.201,-1.201,0.00
0.10000,-1.201,-1.201,0.00
0.11016,-1.201,-1.201,0.00
0.12032,-1.224,-1.224,0.00
0.13047,-1.241,-1.256,0.00
0.14063,-1.268,-1.275,0.00
0.15094,-1.274,-1.274,0.00
0.16116,-1.274,-1.268,0.00
0.17135,-1.268,-1.268,0.00
0.18151,-1.268,-1.268,0.00
0.19179,-1.268,-1.268,0.00
0.20195,-1.268,-1.268,0.00
0.21212,-1.268,-1.268,0.00
0.22228,-1.268,-1.268,0.00
0.23246,-1.268,-1.268,0.00
0.24262,-1.268,-1.268,0.00
0.25278,-1.268,-1.258,0.00
0.26299,-1.258,-1.249,0.00
0.27312,-1.234,-1.216,0.00
0.28328,-1.195,-1.172,0.00
0.29345,-1.172,-1.172,0.00
0.30366,-1.172,-1.172,0.00
0.31385,-1.172,-1.172,0.00
0.32442,-1.172,-1.172,0.00
0.33459,-1.172,-1.172,0.00
0.34475,-1.172,-1.172,0.00
0.35507,-1.172,-1.172,0.00
0.36540,-1.172,-1.172,0.00
0.37571,-1.172,-1.172,0.00
0.38626,-1.172,-1.172,0.00
0.39733,-1.150,-1.132,0.00
0.41060,-1.113,-1.098,0.00
0.42082,-1.087,-1.079,0.00
0.43118,-1.075,-1.075,0.00
0.44158,-1.075,-1.075,0.00
0.45194,-1.075,-1.075,0.00
0.46238,-1.075,-1.075,0.00
0.47274,-1.075,-1.073,0.00
0.48311,-1.072,-1.074,0.00
0.49329,-1.074,-1.074,0.00
0.50458,-1.082,-1.082,0.00
0.51477,-1.082,-1.082,0.00
0.52515,-1.082,-1.082,0.00
0.53532,-1.082,-1.082,0.00
0.54557,-1.082,-1.082,0.00
0.55578,-1.082,-1.082,0.00
0.56595,-1.082,-1.082,0.00
0.57612,-1.082,-1.082,0.00
0.58629,-1.082,-1.082,0.00
0.59653,-1.082,-1.082,0.00
0.60687,-1.082,-1.082,0.00
0.61730,-1.082,-1.082,0.00
