time,old_sh_el_deg,sh_el_deg,stim_curr
0.00352,-2.935,-2.927,0.00
0.01368,-2.927,-2.927,0.00
0.02392,-2.927,-2.921,0.00
0.03408,-2.921,-2.921,0.00
0.04423,-2.918,-2.918,0.00
0.05458,-2.918,-2.918,0.00
0.06532,-2.915,-2.915,0.00
0.07612,-2.915,-2.915,0.00
0.08628,-2.910,-2.910,0.00
0.09645,-2.910,-2.907,0.00
0.10661,-2.907,-2.907,0.00
0.11677,-2.907,-2.903,0.00
0.12692,-2.903,-2.903,0.00
0.13712,-2.903,-2.903,0.00
0.14728,-2.903,-2.903,0.00
0.15782,-2.903,-2.900,0.00
0.16805,-2.900,-2.900,0.00
0.17845,-2.900,-2.895,0.00
0.18877,-2.895,-2.895,0.00
0.19896,-2.895,-2.891,0.00
0.20911,-2.891,-2.891,0.00
0.21929,-2.891,-2.889,0.00
0.22945,-2.889,-2.889,0.00
0.23962,-2.889,-2.885,0.00
0.24978,-2.885,-2.885,0.00
0.25994,-2.885,-2.881,0.00
0.27031,-2.881,-2.881,0.00
0.28048,-2.881,-2.876,0.00
0.29065,-2.876,-2.876,0.00
0.30094,-2.876,-2.873,0.00
0.31109,-2.873,-2.873,0.00
0.32128,-2.873,-2.873,0.00
0.33152,-2.867,-2.867,0.00
0.34171,-2.867,-2.862,0.00
0.35197,-2.862,-2.862,0.00
0.36226,-2.857,-2.857,0.00
0.37248,-2.857,-2.857,0.00
0.38270,-2.851,-2.851,0.00
0.39303,-2.851,-2.851,0.00
0.40319,-2.851,-2.846,0.00
0.41404,-2.846,-2.846,0.00
0.42420,-2.841,-2.841,0.00
0.43491,-2.841,-2.841,0.00
0.44507,-2.836,-2.836,0.00
0.45524,-2.836,-2.836,0.00
0.46579,-2.833,-2.833,0.00
0.47662,-2.833,-2.833,0.00
0.48681,-2.834,-2.834,0.00
0.49696,-2.834,-2.834,0.00
0.50713,-2.831,-2.831,0.00
0.51732,-2.831,-2.831,0.00
0.52748,-2.828,-2.828,0.00
0.53831,-2.828,-2.828,0.00
0.54847,-2.830,-2.830,0.00
0.55863,-2.830,-2.835,0.00
0.56906,-2.835,-2.835,0.00
0.57921,-2.835,-2.837,0.00
0.58959,-2.837,-2.837,0.00
0.60014,-2.837,-2.837,0.00
0.61031,-2.839,-2.839,0.00
0.62048,-2.839,-2.845,0.00
0.63066,-2.845,-2.845,0.00
0.64103,-2.845,-2.845,0.00
0.65128,-2.850,-2.850,0.00
0.66145,-2.850,-2.850,0.00
0.67162,-2.855,-2.855,0.00
0.68178,-2.855,-2.855,0.00
0.69194,-2.859,-2.859,0.00
0.70211,-2.859,-2.862,0.00
0.71234,-2.862,-2.862,0.00
0.72251,-2.867,-2.867,0.00
0.73329,-2.867,-2.867,0.00
0.74366,-2.869,-2.869,0.00
0.75382,-2.869,-2.869,0.00
0.76398,-2.873,-2.873,0.00
0.77414,-2.873,-2.873,0.00
0.78431,-2.873,-2.872,0.00
0.79516,-2.872,-2.872,0.00
0.80566,-2.873,-2.873,0.00
0.81586,-2.873,-2.873,0.00
0.82634,-2.874,-2.874,0.00
0.83657,-2.874,-2.874,0.00
0.84685,-2.874,-2.875,0.00
0.85996,-2.875,-2.875,0.00
0.87006,-2.878,-2.878,0.00
0.88022,-2.878,-2.878,0.00
0.89168,-2.880,-2.880,0.00
0.90199,-2.884,-2.884,0.00
0.91242,-2.884,-2.884,0.00
0.92313,-2.894,-2.894,0.00
0.93427,-2.894,-2.894,0.00
0.94451,-2.905,-2.905,0.00
0.95471,-2.905,-2.905,0.00
0.96489,-2.916,-2.916,0.00
0.97520,-2.916,-2.916,0.00
0.98537,-2.926,-2.926,0.00
0.99550,-2.926,-2.926,0.00
1.00564,-2.935,-2.935,0.00
1.01579,-2.935,-2.935,0.00
1.02595,-2.944,-2.944,0.00
1.03612,-2.944,-2.944,0.00
1.04627,-2.956,-2.956,0.00
1.05642,-2.956,-2.970,0.00
1.06656,-2.970,-2.970,0.00
1.07713,-2.970,-2.979,0.00
1.08748,-2.979,-2.979,0.00
