time,old_sh_el_deg,sh_el_deg,stim_curr
0.00074,0.000,75.332,0.00
0.01091,75.332,75.332,0.00
0.02105,75.332,75.332,0.00
0.03134,75.332,75.332,0.00
0.05446,75.332,75.332,12.50
0.06462,75.332,75.332,12.50
0.08633,75.332,75.332,12.50
0.09649,75.332,75.332,12.50
0.10673,75.332,75.332,12.50
0.11893,75.332,75.332,12.50
0.12911,75.332,75.332,12.50
0.13929,75.332,75.332,12.50
0.15119,75.332,75.332,12.50
0.16136,75.332,75.332,12.50
0.17150,75.332,75.332,12.50
0.18351,75.332,75.332,12.50
0.19368,75.332,75.332,12.50
0.20382,75.332,75.332,12.50
0.21454,75.332,75.332,12.50
0.22472,75.332,75.332,12.50
0.23495,75.332,75.332,12.50
0.26373,75.332,75.332,12.50
0.27386,75.332,75.332,12.50
0.29416,75.332,75.332,12.50
0.30442,75.332,75.332,12.50
0.32635,75.332,75.332,13.00
0.33652,75.332,75.332,13.00
0.35848,75.332,75.332,13.00
0.36866,75.332,75.332,13.00
0.37880,75.332,75.332,13.00
0.39056,75.332,75.332,13.00
0.40071,75.332,75.332,13.00
0.41081,75.332,75.332,13.00
0.42218,75.332,75.332,13.00
0.43236,75.332,75.332,13.00
0.44249,75.332,75.332,13.00
0.45431,75.332,75.332,13.00
0.46448,75.332,75.332,13.00
0.47461,75.332,75.332,13.00
0.48654,75.332,75.332,13.00
0.49668,75.332,75.332,13.00
0.50682,75.332,75.332,13.00
0.51849,75.332,75.332,13.00
0.52862,75.332,75.332,13.00
0.53886,75.332,75.332,13.00
0.54956,75.332,75.332,13.00
0.56642,75.332,75.332,13.00
0.57658,75.332,75.332,13.00
0.59879,75.332,75.332,13.00
0.60896,75.332,75.332,13.00
0.63040,75.332,75.332,13.00
0.64067,75.332,75.332,13.00
0.66240,75.332,75.332,13.50
0.67256,75.332,75.332,13.50
0.68272,75.332,75.332,13.50
0.69458,75.332,75.332,13.50
0.70508,75.332,75.332,13.50
0.71602,75.332,75.332,13.50
0.72650,75.332,75.332,13.50
0.73678,75.332,75.332,13.50
0.74705,75.332,75.332,13.50
0.75922,75.332,75.332,13.50
0.76935,75.332,75.332,13.50
0.77951,75.332,75.332,13.50
0.79065,75.332,75.332,13.50
0.80111,75.332,75.332,13.50
0.81129,75.332,75.332,13.50
0.82277,75.332,75.332,14.00
0.83301,75.332,75.332,14.00
0.84334,75.332,75.332,14.00
0.85441,75.332,75.332,14.00
0.86459,75.332,75.332,14.00
0.87475,75.332,75.332,14.00
0.88492,75.332,75.332,14.00
0.90260,75.332,75.332,14.00
0.91290,75.332,75.332,14.00
0.93438,75.332,75.332,14.50
0.94541,75.332,75.332,14.50
0.96776,75.332,75.332,14.50
0.97808,75.332,75.332,14.50
0.99832,75.332,75.332,14.50
1.00850,75.332,75.332,14.50
1.01865,75.332,75.332,14.50
1.03041,75.332,75.332,15.00
1.04057,75.332,75.332,15.00
1.05073,75.332,75.332,15.00
1.06239,75.332,75.332,15.00
1.07254,75.332,75.332,15.00
1.08274,75.332,75.332,15.00
1.09432,75.332,75.332,15.50
1.10603,75.332,75.332,15.50
1.11648,75.332,75.332,15.50
1.12799,75.332,75.332,15.50
1.13838,75.332,75.332,15.50
1.14854,75.332,75.332,15.50
1.15929,75.332,75.332,16.00
1.16978,75.332,75.332,16.00
1.18008,75.332,75.332,16.00
1.20660,75.332,75.332,16.00
1.21702,75.332,75.332,16.00
1.23840,75.332,75.332,16.50
1.24866,75.332,75.332,16.50
1.27023,75.332,75.332,16.50
1.28057,75.332,75.332,16.50
1.30246,75.332,75.332,17.00
1.31310,75.332,75.332,17.00
1.33521,75.332,75.332,17.00
1.34554,75.332,75.332,17.00
1.35587,75.332,75.332,17.50
1.36698,75.332,75.332,17.50
1.37752,75.332,75.332,17.50
1.38795,75.332,75.332,17.50
1.39940,75.332,75.332,17.50
1.40978,75.332,75.332,17.50
1.41994,75.332,75.332,17.50
1.43083,75.332,75.332,18.00
1.44103,75.332,75.332,18.00
1.45118,75.332,75.332,18.00
1.46250,75.332,75.332,18.00
1.47264,75.332,75.332,18.00
1.48275,75.332,75.332,18.00
1.49440,75.332,75.332,18.50
1.50457,75.332,75.332,18.50
1.51471,75.332,75.332,18.50
1.54391,75.332,75.332,18.50
1.55406,75.332,75.332,18.50
1.57475,75.332,75.332,19.00
1.58517,75.332,75.332,19.00
1.60636,75.332,75.332,19.00
1.61652,75.332,75.332,19.00
1.63826,75.332,75.332,19.50
1.64842,75.332,75.332,19.50
1.65883,75.332,75.332,19.50
1.67038,75.332,75.332,19.50
1.68054,75.332,75.332,19.50
1.69092,75.332,75.332,19.50
1.70352,75.332,75.332,19.50
1.71370,75.332,75.332,19.50
1.72387,75.332,75.332,19.50
1.73449,75.332,75.332,20.00
1.74508,75.332,75.332,20.00
1.75532,75.332,75.332,20.00
1.76736,75.332,75.332,20.00
1.77809,75.332,75.332,20.00
1.78778,75.332,75.332,20.00
1.79913,75.332,75.332,20.00
1.80900,75.332,75.332,20.00
1.81916,75.332,75.332,20.00
1.84648,75.332,75.332,20.50
1.85762,75.332,75.332,20.50
1.87838,75.332,75.332,20.50
1.88854,75.332,75.332,20.50
1.91069,75.332,75.332,20.50
1.92155,75.332,75.332,20.50
1.94243,75.332,75.332,20.50
1.95365,75.332,75.332,20.50
1.97455,75.332,75.332,20.50
1.98520,75.332,75.332,20.50
2.00626,75.332,75.332,21.00
2.01645,75.332,75.332,21.00
2.02665,75.332,75.332,21.00
2.03834,75.332,75.332,21.00
2.04850,75.332,75.332,21.00
2.05865,75.332,75.332,21.00
2.07037,75.332,75.332,21.00
2.08066,75.332,75.332,21.00
2.09083,75.332,75.332,21.00
2.10247,75.332,75.332,21.00
2.11263,75.332,75.332,21.00
2.12278,75.332,75.332,21.00
2.13315,75.332,75.332,21.00
2.15168,75.332,75.332,21.00
2.16180,75.332,75.332,21.00
2.18387,75.332,75.332,21.00
2.19403,75.332,75.332,21.00
2.21424,75.332,75.332,21.00
2.22441,75.332,75.332,21.00
2.24633,75.332,75.332,21.00
2.25650,75.332,75.332,21.00
2.26664,75.332,75.332,21.00
2.27678,75.332,75.332,0.00
2.28694,75.332,75.332,0.00
2.29708,75.332,75.332,0.00
2.30723,75.332,75.332,0.00
2.31737,75.332,75.332,0.00
2.32751,75.332,75.332,0.00
2.33766,75.332,75.332,0.00
2.34780,75.332,75.332,0.00
2.35794,75.332,75.332,0.00
2.36820,75.332,75.332,0.00
2.37834,75.332,75.332,0.00
2.38847,75.332,75.332,0.00
2.39861,75.332,75.332,0.00
2.40875,75.332,75.332,0.00
2.41889,75.332,75.332,0.00
2.42903,75.332,75.332,0.00
2.43916,75.332,75.332,0.00
2.44930,75.332,75.332,0.00
2.46042,75.332,75.332,0.00
2.47071,75.332,75.332,0.00
2.48088,75.332,75.332,0.00
2.49103,75.332,75.332,0.00
2.50129,75.332,75.332,0.00
2.51148,75.332,75.332,0.00
2.52169,75.332,75.332,0.00
2.53189,75.332,75.332,0.00
2.54236,75.332,75.332,0.00
2.55297,75.332,75.332,0.00
2.56294,75.332,75.332,0.00
2.57308,75.332,75.332,0.00
2.58321,75.332,75.332,0.00
2.59335,75.332,75.332,0.00
2.60354,75.332,75.332,0.00
2.61368,75.332,75.332,0.00
2.62383,75.332,75.332,0.00
2.63397,75.332,75.332,0.00
2.64415,75.332,75.332,0.00
2.65428,75.332,75.332,0.00
2.66444,75.332,75.332,0.00
2.67468,75.332,75.332,0.00
2.68499,75.332,75.332,0.00
2.69513,75.332,75.332,0.00
2.70551,75.332,75.332,0.00
2.71571,75.332,75.332,0.00
2.72585,75.332,75.332,0.00
2.73600,75.332,75.332,0.00
2.74624,75.332,75.332,0.00
2.75640,75.332,75.332,0.00
2.76664,75.332,75.332,0.00
2.77694,75.332,75.332,0.00
2.78709,75.332,75.332,0.00
2.79742,75.332,75.332,0.00
2.80759,75.332,75.332,0.00
2.81815,75.332,75.332,0.00
2.82833,75.332,75.332,0.00
2.83812,75.332,75.332,0.00
2.84831,75.332,75.332,0.00
2.85847,75.332,75.332,0.00
2.86863,75.332,75.332,0.00
2.87877,75.332,75.332,0.00
2.88905,75.332,75.332,0.00
2.89919,75.332,75.332,0.00
2.90933,75.332,75.332,0.00
2.91947,75.332,75.332,0.00
2.92962,75.332,75.332,0.00
2.93976,75.332,75.332,0.00
2.94997,75.332,75.332,0.00
2.96011,75.332,75.332,0.00
