time,old_sh_el_deg,sh_el_deg,stim_curr
0.00255,3.417,3.417,0.00
0.01279,3.400,3.400,0.00
0.02594,3.382,3.382,0.00
0.03612,3.382,3.382,0.00
0.04753,3.363,3.363,0.00
0.05793,3.363,3.347,0.00
0.06851,3.347,3.347,0.00
0.07868,3.347,3.331,0.00
0.08903,3.331,3.331,0.00
0.09921,3.331,3.314,0.00
0.10935,3.314,3.314,0.00
0.11951,3.314,3.298,0.00
0.12967,3.298,3.298,0.00
0.13985,3.298,3.282,0.00
0.15002,3.282,3.282,0.00
0.16028,3.282,3.268,0.00
0.17046,3.268,3.268,0.00
0.18064,3.268,3.253,0.00
0.19080,3.253,3.253,0.00
0.20106,3.253,3.253,0.00
0.21121,3.238,3.238,0.00
0.22139,3.238,3.226,0.00
0.23153,3.226,3.226,0.00
0.24173,3.226,3.209,0.00
0.25195,3.209,3.209,0.00
0.26224,3.192,3.192,0.00
0.27241,3.192,3.192,0.00
0.28256,3.172,3.172,0.00
0.29283,3.172,3.172,0.00
0.30299,3.151,3.151,0.00
0.31512,3.151,3.151,0.00
0.32528,3.129,3.129,0.00
0.33632,3.129,3.129,0.00
0.34646,3.098,3.098,0.00
0.35740,3.098,3.098,0.00
0.36758,3.067,3.067,0.00
0.37893,3.067,3.067,0.00
0.38895,3.038,3.038,0.00
0.39912,3.038,3.009,0.00
0.40929,3.009,3.009,0.00
0.41945,3.009,2.977,0.00
0.42967,2.977,2.977,0.00
0.43983,2.977,2.940,0.00
0.45000,2.940,2.940,0.00
0.46026,2.940,2.908,0.00
0.47033,2.908,2.908,0.00
0.48055,2.908,2.908,0.00
0.49385,2.908,2.875,0.00
0.50405,2.875,2.851,0.00
0.51526,2.851,2.851,0.00
0.52547,2.834,2.834,0.00
0.53565,2.834,2.834,0.00
0.54580,2.818,2.818,0.00
0.55598,2.818,2.818,0.00
0.56614,2.804,2.804,0.00
0.57639,2.804,2.804,0.00
0.58656,2.804,2.791,0.00
0.59672,2.791,2.791,0.00
0.60688,2.782,2.782,0.00
0.61703,2.782,2.779,0.00
0.62716,2.779,2.779,0.00
0.63732,2.779,2.777,0.00
0.64745,2.777,2.777,0.00
0.65759,2.777,2.774,0.00
0.66773,2.774,2.774,0.00
0.67788,2.774,2.771,0.00
0.68801,2.771,2.771,0.00
0.69816,2.771,2.767,0.00
0.70837,2.767,2.767,0.00
0.71851,2.767,2.767,0.00
0.72892,2.767,2.767,0.00
0.73907,2.767,2.765,0.00
0.74920,2.765,2.765,0.00
0.75933,2.765,2.769,0.00
0.76948,2.769,2.769,0.00
0.77962,2.769,2.773,0.00
0.78978,2.773,2.773,0.00
0.79994,2.773,2.781,0.00
0.81008,2.781,2.781,0.00
0.82025,2.781,2.790,0.00
0.83040,2.790,2.790,0.00
0.84059,2.802,2.802,0.00
0.85074,2.802,2.802,0.00
0.86089,2.813,2.813,0.00
0.87117,2.813,2.813,0.00
0.88135,2.813,2.820,0.00
0.89149,2.820,2.820,0.00
0.90163,2.820,2.829,0.00
0.91187,2.829,2.829,0.00
0.92204,2.836,2.836,0.00
0.93231,2.836,2.836,0.00
0.94249,2.842,2.842,0.00
0.95274,2.842,2.842,0.00
0.96298,2.849,2.849,0.00
0.97366,2.849,2.849,0.00
0.98388,2.850,2.850,0.00
0.99431,2.850,2.850,0.00
1.00446,2.849,2.849,0.00
1.01461,2.849,2.849,0.00
1.02477,2.848,2.848,0.00
1.03492,2.848,2.848,0.00
1.04507,2.844,2.844,0.00
1.05523,2.844,2.844,0.00
1.06536,2.841,2.841,0.00
1.07608,2.841,2.841,0.00
1.08639,2.837,2.837,0.00
1.09710,2.837,2.837,0.00
1.10725,2.830,2.830,0.00
1.11740,2.830,2.823,0.00
1.12755,2.823,2.823,0.00
1.13769,2.823,2.817,0.00
1.14782,2.817,2.817,0.00
1.15798,2.817,2.817,0.00
1.16812,2.810,2.810,0.00
1.17827,2.810,2.807,0.00
1.18840,2.807,2.807,0.00
1.19855,2.807,2.807,0.00
1.20875,2.801,2.801,0.00
1.21889,2.801,2.799,0.00
1.22904,2.799,2.799,0.00
1.23919,2.799,2.804,0.00
1.24933,2.804,2.804,0.00
1.25948,2.804,2.817,0.00
1.26962,2.817,2.817,0.00
1.27977,2.832,2.832,0.00
1.28991,2.832,2.832,0.00
1.30227,2.832,2.832,0.00
1.31290,2.832,2.851,0.00
1.32304,2.870,2.870,0.00
1.33402,2.870,2.870,0.00
1.34406,2.891,2.891,0.00
1.35520,2.891,2.891,0.00
1.36541,2.916,2.916,0.00
1.37556,2.916,2.916,0.00
1.38571,2.945,2.945,0.00
1.39586,2.945,2.945,0.00
1.40599,2.945,2.976,0.00
1.41613,2.976,2.976,0.00
1.42627,3.004,3.004,0.00
1.43643,3.004,3.032,0.00
1.44657,3.032,3.032,0.00
1.45672,3.032,3.057,0.00
1.46685,3.057,3.057,0.00
1.47700,3.057,3.081,0.00
1.48714,3.081,3.081,0.00
1.49744,3.081,3.081,0.00
1.50772,3.105,3.105,0.00
1.51806,3.105,3.128,0.00
1.52833,3.128,3.128,0.00
1.53847,3.128,3.153,0.00
1.54861,3.153,3.153,0.00
1.55876,3.153,3.153,0.00
1.56889,3.177,3.177,0.00
1.57905,3.177,3.204,0.00
1.58920,3.204,3.204,0.00
1.59934,3.204,3.229,0.00
1.60948,3.229,3.229,0.00
1.61964,3.229,3.253,0.00
1.62979,3.253,3.253,0.00
1.63995,3.253,3.275,0.00
1.65009,3.275,3.275,0.00
