time,old_sh_el_deg,sh_el_deg,stim_curr
0.00223,5.418,5.418,0.00
0.01392,5.418,5.418,0.00
0.02408,5.403,5.403,0.00
0.03434,5.403,5.403,0.00
0.04451,5.403,5.398,0.00
0.05469,5.398,5.403,0.00
0.06485,5.403,5.403,0.00
0.07502,5.409,5.409,0.00
0.08519,5.409,5.413,0.00
0.09551,5.413,5.413,0.00
0.10587,5.418,5.418,0.00
0.11603,5.418,5.418,0.00
0.12620,5.418,5.418,0.00
0.13637,5.420,5.420,0.00
0.14654,5.417,5.417,0.00
0.15670,5.417,5.407,0.00
0.16687,5.407,5.407,0.00
0.17724,5.407,5.390,0.00
0.18760,5.390,5.390,0.00
0.19821,5.390,5.390,0.00
0.20841,5.367,5.367,0.00
0.21859,5.367,5.338,0.00
0.22884,5.338,5.338,0.00
0.23909,5.338,5.338,0.00
0.24925,5.309,5.309,0.00
0.25942,5.309,5.289,0.00
0.26958,5.289,5.289,0.00
0.27975,5.289,5.289,0.00
0.28991,5.277,5.277,0.00
0.30011,5.277,5.277,0.00
0.31030,5.265,5.265,0.00
0.32046,5.265,5.257,0.00
0.33062,5.257,5.257,0.00
0.34078,5.257,5.253,0.00
0.35094,5.253,5.253,0.00
0.36140,5.253,5.248,0.00
0.37160,5.248,5.248,0.00
0.38185,5.248,5.245,0.00
0.39202,5.245,5.245,0.00
0.40217,5.245,5.245,0.00
0.41234,5.244,5.244,0.00
0.42250,5.248,5.248,0.00
0.43267,5.248,5.248,0.00
0.44284,5.253,5.253,0.00
0.45310,5.253,5.253,0.00
0.46384,5.263,5.263,0.00
0.47585,5.263,5.263,0.00
0.48627,5.263,5.282,0.00
0.49662,5.282,5.311,0.00
0.50692,5.311,5.311,0.00
0.51726,5.311,5.345,0.00
0.52766,5.345,5.345,0.00
0.53787,5.345,5.345,0.00
0.54803,5.385,5.385,0.00
0.55820,5.385,5.385,0.00
0.56836,5.429,5.429,0.00
0.57937,5.429,5.429,0.00
0.58954,5.467,5.467,0.00
0.59971,5.467,5.467,0.00
0.60986,5.501,5.501,0.00
0.62003,5.501,5.501,0.00
0.63020,5.532,5.532,0.00
0.64036,5.532,5.555,0.00
0.65053,5.555,5.555,0.00
0.66070,5.555,5.555,0.00
0.67085,5.578,5.578,0.00
0.68119,5.578,5.578,0.00
0.69141,5.594,5.594,0.00
0.70319,5.594,5.610,0.00
0.71336,5.610,5.610,0.00
0.72352,5.628,5.628,0.00
0.73410,5.628,5.628,0.00
0.74593,5.628,5.648,0.00
0.75611,5.648,5.648,0.00
0.76627,5.648,5.668,0.00
0.77644,5.668,5.668,0.00
0.78822,5.668,5.691,0.00
0.80177,5.719,5.719,0.00
0.81217,5.719,5.719,0.00
0.82244,5.719,5.747,0.00
0.83272,5.747,5.747,0.00
0.84305,5.773,5.773,0.00
0.85327,5.773,5.773,0.00
0.86564,5.794,5.794,0.00
0.87581,5.794,5.794,0.00
0.88596,5.814,5.814,0.00
0.89613,5.814,5.814,0.00
0.90629,5.830,5.830,0.00
0.91644,5.830,5.842,0.00
0.92659,5.842,5.842,0.00
0.93675,5.842,5.851,0.00
0.94695,5.851,5.851,0.00
0.95711,5.851,5.865,0.00
0.96728,5.865,5.865,0.00
0.97754,5.865,5.879,0.00
0.98792,5.879,5.879,0.00
0.99832,5.879,5.894,0.00
1.00866,5.894,5.894,0.00
1.01883,5.894,5.894,0.00
1.02898,5.902,5.902,0.00
1.03917,5.902,5.913,0.00
1.04941,5.913,5.913,0.00
1.05958,5.913,5.927,0.00
1.06981,5.927,5.927,0.00
1.07997,5.927,5.939,0.00
1.09013,5.939,5.939,0.00
1.10029,5.939,5.951,0.00
1.11052,5.951,5.951,0.00
1.12069,5.951,5.964,0.00
1.13085,5.964,5.964,0.00
1.14101,5.964,5.971,0.00
1.15117,5.971,5.971,0.00
1.16138,5.975,5.975,0.00
1.17153,5.975,5.975,0.00
1.18188,5.975,5.979,0.00
1.19202,5.979,5.979,0.00
1.20232,5.981,5.981,0.00
1.21250,5.981,5.981,0.00
1.22265,5.981,5.980,0.00
1.23287,5.980,5.980,0.00
1.24303,5.980,5.978,0.00
1.25320,5.978,5.978,0.00
1.26336,5.983,5.983,0.00
1.27353,5.983,5.983,0.00
1.28370,5.985,5.985,0.00
1.29385,5.985,5.985,0.00
1.30402,5.985,5.988,0.00
1.31417,5.988,5.988,0.00
1.32433,5.988,5.994,0.00
1.33449,5.994,5.994,0.00
1.34465,6.002,6.002,0.00
1.35480,6.002,6.002,0.00
1.36496,6.006,6.006,0.00
1.37606,6.006,6.006,0.00
1.38631,6.009,6.009,0.00
1.39659,6.009,6.009,0.00
1.40676,6.009,6.009,0.00
1.41692,6.009,6.009,0.00
1.42710,6.008,6.008,0.00
1.43729,6.008,6.005,0.00
1.44757,6.005,6.005,0.00
1.45805,6.005,6.001,0.00
1.46846,6.001,6.001,0.00
1.47866,6.001,5.997,0.00
1.48882,5.997,5.997,0.00
1.49898,5.997,5.997,0.00
1.50913,5.988,5.988,0.00
1.51930,5.988,5.988,0.00
1.52946,5.980,5.980,0.00
1.53963,5.980,5.968,0.00
1.54983,5.968,5.968,0.00
1.55999,5.968,5.953,0.00
1.57016,5.953,5.953,0.00
1.58031,5.953,5.935,0.00
1.59047,5.935,5.935,0.00
1.60066,5.935,5.914,0.00
1.61082,5.914,5.914,0.00
1.62103,5.914,5.884,0.00
1.63119,5.884,5.884,0.00
1.64135,5.884,5.851,0.00
1.65151,5.851,5.851,0.00
1.66178,5.851,5.816,0.00
1.67194,5.816,5.816,0.00
1.68209,5.779,5.779,0.00
1.69239,5.779,5.779,0.00
1.70256,5.734,5.734,0.00
1.71281,5.734,5.734,0.00
1.72299,5.687,5.687,0.00
1.73327,5.687,5.687,0.00
1.74373,5.646,5.646,0.00
1.75394,5.646,5.646,0.00
1.76537,5.613,5.613,0.00
1.77553,5.613,5.613,0.00
1.78580,5.591,5.591,0.00
1.79604,5.591,5.591,0.00
1.80636,5.580,5.580,0.00
1.81653,5.580,5.580,0.00
1.82670,5.576,5.576,0.00
1.83685,5.576,5.576,0.00
1.84701,5.580,5.580,0.00
1.85717,5.580,5.580,0.00
1.86732,5.592,5.592,0.00
1.87748,5.592,5.613,0.00
1.88764,5.613,5.613,0.00
1.89781,5.613,5.641,0.00
1.90797,5.641,5.641,0.00
1.91816,5.641,5.678,0.00
1.92831,5.678,5.678,0.00
1.93846,5.678,5.722,0.00
1.94863,5.722,5.722,0.00
1.95899,5.722,5.722,0.00
1.96912,5.779,5.779,0.00
1.97934,5.779,5.845,0.00
1.98950,5.845,5.845,0.00
1.99967,5.845,5.845,0.00
2.00987,5.921,5.921,0.00
2.02006,5.921,6.001,0.00
2.03022,6.001,6.001,0.00
2.04042,6.001,6.081,0.00
2.05058,6.081,6.081,0.00
2.06077,6.081,6.167,0.00
2.07093,6.167,6.167,0.00
2.08130,6.167,6.267,0.00
2.09143,6.267,6.267,0.00
