time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00258,-1.425,-0.898,0.00
0.01282,-1.425,-0.898,0.00
0.02394,-1.425,-0.898,0.00
0.03589,-1.424,-0.897,0.00
0.04609,-1.423,-0.892,0.00
0.05638,-1.422,-0.892,0.00
0.06726,-1.421,-0.886,0.00
0.07787,-1.421,-0.886,0.00
0.08784,-1.421,-0.879,0.00
0.10292,-1.421,-0.879,0.00
0.11310,-1.420,-0.871,0.00
0.12327,-1.420,-0.871,0.00
0.13341,-1.421,-0.864,0.00
0.14485,-1.421,-0.864,0.00
0.15581,-1.420,-0.857,0.00
0.16621,-1.421,-0.844,0.00
0.17649,-1.421,-0.844,0.00
0.18834,-1.423,-0.844,0.00
0.19884,-1.423,-0.836,0.00
0.20919,-1.422,-0.827,0.00
0.22116,-1.419,-0.827,0.00
0.23132,-1.419,-0.815,0.00
0.24207,-1.414,-0.815,0.00
0.25241,-1.414,-0.805,0.00
0.26275,-1.414,-0.805,0.00
0.27409,-1.410,-0.793,0.00
0.28424,-1.407,-0.793,0.00
0.29458,-1.407,-0.783,0.00
0.30750,-1.405,-0.783,0.00
0.31787,-1.405,-0.779,0.00
0.32802,-1.401,-0.776,0.00
0.33911,-1.401,-0.776,0.00
0.34967,-1.397,-0.772,0.00
0.36000,-1.397,-0.772,0.00
0.37032,-1.390,-0.766,0.00
0.38047,-1.390,-0.766,0.00
0.39062,-1.386,-0.763,0.00
0.40210,-1.382,-0.761,0.00
0.41224,-1.382,-0.761,0.00
0.42260,-1.382,-0.761,0.00
0.43303,-1.378,-0.759,0.00
0.44329,-1.373,-0.760,0.00
0.45376,-1.373,-0.760,0.00
0.46572,-1.373,-0.760,0.00
0.47533,-1.368,-0.758,0.00
0.48556,-1.363,-0.759,0.00
0.49886,-1.363,-0.759,0.00
0.50922,-1.359,-0.761,0.00
0.51939,-1.359,-0.761,0.00
0.52967,-1.359,-0.761,0.00
0.53996,-1.355,-0.767,0.00
0.55035,-1.349,-0.773,0.00
0.56064,-1.349,-0.773,0.00
0.57081,-1.344,-0.777,0.00
0.58115,-1.344,-0.777,0.00
0.59131,-1.340,-0.782,0.00
0.60161,-1.340,-0.787,0.00
0.61159,-1.337,-0.787,0.00
0.62179,-1.337,-0.787,0.00
0.63210,-1.334,-0.790,0.00
0.64228,-1.334,-0.790,0.00
0.65245,-1.331,-0.791,0.00
0.66284,-1.331,-0.791,0.00
0.67315,-1.329,-0.793,0.00
0.68331,-1.329,-0.793,0.00
0.69354,-1.326,-0.792,0.00
0.70441,-1.324,-0.788,0.00
0.71456,-1.324,-0.788,0.00
0.72473,-1.324,-0.788,0.00
0.73491,-1.319,-0.784,0.00
0.74569,-1.319,-0.784,0.00
0.75590,-1.314,-0.779,0.00
0.76606,-1.308,-0.774,0.00
0.77627,-1.308,-0.774,0.00
0.78643,-1.302,-0.768,0.00
0.79664,-1.302,-0.768,0.00
0.80681,-1.296,-0.759,0.00
0.81696,-1.296,-0.759,0.00
0.82713,-1.289,-0.746,0.00
0.83729,-1.289,-0.746,0.00
0.84744,-1.285,-0.746,0.00
0.85805,-1.285,-0.735,0.00
0.86822,-1.279,-0.723,0.00
0.87837,-1.279,-0.723,0.00
0.88854,-1.279,-0.707,0.00
0.89933,-1.269,-0.707,0.00
0.90973,-1.256,-0.690,0.00
0.91990,-1.256,-0.674,0.00
0.93006,-1.244,-0.674,0.00
0.94061,-1.244,-0.674,0.00
0.95078,-1.233,-0.658,0.00
0.96093,-1.233,-0.658,0.00
0.97139,-1.221,-0.645,0.00
0.98216,-1.221,-0.645,0.00
0.99233,-1.209,-0.637,0.00
1.00249,-1.209,-0.629,0.00
1.01264,-1.198,-0.629,0.00
1.02310,-1.198,-0.620,0.00
1.03328,-1.187,-0.620,0.00
1.04349,-1.187,-0.620,0.00
1.05363,-1.179,-0.611,0.00
1.06379,-1.171,-0.611,0.00
1.07394,-1.171,-0.603,0.00
1.08411,-1.171,-0.603,0.00
1.09427,-1.165,-0.592,0.00
1.10444,-1.165,-0.592,0.00
1.11459,-1.159,-0.582,0.00
1.12477,-1.154,-0.572,0.00
1.13496,-1.154,-0.572,0.00
1.14512,-1.151,-0.564,0.00
1.15527,-1.151,-0.564,0.00
1.16543,-1.151,-0.556,0.00
1.17557,-1.151,-0.556,0.00
1.18602,-1.151,-0.556,0.00
1.19621,-1.151,-0.553,0.00
1.20642,-1.151,-0.553,0.00
1.21678,-1.149,-0.555,0.00
1.22695,-1.146,-0.558,0.00
1.23782,-1.146,-0.558,0.00
1.24799,-1.141,-0.561,0.00
1.25867,-1.141,-0.561,0.00
1.26886,-1.134,-0.567,0.00
1.27965,-1.134,-0.567,0.00
1.29036,-1.125,-0.575,0.00
1.30054,-1.125,-0.575,0.00
1.31112,-1.125,-0.581,0.00
1.32259,-1.116,-0.581,0.00
1.33275,-1.106,-0.585,0.00
1.34291,-1.106,-0.585,0.00
1.35306,-1.098,-0.588,0.00
1.36321,-1.092,-0.587,0.00
1.37334,-1.092,-0.587,0.00
1.38353,-1.092,-0.587,0.00
1.39533,-1.086,-0.586,0.00
1.40565,-1.080,-0.586,0.00
