time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.01584,0.437,2.778,0.00
0.03142,0.437,2.778,0.00
0.04160,0.437,2.777,0.00
0.05177,0.437,2.777,0.00
0.06193,0.436,2.776,0.00
0.07210,0.432,2.776,0.00
0.08227,0.432,2.776,0.00
0.09248,0.432,2.775,0.00
0.10266,0.419,2.769,0.00
0.11301,0.419,2.769,0.00
0.12317,0.419,2.769,0.00
0.13335,0.411,2.764,0.00
0.14351,0.408,2.759,0.00
0.15368,0.408,2.759,0.00
0.16386,0.407,2.753,0.00
0.17417,0.407,2.753,0.00
0.18655,0.407,2.753,0.00
0.19674,0.402,2.750,0.00
0.20691,0.402,2.750,0.00
0.21708,0.402,2.750,0.00
0.22726,0.402,2.750,0.00
0.23756,0.405,2.744,0.00
0.24773,0.405,2.739,0.00
0.25790,0.406,2.739,0.00
0.26907,0.406,2.739,0.00
0.28098,0.403,2.739,0.00
0.29115,0.395,2.740,0.00
0.30146,0.395,2.740,0.00
0.31161,0.388,2.739,0.00
0.32190,0.384,2.738,0.00
0.33207,0.384,2.738,0.00
0.34296,0.384,2.738,0.00
0.35481,0.381,2.735,0.00
0.36497,0.380,2.733,0.00
0.37514,0.380,2.733,0.00
0.38531,0.378,2.726,0.00
0.39548,0.378,2.726,0.00
0.40563,0.378,2.726,0.00
0.41595,0.378,2.723,0.00
0.42624,0.378,2.723,0.00
0.43684,0.376,2.723,0.00
0.44700,0.376,2.721,0.00
0.45717,0.375,2.721,0.00
0.46734,0.375,2.721,0.00
0.47754,0.375,2.721,0.00
0.48771,0.375,2.723,0.00
0.49788,0.375,2.723,0.00
0.50805,0.375,2.723,0.00
0.51888,0.376,2.722,0.00
0.52903,0.376,2.719,0.00
0.54149,0.376,2.719,0.00
0.55172,0.370,2.713,0.00
0.56217,0.370,2.713,0.00
0.57233,0.368,2.706,0.00
0.58291,0.371,2.706,0.00
0.59308,0.371,2.704,0.00
0.60324,0.371,2.704,0.00
0.61340,0.371,2.704,0.00
0.62356,0.388,2.703,0.00
0.63420,0.388,2.702,0.00
0.64452,0.405,2.702,0.00
0.65488,0.405,2.701,0.00
0.66505,0.424,2.701,0.00
0.67521,0.424,2.701,0.00
0.68537,0.437,2.705,0.00
0.69553,0.437,2.705,0.00
0.70569,0.448,2.709,0.00
0.71618,0.448,2.709,0.00
0.72635,0.454,2.710,0.00
0.73650,0.461,2.710,0.00
0.74692,0.461,2.711,0.00
0.75781,0.461,2.711,0.00
0.76800,0.471,2.711,0.00
0.77854,0.482,2.725,0.00
0.78869,0.482,2.725,0.00
0.79885,0.482,2.725,0.00
0.80902,0.485,2.729,0.00
0.81930,0.485,2.729,0.00
0.82946,0.486,2.738,0.00
0.83962,0.486,2.746,0.00
0.84984,0.486,2.746,0.00
0.86002,0.486,2.746,0.00
0.87014,0.485,2.751,0.00
0.88030,0.483,2.766,0.00
0.89051,0.483,2.766,0.00
0.90066,0.483,2.766,0.00
0.91084,0.477,2.785,0.00
0.92127,0.467,2.805,0.00
0.93143,0.467,2.805,0.00
0.94158,0.461,2.823,0.00
0.95178,0.461,2.823,0.00
0.96255,0.461,2.823,0.00
0.97284,0.454,2.841,0.00
0.98336,0.454,2.864,0.00
0.99354,0.448,2.864,0.00
1.00370,0.448,2.864,0.00
1.01390,0.438,2.889,0.00
1.02405,0.429,2.908,0.00
1.03422,0.429,2.908,0.00
1.04438,0.419,2.928,0.00
1.05458,0.419,2.928,0.00
1.06492,0.408,2.944,0.00
1.07634,0.408,2.944,0.00
1.08786,0.404,2.964,0.00
1.09801,0.404,2.964,0.00
1.10816,0.405,2.983,0.00
1.11915,0.405,2.983,0.00
1.12933,0.401,2.998,0.00
1.14077,0.401,2.998,0.00
1.15101,0.397,3.005,0.00
1.16126,0.397,3.005,0.00
1.17146,0.401,3.009,0.00
1.18171,0.401,3.009,0.00
1.19204,0.404,3.012,0.00
1.20217,0.412,3.012,0.00
1.21235,0.412,3.012,0.00
1.22263,0.420,3.011,0.00
1.23315,0.420,3.011,0.00
1.24326,0.423,3.005,0.00
1.25370,0.423,3.005,0.00
1.26386,0.423,3.005,0.00
1.27400,0.423,3.005,0.00
1.28415,0.437,2.992,0.00
1.29430,0.437,2.992,0.00
1.30445,0.441,2.992,0.00
1.31461,0.441,2.989,0.00
1.32496,0.442,2.985,0.00
1.33512,0.442,2.985,0.00
1.34528,0.446,2.983,0.00
1.35548,0.446,2.983,0.00
1.36571,0.457,2.983,0.00
