time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00205,1.442,1.576,0.00
0.01374,1.442,1.576,0.00
0.02391,1.467,1.603,0.00
0.03537,1.467,1.603,0.00
0.04553,1.485,1.627,0.00
0.05599,1.491,1.650,0.00
0.06629,1.491,1.650,0.00
0.07668,1.483,1.680,0.00
0.08695,1.483,1.680,0.00
0.09735,1.451,1.709,0.00
0.10766,1.451,1.709,0.00
0.11785,1.391,1.738,0.00
0.12802,1.391,1.738,0.00
0.13825,1.391,1.738,0.00
0.14928,1.327,1.770,0.00
0.15966,1.266,1.792,0.00
0.17136,1.266,1.792,0.00
0.18163,1.230,1.799,0.00
0.19180,1.230,1.799,0.00
0.20196,1.229,1.796,0.00
0.21221,1.229,1.796,0.00
0.22271,1.258,1.794,0.00
0.23351,1.312,1.793,0.00
0.24366,1.312,1.793,0.00
0.25407,1.312,1.793,0.00
0.26445,1.390,1.787,0.00
0.27478,1.390,1.787,0.00
0.28530,1.484,1.773,0.00
0.29546,1.588,1.757,0.00
0.30578,1.588,1.757,0.00
0.31612,1.588,1.757,0.00
0.32642,1.689,1.757,0.00
0.33657,1.786,1.693,0.00
0.34711,1.786,1.693,0.00
0.35947,1.874,1.644,0.00
0.36963,1.874,1.644,0.00
0.37978,1.943,1.590,0.00
0.38993,1.943,1.590,0.00
0.40008,1.943,1.590,0.00
0.41022,1.943,1.590,0.00
0.42060,2.006,1.535,0.00
0.43078,2.075,1.493,0.00
0.44107,2.075,1.467,0.00
0.45146,2.075,1.467,0.00
0.46164,2.074,1.467,0.00
0.47216,2.051,1.445,0.00
0.48234,2.051,1.442,0.00
0.49325,2.008,1.442,0.00
0.50339,2.008,1.457,0.00
0.51354,1.949,1.482,0.00
0.52372,1.949,1.482,0.00
0.53409,1.886,1.522,0.00
0.54439,1.886,1.522,0.00
0.55522,1.832,1.575,0.00
0.56550,1.832,1.575,0.00
0.57611,1.786,1.636,0.00
0.58988,1.786,1.636,0.00
0.60202,1.756,1.693,0.00
0.61231,1.756,1.756,0.00
0.62266,1.743,1.756,0.00
0.63283,1.743,1.807,0.00
0.64297,1.746,1.807,0.00
0.65326,1.746,1.807,0.00
0.66422,1.762,1.845,0.00
0.67437,1.777,1.845,0.00
0.68452,1.777,1.877,0.00
0.69468,1.787,1.877,0.00
0.70482,1.787,1.908,0.00
0.71500,1.810,1.923,0.00
0.72515,1.810,1.923,0.00
0.73531,1.836,1.927,0.00
0.74545,1.836,1.927,0.00
0.75602,1.866,1.923,0.00
0.76617,1.866,1.923,0.00
0.77677,1.883,1.917,0.00
0.78693,1.883,1.917,0.00
0.79719,1.887,1.919,0.00
0.80757,1.887,1.919,0.00
0.81775,1.878,1.920,0.00
0.82791,1.878,1.920,0.00
0.83806,1.862,1.922,0.00
0.84821,1.862,1.922,0.00
0.85835,1.837,1.927,0.00
0.86868,1.837,1.927,0.00
0.87884,1.804,1.933,0.00
0.88899,1.804,1.933,0.00
0.89915,1.804,1.933,0.00
0.90929,1.763,1.944,0.00
0.91946,1.721,1.957,0.00
0.92961,1.721,1.957,0.00
0.93976,1.675,1.968,0.00
0.94990,1.675,1.968,0.00
0.96005,1.675,1.968,0.00
0.97020,1.633,1.982,0.00
0.98035,1.595,1.989,0.00
0.99051,1.595,1.989,0.00
1.00065,1.560,1.994,0.00
1.01080,1.560,1.994,0.00
1.02095,1.523,1.984,0.00
1.03110,1.523,1.984,0.00
1.04125,1.474,1.971,0.00
1.05140,1.474,1.971,0.00
1.06154,1.413,1.950,0.00
1.07177,1.340,1.926,0.00
1.08191,1.340,1.926,0.00
1.09205,1.340,1.926,0.00
1.10237,1.266,1.893,0.00
1.11251,1.266,1.861,0.00
1.12266,1.191,1.861,0.00
1.13280,1.191,1.831,0.00
1.14296,1.109,1.831,0.00
1.15310,1.109,1.796,0.00
1.16324,1.027,1.796,0.00
1.17354,1.027,1.749,0.00
1.18370,0.948,1.749,0.00
1.19385,0.863,1.714,0.00
1.20400,0.863,1.714,0.00
1.21414,0.782,1.671,0.00
1.22429,0.782,1.671,0.00
1.23454,0.705,1.628,0.00
1.24469,0.705,1.628,0.00
1.25484,0.705,1.628,0.00
1.26499,0.648,1.578,0.00
1.27514,0.616,1.509,0.00
1.28528,0.616,1.509,0.00
1.29544,0.612,1.447,0.00
1.30559,0.612,1.447,0.00
1.31574,0.616,1.385,0.00
1.32590,0.616,1.385,0.00
1.33605,0.616,1.385,0.00
1.34622,0.626,1.317,0.00
1.35637,0.633,1.245,0.00
1.36653,0.633,1.245,0.00
1.37674,0.641,1.167,0.00
1.38695,0.641,1.167,0.00
1.39707,0.646,1.090,0.00
1.40727,0.646,1.090,0.00
1.41740,0.648,1.003,0.00
1.42772,0.648,1.003,0.00
1.43788,0.658,0.910,0.00
1.44805,0.658,0.910,0.00
1.45819,0.658,0.836,0.00
1.46837,0.683,0.836,0.00
1.47853,0.713,0.777,0.00
1.48868,0.713,0.777,0.00
1.49881,0.713,0.728,0.00
1.50909,0.747,0.728,0.00
1.51925,0.747,0.728,0.00
1.52940,0.784,0.685,0.00
1.53957,0.784,0.685,0.00
1.54971,0.819,0.659,0.00
1.55985,0.848,0.636,0.00
1.56998,0.848,0.636,0.00
1.58018,0.865,0.626,0.00
1.59033,0.865,0.626,0.00
1.60046,0.876,0.626,0.00
1.61065,0.876,0.626,0.00
1.62079,0.870,0.625,0.00
1.63093,0.847,0.625,0.00
1.64107,0.847,0.628,0.00
1.65132,0.812,0.628,0.00
1.66178,0.812,0.633,0.00
1.67206,0.812,0.633,0.00
1.68265,0.764,0.643,0.00
1.69295,0.717,0.643,0.00
1.70344,0.717,0.658,0.00
1.71363,0.717,0.658,0.00
1.72413,0.667,0.671,0.00
1.73450,0.591,0.685,0.00
1.74480,0.591,0.685,0.00
1.75519,0.467,0.695,0.00
1.76549,0.467,0.695,0.00
1.77584,0.295,0.695,0.00
1.78628,0.295,0.706,0.00
1.79661,-0.149,0.717,0.00
1.80705,-0.149,0.717,0.00
1.81734,0.026,0.717,0.00
1.82765,0.026,0.725,0.00
1.83808,0.774,0.725,0.00
1.84822,0.774,0.724,0.00
1.85837,1.277,0.713,0.00
1.86851,1.277,0.713,0.00
1.87881,1.277,0.713,0.00
1.88929,1.870,0.700,0.00
1.89945,2.821,0.687,0.00
1.90969,2.821,0.687,0.00
1.91984,2.821,0.687,0.00
1.92998,4.322,0.657,0.00
1.94011,6.236,0.657,0.00
1.95026,6.236,0.657,0.00
1.96050,8.477,0.645,0.00
1.97065,8.477,0.645,0.00
1.99883,12.741,0.604,0.00
2.01041,12.741,0.604,0.00
2.02972,12.741,0.596,10.50
2.04034,15.783,0.607,10.50
2.06289,16.756,0.607,10.50
2.07317,17.477,0.660,10.50
2.09332,17.477,0.660,10.50
2.10351,17.734,0.692,10.50
2.12814,17.743,0.707,10.50
2.13829,18.102,0.691,10.50
2.15760,18.102,0.648,10.50
2.16848,18.433,0.648,10.50
2.17863,18.167,0.591,10.50
