time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00209,0.551,1.517,0.00
0.01264,0.551,1.543,0.00
0.02296,0.563,1.543,0.00
0.03313,0.563,1.543,0.00
0.04329,0.576,1.570,0.00
0.05533,0.585,1.570,0.00
0.06565,0.585,1.594,0.00
0.07615,0.585,1.594,0.00
0.08644,0.585,1.594,0.00
0.09781,0.594,1.594,0.00
0.10836,0.603,1.634,0.00
0.11872,0.613,1.649,0.00
0.12888,0.613,1.649,0.00
0.13904,0.622,1.664,0.00
0.15230,0.622,1.664,0.00
0.16289,0.627,1.678,0.00
0.17338,0.627,1.678,0.00
0.18353,0.628,1.693,0.00
0.19369,0.628,1.693,0.00
0.20400,0.628,1.693,0.00
0.21603,0.623,1.711,0.00
0.22618,0.613,1.729,0.00
0.23635,0.613,1.729,0.00
0.24750,0.602,1.746,0.00
0.25765,0.602,1.746,0.00
0.26779,0.590,1.765,0.00
0.27794,0.584,1.782,0.00
0.28809,0.584,1.782,0.00
0.29824,0.584,1.782,0.00
0.30858,0.578,1.799,0.00
0.31883,0.571,1.814,0.00
0.33042,0.571,1.814,0.00
0.34058,0.561,1.825,0.00
0.35330,0.561,1.825,0.00
0.36369,0.551,1.835,0.00
0.37389,0.551,1.835,0.00
0.38404,0.540,1.844,0.00
0.39420,0.532,1.844,0.00
0.40448,0.532,1.851,0.00
0.41487,0.532,1.851,0.00
0.42520,0.525,1.856,0.00
0.43538,0.520,1.853,0.00
0.44554,0.520,1.853,0.00
0.45581,0.520,1.853,0.00
0.46642,0.515,1.852,0.00
0.47680,0.507,1.855,0.00
0.48744,0.507,1.855,0.00
0.49784,0.499,1.852,0.00
0.50803,0.499,1.852,0.00
0.51927,0.489,1.849,0.00
0.52943,0.489,1.849,0.00
0.53974,0.489,1.849,0.00
0.54992,0.482,1.843,0.00
0.56208,0.482,1.843,0.00
0.57222,0.476,1.834,0.00
0.58252,0.472,1.826,0.00
0.59269,0.468,1.826,0.00
0.60293,0.468,1.818,0.00
0.61320,0.466,1.813,0.00
0.62334,0.466,1.813,0.00
0.63658,0.466,1.807,0.00
0.64726,0.463,1.807,0.00
0.65893,0.463,1.807,0.00
0.66908,0.464,1.800,0.00
0.67924,0.465,1.792,0.00
0.68937,0.465,1.792,0.00
0.69984,0.465,1.792,0.00
0.71040,0.468,1.787,0.00
0.72055,0.469,1.782,0.00
0.73070,0.469,1.782,0.00
0.74084,0.472,1.782,0.00
0.75099,0.472,1.779,0.00
0.76113,0.477,1.772,0.00
0.77128,0.477,1.772,0.00
0.78143,0.484,1.772,0.00
0.79157,0.484,1.765,0.00
0.80189,0.484,1.765,0.00
0.81207,0.484,1.765,0.00
0.82221,0.484,1.765,0.00
0.83237,0.484,1.765,0.00
0.84251,0.495,1.757,0.00
0.85267,0.506,1.741,0.00
0.86283,0.519,1.734,0.00
0.87297,0.519,1.728,0.00
0.88312,0.522,1.728,0.00
0.89326,0.522,1.728,0.00
0.90341,0.522,1.725,0.00
0.91357,0.526,1.725,0.00
0.92372,0.532,1.723,0.00
0.93386,0.532,1.723,0.00
0.94402,0.538,1.722,0.00
0.95427,0.538,1.722,0.00
0.96445,0.539,1.724,0.00
0.97460,0.539,1.724,0.00
0.98476,0.533,1.728,0.00
0.99491,0.533,1.728,0.00
1.00507,0.533,1.728,0.00
1.01521,0.525,1.736,0.00
1.02556,0.514,1.744,0.00
1.03570,0.499,1.753,0.00
1.04586,0.499,1.753,0.00
1.05601,0.499,1.753,0.00
1.06695,0.486,1.762,0.00
