time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00223,0.256,2.316,0.00
0.01498,0.319,2.316,0.00
0.02539,0.319,2.341,0.00
0.03560,0.372,2.364,0.00
0.04577,0.372,2.364,0.00
0.05594,0.421,2.392,0.00
0.06610,0.421,2.392,0.00
0.07627,0.421,2.392,0.00
0.08671,0.468,2.422,0.00
0.09688,0.468,2.422,0.00
0.10724,0.513,2.422,0.00
0.11741,0.554,2.488,0.00
0.12758,0.554,2.488,0.00
0.13820,0.596,2.524,0.00
0.15208,0.596,2.524,0.00
0.16227,0.638,2.561,0.00
0.17266,0.638,2.561,0.00
0.18499,0.678,2.604,0.00
0.19516,0.678,2.604,0.00
0.20533,0.712,2.644,0.00
0.21576,0.742,2.682,0.00
0.22627,0.742,2.682,0.00
0.23644,0.742,2.682,0.00
0.24665,0.770,2.722,0.00
0.25681,0.770,2.722,0.00
0.26696,0.795,2.770,0.00
0.27744,0.812,2.816,0.00
0.28792,0.812,2.816,0.00
0.29808,0.819,2.862,0.00
0.30824,0.819,2.862,0.00
0.31851,0.816,2.902,0.00
0.32867,0.816,2.902,0.00
0.33884,0.816,2.902,0.00
0.34928,0.816,2.902,0.00
0.35941,0.785,2.976,0.00
0.36957,0.785,2.976,0.00
0.37975,0.757,3.005,0.00
0.39029,0.718,3.027,0.00
0.40045,0.718,3.027,0.00
0.41074,0.718,3.027,0.00
0.42091,0.678,3.046,0.00
0.43108,0.678,3.046,0.00
0.44124,0.640,3.063,0.00
0.45169,0.640,3.063,0.00
0.46186,0.608,3.079,0.00
0.47205,0.608,3.079,0.00
0.48221,0.573,3.093,0.00
0.49248,0.536,3.093,0.00
0.50328,0.536,3.102,0.00
0.51379,0.500,3.110,0.00
0.52429,0.500,3.110,0.00
0.53485,0.468,3.116,0.00
0.54510,0.468,3.116,0.00
0.55547,0.446,3.122,0.00
0.56576,0.446,3.122,0.00
0.57594,0.446,3.124,0.00
0.58610,0.430,3.124,0.00
0.59699,0.417,3.127,0.00
0.60715,0.417,3.127,0.00
0.61732,0.417,3.127,0.00
0.62749,0.409,3.129,0.00
0.63766,0.409,3.129,0.00
0.64782,0.405,3.131,0.00
0.65798,0.407,3.132,0.00
0.66817,0.407,3.132,0.00
0.67836,0.407,3.132,0.00
0.68853,0.407,3.132,0.00
0.69891,0.412,3.138,0.00
0.70906,0.420,3.141,0.00
0.71977,0.426,3.145,0.00
0.72993,0.426,3.145,0.00
0.74018,0.436,3.146,0.00
0.75037,0.436,3.146,0.00
0.76055,0.452,3.144,0.00
0.77074,0.452,3.144,0.00
0.78093,0.470,3.142,0.00
0.79108,0.470,3.142,0.00
0.80124,0.490,3.140,0.00
0.81139,0.512,3.140,0.00
0.82155,0.512,3.141,0.00
0.83196,0.512,3.141,0.00
0.84239,0.536,3.141,0.00
0.85272,0.561,3.141,0.00
0.86311,0.561,3.141,0.00
0.87346,0.587,3.141,0.00
0.88390,0.587,3.140,0.00
0.89435,0.611,3.147,0.00
0.90457,0.611,3.147,0.00
0.91477,0.611,3.147,0.00
0.92500,0.611,3.149,0.00
0.93539,0.654,3.159,0.00
0.94574,0.654,3.159,0.00
0.95632,0.654,3.168,0.00
0.96649,0.675,3.168,0.00
0.97665,0.698,3.176,0.00
0.98680,0.698,3.176,0.00
0.99707,0.715,3.186,0.00
1.00721,0.715,3.186,0.00
1.01737,0.735,3.193,0.00
1.02753,0.735,3.193,0.00
1.03769,0.756,3.199,0.00
1.04813,0.756,3.199,0.00
1.05828,0.756,3.199,0.00
1.06896,0.767,3.202,0.00
1.07964,0.779,3.202,0.00
1.08999,0.779,3.202,0.00
1.10015,0.790,3.204,0.00
1.11031,0.790,3.204,0.00
1.12050,0.801,3.204,0.00
1.13128,0.801,3.205,0.00
1.14170,0.815,3.205,0.00
1.15210,0.815,3.205,0.00
1.16246,0.815,3.205,0.00
1.17300,0.828,3.204,0.00
1.18315,0.836,3.204,0.00
1.19330,0.836,3.204,0.00
1.20370,0.836,3.204,0.00
1.21426,0.843,3.200,0.00
1.22477,0.849,3.195,0.00
1.23553,0.859,3.193,0.00
1.24570,0.859,3.193,0.00
1.25596,0.865,3.187,0.00
1.26612,0.865,3.187,0.00
1.27629,0.865,3.187,0.00
1.28833,0.868,3.186,0.00
1.29852,0.871,3.184,0.00
1.30882,0.871,3.184,0.00
1.31969,0.875,3.184,0.00
1.33008,0.875,3.184,0.00
1.34035,0.881,3.181,0.00
1.35051,0.881,3.181,0.00
1.36073,0.888,3.182,0.00
1.37089,0.888,3.180,0.00
1.38104,0.893,3.180,0.00
1.39132,0.894,3.177,0.00
1.40194,0.894,3.177,0.00
1.41209,0.889,3.176,0.00
1.42242,0.889,3.176,0.00
1.43280,0.880,3.172,0.00
1.44315,0.880,3.172,0.00
1.45363,0.880,3.172,0.00
1.46400,0.871,3.171,0.00
1.47433,0.856,3.171,0.00
1.48452,0.856,3.171,0.00
1.49480,0.841,3.172,0.00
1.50495,0.841,3.172,0.00
1.51638,0.841,3.172,0.00
1.52675,0.825,3.168,0.00
1.53754,0.811,3.165,0.00
1.54770,0.811,3.165,0.00
1.55786,0.794,3.155,0.00
1.56802,0.794,3.155,0.00
1.57819,0.776,3.153,0.00
1.58853,0.776,3.153,0.00
1.59868,0.758,3.140,0.00
1.60885,0.758,3.140,0.00
1.61904,0.739,3.136,0.00
1.62924,0.739,3.136,0.00
1.63940,0.719,3.128,0.00
1.64962,0.719,3.128,0.00
1.65976,0.699,3.122,0.00
1.66992,0.699,3.122,0.00
1.68006,0.680,3.117,0.00
1.69021,0.680,3.117,0.00
1.70076,0.662,3.117,0.00
1.71095,0.662,3.108,0.00
1.72117,0.640,3.103,0.00
1.73133,0.640,3.103,0.00
1.74160,0.617,3.099,0.00
1.75216,0.617,3.099,0.00
1.76232,0.597,3.097,0.00
1.77468,0.597,3.091,0.00
1.78487,0.581,3.091,0.00
1.79504,0.573,3.086,0.00
1.80519,0.573,3.086,0.00
1.81534,0.563,3.086,0.00
1.82550,0.563,3.084,0.00
1.83564,0.554,3.082,0.00
1.84580,0.554,3.082,0.00
1.85597,0.542,3.083,0.00
1.86613,0.542,3.083,0.00
1.87637,0.542,3.083,0.00
1.88652,0.530,3.085,0.00
1.89695,0.522,3.085,0.00
1.90926,0.522,3.085,0.00
1.91947,0.519,3.083,0.00
1.92963,0.519,3.083,0.00
1.93978,0.509,3.079,0.00
1.94995,0.500,3.079,0.00
1.96012,0.500,3.082,0.00
1.97027,0.500,3.082,0.00
1.98048,0.489,3.085,0.00
1.99099,0.489,3.085,0.00
2.00115,0.478,3.084,0.00
2.01135,0.478,3.084,0.00
2.02159,0.467,3.086,0.00
2.03167,0.467,3.086,0.00
2.04182,0.454,3.092,0.00
2.05198,0.454,3.095,0.00
2.06213,0.439,3.095,0.00
2.07229,0.421,3.100,0.00
2.08278,0.421,3.100,0.00
2.09293,0.402,3.106,0.00
2.10313,0.402,3.106,0.00
2.11339,0.384,3.111,0.00
2.12372,0.384,3.111,0.00
2.13412,0.364,3.114,0.00
2.14443,0.364,3.114,0.00
2.15468,0.364,3.115,0.00
2.16486,0.344,3.115,0.00
2.17515,0.322,3.119,0.00
2.18570,0.322,3.119,0.00
2.19598,0.302,3.124,0.00
2.20637,0.302,3.124,0.00
2.21653,0.302,3.127,0.00
2.22691,0.288,3.127,0.00
2.23725,0.272,3.129,0.00
2.24785,0.272,3.129,0.00
2.25817,0.258,3.128,0.00
2.26847,0.258,3.128,0.00
2.27871,0.258,3.128,0.00
2.28941,0.238,3.133,0.00
2.29970,0.219,3.139,0.00
2.30985,0.219,3.139,0.00
2.32141,0.198,3.141,0.00
2.33176,0.198,3.141,0.00
2.34404,0.179,3.137,0.00
2.35421,0.169,3.130,0.00
2.36437,0.169,3.130,0.00
2.37451,0.156,3.121,0.00
2.38467,0.156,3.121,0.00
2.39494,0.144,3.109,0.00
2.40510,0.144,3.109,0.00
2.41525,0.139,3.097,0.00
2.42711,0.139,3.097,0.00
2.43727,0.140,3.087,0.00
2.44757,0.140,3.087,0.00
2.45785,0.145,3.075,0.00
2.46817,0.145,3.075,0.00
2.47837,0.145,3.075,0.00
2.48863,0.149,3.063,0.00
2.49880,0.149,3.063,0.00
2.50897,0.154,3.032,0.00
2.51913,0.159,3.032,0.00
2.52938,0.159,3.032,0.00
2.53945,0.164,3.017,0.00
2.54960,0.178,3.017,0.00
2.55976,0.178,3.003,0.00
2.56991,0.178,3.003,0.00
2.58019,0.178,3.003,0.00
2.59051,0.178,3.003,0.00
2.60088,0.194,3.003,0.00
2.61104,0.211,2.970,0.00
2.62119,0.228,2.953,0.00
2.63136,0.228,2.953,0.00
2.64152,0.245,2.941,0.00
2.65170,0.245,2.941,0.00
2.66186,0.267,2.928,0.00
2.67202,0.291,2.923,0.00
2.68219,0.291,2.923,0.00
2.69235,0.291,2.923,0.00
2.70251,0.317,2.920,0.00
2.71268,0.342,2.918,0.00
2.72299,0.342,2.918,0.00
2.73318,0.342,2.919,0.00
2.74350,0.366,2.919,0.00
2.75386,0.366,2.924,0.00
2.76406,0.392,2.924,0.00
2.77442,0.392,2.924,0.00
2.78464,0.392,2.924,0.00
2.79490,0.440,2.929,0.00
2.80506,0.440,2.929,0.00
2.81524,0.460,2.935,0.00
2.82540,0.460,2.935,0.00
2.83555,0.460,2.935,0.00
2.84570,0.478,2.945,0.00
2.85605,0.494,2.959,0.00
2.86619,0.494,2.959,0.00
2.87635,0.508,2.976,0.00
2.88651,0.508,2.976,0.00
2.89672,0.508,2.976,0.00
2.90693,0.520,2.990,0.00
2.91718,0.528,3.012,0.00
2.92735,0.528,3.012,0.00
2.93749,0.528,3.012,0.00
2.94773,0.538,3.026,0.00
2.95788,0.543,3.051,0.00
2.96813,0.543,3.051,0.00
2.97819,0.547,3.071,0.00
2.98839,0.547,3.071,0.00
2.99868,0.552,3.091,0.00
3.00884,0.553,3.091,0.00
3.01899,0.553,3.109,0.00
3.02916,0.553,3.109,0.00
3.03988,0.553,3.109,0.00
3.05028,0.552,3.129,0.00
3.06062,0.552,3.150,0.00
3.07078,0.553,3.174,0.00
3.08109,0.553,3.174,0.00
3.09124,0.557,3.174,0.00
3.10207,0.557,3.198,0.00
3.11226,0.562,3.198,0.00
3.12243,0.562,3.225,0.00
3.13259,0.562,3.225,0.00
3.14278,0.567,3.248,0.00
3.15294,0.567,3.271,0.00
3.16309,0.572,3.271,0.00
3.17328,0.572,3.292,0.00
3.18344,0.580,3.292,0.00
