time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.01407,-0.611,1.899,0.00
0.02435,-0.422,2.076,0.00
0.03451,-0.422,2.076,0.00
0.04554,-0.349,2.165,0.00
0.05659,-0.349,2.165,0.00
0.06677,-0.299,2.253,0.00
0.07693,-0.299,2.253,0.00
0.08939,-0.299,2.253,0.00
0.10134,-0.255,2.347,0.00
0.11151,-0.220,2.439,0.00
0.12167,-0.220,2.439,0.00
0.13182,-0.207,2.543,0.00
0.14332,-0.207,2.543,0.00
0.15338,-0.222,2.651,0.00
0.16354,-0.253,2.763,0.00
0.17504,-0.253,2.763,0.00
0.18527,-0.253,2.763,0.00
0.19623,-0.285,2.886,0.00
0.20639,-0.285,2.886,0.00
0.21737,-0.285,2.886,0.00
0.22780,-0.308,3.020,0.00
0.23808,-0.328,3.149,0.00
0.24902,-0.353,3.293,0.00
0.25929,-0.353,3.293,0.00
0.26978,-0.382,3.404,0.00
0.27993,-0.382,3.404,0.00
0.29098,-0.404,3.491,0.00
0.30115,-0.404,3.491,0.00
0.31142,-0.404,3.491,0.00
0.32160,-0.411,3.556,0.00
0.33177,-0.418,3.600,0.00
0.34217,-0.426,3.626,0.00
0.35233,-0.426,3.626,0.00
0.36250,-0.426,3.626,0.00
0.37266,-0.422,3.634,0.00
0.38288,-0.422,3.634,0.00
0.39336,-0.407,3.626,0.00
0.40374,-0.407,3.626,0.00
0.41391,-0.382,3.596,0.00
0.42407,-0.358,3.561,0.00
0.43430,-0.358,3.561,0.00
0.44448,-0.335,3.521,0.00
0.45556,-0.335,3.521,0.00
0.46583,-0.335,3.521,0.00
0.47618,-0.335,3.486,0.00
0.48650,-0.309,3.486,0.00
0.49666,-0.284,3.455,0.00
0.50686,-0.284,3.455,0.00
0.51702,-0.284,3.455,0.00
0.52719,-0.229,3.415,0.00
0.53743,-0.229,3.415,0.00
0.54760,-0.206,3.410,0.00
0.55880,-0.206,3.410,0.00
0.56904,-0.186,3.419,0.00
0.57926,-0.186,3.419,0.00
0.58957,-0.170,3.431,0.00
0.59973,-0.170,3.431,0.00
0.60990,-0.160,3.450,0.00
0.62030,-0.160,3.450,0.00
0.63046,-0.162,3.463,0.00
0.64062,-0.162,3.463,0.00
0.65078,-0.162,3.463,0.00
0.66095,-0.162,3.482,0.00
0.67110,-0.177,3.501,0.00
0.68126,-0.177,3.501,0.00
0.69142,-0.190,3.515,0.00
0.70180,-0.190,3.515,0.00
0.71197,-0.190,3.515,0.00
0.72214,-0.200,3.539,0.00
0.73244,-0.213,3.539,0.00
0.74278,-0.224,3.544,0.00
0.75507,-0.224,3.544,0.00
0.76535,-0.235,3.544,0.00
0.77572,-0.235,3.544,0.00
0.78606,-0.255,3.544,0.00
0.79608,-0.255,3.544,0.00
0.80669,-0.255,3.544,0.00
0.81686,-0.255,3.544,0.00
0.82702,-0.272,3.541,0.00
0.83713,-0.279,3.538,0.00
0.84738,-0.279,3.538,0.00
0.85779,-0.280,3.537,0.00
0.86815,-0.280,3.534,0.00
0.88089,-0.280,3.534,0.00
0.89106,-0.284,3.533,0.00
0.90121,-0.285,3.534,0.00
0.91146,-0.285,3.534,0.00
0.92241,-0.285,3.534,0.00
0.93373,-0.283,3.539,0.00
0.94424,-0.283,3.539,0.00
0.95454,-0.285,3.553,0.00
0.96471,-0.294,3.561,0.00
0.97485,-0.294,3.561,0.00
0.98502,-0.316,3.569,0.00
0.99537,-0.316,3.569,0.00
1.00559,-0.339,3.574,0.00
1.01567,-0.339,3.574,0.00
1.02762,-0.339,3.574,0.00
1.03778,-0.371,3.579,0.00
1.04792,-0.418,3.603,0.00
1.05826,-0.418,3.603,0.00
1.06831,-0.458,3.622,0.00
1.08023,-0.458,3.622,0.00
1.09039,-0.486,3.650,0.00
1.10065,-0.486,3.685,0.00
1.11080,-0.526,3.685,0.00
1.12101,-0.526,3.685,0.00
1.13127,-0.587,3.723,0.00
1.14151,-0.640,3.723,0.00
1.15167,-0.640,3.773,0.00
1.16212,-0.684,3.828,0.00
1.17332,-0.684,3.828,0.00
1.18351,-0.718,3.881,0.00
1.19372,-0.718,3.881,0.00
1.20386,-0.734,3.931,0.00
1.21438,-0.734,3.931,0.00
1.22566,-0.734,3.931,0.00
1.23592,-0.741,3.961,0.00
1.24608,-0.740,3.988,0.00
1.25624,-0.740,3.988,0.00
1.26638,-0.731,3.994,0.00
1.27654,-0.731,3.994,0.00
1.28681,-0.719,3.981,0.00
1.29718,-0.719,3.981,0.00
1.30757,-0.704,3.946,0.00
1.31803,-0.704,3.946,0.00
1.32826,-0.704,3.946,0.00
1.34010,-0.682,3.880,0.00
1.35038,-0.653,3.813,0.00
1.36054,-0.625,3.735,0.00
1.37085,-0.625,3.735,0.00
1.38115,-0.598,3.668,0.00
1.39147,-0.598,3.668,0.00
1.40216,-0.560,3.605,0.00
1.41232,-0.560,3.605,0.00
1.42247,-0.560,3.605,0.00
1.43271,-0.513,3.605,0.00
1.44298,-0.462,3.529,0.00
1.45317,-0.462,3.529,0.00
1.46333,-0.462,3.529,0.00
1.47347,-0.417,3.520,0.00
1.48364,-0.378,3.514,0.00
1.49378,-0.378,3.514,0.00
1.50394,-0.347,3.510,0.00
1.51424,-0.347,3.510,0.00
1.52440,-0.347,3.510,0.00
1.53464,-0.347,3.510,0.00
1.54481,-0.347,3.510,0.00
1.55544,-0.308,3.528,0.00
1.56561,-0.320,3.538,0.00
1.57591,-0.320,3.538,0.00
1.58608,-0.383,3.548,0.00
1.59726,-0.383,3.548,0.00
1.60761,-0.501,3.555,0.00
1.61823,-0.501,3.555,0.00
1.62838,-0.719,3.558,0.00
1.63863,-0.719,3.558,0.00
1.64894,-1.008,3.559,0.00
1.65909,-1.008,3.559,0.00
1.66924,-1.074,3.565,0.00
1.67947,-1.074,3.565,0.00
1.68962,-1.202,3.574,0.00
1.69978,-1.202,3.587,0.00
1.71004,-1.308,3.587,0.00
1.72023,-1.432,3.587,0.00
1.73040,-1.432,3.602,0.00
1.74095,-1.432,3.602,0.00
1.75111,-1.355,3.617,0.00
1.76126,-1.355,3.617,0.00
1.77142,-0.870,3.641,0.00
1.78157,-0.870,3.641,0.00
1.79172,0.233,3.672,0.00
1.80187,0.233,3.705,0.00
1.81203,1.872,3.705,0.00
1.82218,3.841,3.740,0.00
1.83234,3.841,3.740,0.00
1.84249,3.841,3.775,0.00
1.85266,6.011,3.775,0.00
1.86331,6.011,3.775,0.00
1.87358,8.176,3.820,0.00
1.88376,10.229,3.877,0.00
1.89810,10.229,3.877,0.00
1.90859,12.117,3.943,0.00
1.91883,12.117,3.943,0.00
1.92924,12.117,4.009,10.50
1.93956,13.805,4.080,10.50
1.94991,15.246,4.080,10.50
1.96212,15.246,4.080,10.50
1.97228,16.405,4.155,10.50
1.98264,17.293,4.234,10.50
1.99283,17.293,4.234,10.50
2.00318,17.293,4.234,10.50
2.01385,17.732,4.308,10.50
2.02645,17.732,4.308,10.50
2.03729,17.780,4.357,10.50
2.04750,17.707,4.382,10.50
2.07274,17.707,4.382,10.50
2.08292,17.214,4.410,10.50
2.10525,14.871,4.424,10.50
2.11579,14.871,4.412,10.50
2.13754,13.593,4.389,10.50
2.14771,11.565,4.339,10.50
2.16916,9.228,4.339,10.50
2.17933,9.228,4.283,10.50
2.18950,7.161,4.239,10.50
2.20703,5.159,4.208,11.00
2.21722,5.159,4.208,11.00
2.23526,3.176,4.156,11.00
2.24541,3.176,4.079,11.00
2.25561,1.357,4.079,11.00
2.26585,-0.192,3.949,11.00
2.27603,-0.192,3.949,11.00
2.28640,-1.444,3.856,11.00
2.29675,-1.444,3.856,11.00
2.30703,-2.246,3.851,11.00
2.31719,-2.246,3.851,11.00
2.32948,-2.429,3.838,11.00
2.33984,-2.429,3.838,11.00
2.35001,-2.429,3.865,11.00
2.36153,-0.899,3.856,11.00
2.37192,-0.899,3.856,11.00
2.38217,-0.899,3.856,11.00
2.40870,-0.008,3.933,11.50
2.41917,0.316,4.038,11.50
2.44149,0.075,4.235,11.50
