time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00302,0.161,3.943,0.00
0.01461,0.161,3.943,0.00
0.02485,0.223,3.934,0.00
0.03502,0.223,3.943,0.00
0.04522,0.287,3.943,0.00
0.05538,0.336,3.943,0.00
0.06556,0.336,3.974,0.00
0.07624,0.355,4.018,0.00
0.08654,0.355,4.018,0.00
0.09689,0.352,4.061,0.00
0.10725,0.352,4.061,0.00
0.11797,0.349,4.108,0.00
0.13091,0.349,4.108,0.00
0.14106,0.360,4.143,0.00
0.15235,0.360,4.143,0.00
0.16250,0.387,4.160,0.00
0.17266,0.422,4.160,0.00
0.18282,0.422,4.161,0.00
0.19299,0.422,4.151,0.00
0.20316,0.462,4.151,0.00
0.21511,0.462,4.151,0.00
0.22526,0.504,4.137,0.00
0.23592,0.551,4.123,0.00
0.24607,0.551,4.123,0.00
0.25665,0.602,4.124,0.00
0.26683,0.602,4.124,0.00
0.27698,0.646,4.146,0.00
0.28723,0.646,4.146,0.00
0.29740,0.696,4.177,0.00
0.30757,0.696,4.177,0.00
0.31889,0.696,4.177,0.00
0.32918,0.732,4.202,0.00
0.33963,0.766,4.225,0.00
0.35015,0.766,4.225,0.00
0.36176,0.790,4.248,0.00
0.37193,0.790,4.248,0.00
0.38250,0.797,4.263,0.00
0.39270,0.807,4.263,0.00
0.40287,0.807,4.270,0.00
0.41360,0.807,4.270,0.00
0.42380,0.809,4.271,0.00
0.43396,0.804,4.275,0.00
0.44414,0.804,4.275,0.00
0.45430,0.804,4.288,0.00
0.46446,0.796,4.288,0.00
0.47462,0.796,4.309,0.00
0.48479,0.789,4.309,0.00
0.49496,0.777,4.309,0.00
0.50517,0.777,4.337,0.00
0.51533,0.777,4.337,0.00
0.52549,0.777,4.337,0.00
0.53565,0.755,4.369,0.00
0.54583,0.755,4.369,0.00
0.55599,0.755,4.402,0.00
0.56614,0.710,4.442,0.00
0.57632,0.710,4.442,0.00
0.58688,0.692,4.479,0.00
0.59791,0.677,4.518,0.00
0.60809,0.677,4.518,0.00
0.61835,0.677,4.518,0.00
0.62870,0.662,4.561,0.00
0.63897,0.662,4.561,0.00
0.64912,0.662,4.561,0.00
0.65927,0.643,4.607,0.00
0.66942,0.624,4.651,0.00
0.67961,0.601,4.688,0.00
0.68989,0.601,4.688,0.00
0.70004,0.570,4.720,0.00
0.71084,0.570,4.720,0.00
0.72098,0.542,4.742,0.00
0.73112,0.542,4.742,0.00
0.74127,0.514,4.753,0.00
0.75180,0.514,4.753,0.00
0.76195,0.498,4.761,0.00
0.77210,0.498,4.764,0.00
0.78225,0.490,4.764,0.00
0.79263,0.490,4.760,0.00
0.80279,0.496,4.760,0.00
0.81360,0.496,4.760,0.00
0.82470,0.481,4.760,0.00
0.83489,0.473,4.760,0.00
0.84503,0.473,4.756,0.00
0.85518,0.469,4.756,0.00
0.86532,0.469,4.747,0.00
0.87544,0.469,4.747,0.00
0.88558,0.460,4.731,0.00
0.89572,0.460,4.731,0.00
0.90587,0.449,4.718,0.00
0.91602,0.449,4.718,0.00
0.92615,0.442,4.712,0.00
0.93630,0.442,4.712,0.00
0.94645,0.438,4.704,0.00
0.95660,0.435,4.689,0.00
0.96676,0.435,4.689,0.00
0.97690,0.436,4.661,0.00
0.98703,0.436,4.661,0.00
0.99718,0.442,4.619,0.00
1.00732,0.442,4.619,0.00
1.01751,0.456,4.575,0.00
