time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00221,0.000,2.037,0.00
0.01239,1.720,2.113,0.00
0.02278,1.720,2.113,0.00
0.03295,1.765,2.167,0.00
0.04349,1.765,2.167,0.00
0.05365,1.823,2.211,0.00
0.06424,1.823,2.211,0.00
0.07664,1.888,2.242,0.00
0.08681,1.974,2.242,0.00
0.09708,1.974,2.263,0.00
0.10854,1.974,2.263,0.00
0.11958,2.064,2.294,0.00
0.13020,2.152,2.358,0.00
0.14050,2.152,2.358,0.00
0.15065,2.234,2.474,0.00
0.16091,2.234,2.474,0.00
0.17111,2.307,2.594,0.00
0.18136,2.307,2.594,0.00
0.19238,2.355,2.681,0.00
0.20552,2.355,2.756,0.00
0.21588,2.379,2.756,0.00
0.22627,2.379,2.818,0.00
0.23643,2.394,2.818,0.00
0.24668,2.417,2.859,0.00
0.25742,2.417,2.859,0.00
0.26898,2.441,2.872,0.00
0.27914,2.441,2.872,0.00
0.28934,2.441,2.872,0.00
0.29950,2.443,2.883,0.00
0.31039,2.433,2.889,0.00
0.32066,2.433,2.889,0.00
0.33084,2.428,2.894,0.00
0.34102,2.428,2.894,0.00
0.35292,2.428,2.906,0.00
0.36327,2.421,2.906,0.00
0.37421,2.414,2.920,0.00
0.38435,2.414,2.943,0.00
0.39449,2.395,2.943,0.00
0.40479,2.395,2.943,0.00
0.41527,2.373,2.982,0.00
0.42757,2.352,2.982,0.00
0.43859,2.352,3.015,0.00
0.44898,2.352,3.015,0.00
0.45915,2.352,3.015,0.00
0.46928,2.352,3.015,0.00
0.47941,2.291,3.063,0.00
0.48957,2.236,3.094,0.00
0.49973,2.236,3.094,0.00
0.50992,2.175,3.113,0.00
0.52010,2.175,3.113,0.00
0.53126,2.107,3.128,0.00
0.54196,2.107,3.128,0.00
0.55381,2.034,3.140,0.00
0.56411,2.034,3.140,0.00
0.57463,1.964,3.149,0.00
0.58709,1.964,3.149,0.00
0.59734,1.898,3.133,0.00
0.60750,1.844,3.133,0.00
0.61777,1.844,3.087,0.00
0.62814,1.844,3.026,0.00
0.63831,1.801,3.026,0.00
0.64848,1.767,2.956,0.00
0.65866,1.767,2.956,0.00
0.66884,1.732,2.890,0.00
0.67900,1.732,2.890,0.00
0.68926,1.690,2.890,0.00
0.69942,1.690,2.840,0.00
0.70959,1.644,2.814,0.00
0.71974,1.644,2.814,0.00
0.73004,1.594,2.799,0.00
0.74018,1.594,2.799,0.00
0.75033,1.553,2.774,0.00
0.76047,1.553,2.774,0.00
0.77061,1.515,2.735,0.00
0.78076,1.515,2.735,0.00
0.79090,1.481,2.735,0.00
0.80105,1.481,2.707,0.00
0.81119,1.454,2.675,0.00
0.82162,1.454,2.675,0.00
0.83189,1.433,2.635,0.00
0.84215,1.433,2.635,0.00
0.85232,1.433,2.608,0.00
0.86247,1.413,2.608,0.00
0.87264,1.390,2.591,0.00
0.88279,1.390,2.591,0.00
0.89296,1.390,2.564,0.00
0.90311,1.375,2.564,0.00
0.91373,1.365,2.534,0.00
0.92398,1.365,2.534,0.00
0.93410,1.354,2.502,0.00
0.94442,1.354,2.502,0.00
0.95476,1.339,2.463,0.00
0.96521,1.339,2.416,0.00
0.97541,1.320,2.416,0.00
0.98585,1.320,2.373,0.00
0.99618,1.300,2.373,0.00
1.00631,1.300,2.373,0.00
1.01646,1.279,2.315,0.00
1.02662,1.279,2.315,0.00
1.03677,1.253,2.267,0.00
1.04693,1.253,2.267,0.00
1.05708,1.228,2.222,0.00
1.06723,1.228,2.222,0.00
1.07739,1.200,2.182,0.00
1.08755,1.200,2.182,0.00
1.09777,1.174,2.145,0.00
1.10791,1.174,2.145,0.00
1.11807,1.156,2.113,0.00
1.12824,1.156,2.113,0.00
1.13838,1.137,2.081,0.00
1.14857,1.122,2.050,0.00
1.15874,1.122,2.050,0.00
1.16890,1.112,2.014,0.00
1.17925,1.112,2.014,0.00
1.18968,1.104,1.979,0.00
1.20005,1.104,1.979,0.00
1.21019,1.104,1.945,0.00
1.22034,1.102,1.945,0.00
1.23048,1.105,1.906,0.00
1.24063,1.105,1.906,0.00
1.25077,1.106,1.874,0.00
1.26092,1.106,1.874,0.00
1.27106,1.106,1.843,0.00
1.28121,1.109,1.843,0.00
1.29135,1.117,1.818,0.00
1.30150,1.117,1.818,0.00
1.31164,1.122,1.797,0.00
