time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00253,-2.178,-0.944,0.00
0.01274,-2.179,-0.949,0.00
0.02324,-2.179,-0.949,0.00
0.03364,-2.179,-0.955,0.00
0.04417,-2.179,-0.955,0.00
0.05456,-2.180,-0.962,0.00
0.06491,-2.180,-0.962,0.00
0.07601,-2.183,-0.962,0.00
0.08621,-2.183,-0.970,0.00
0.09638,-2.183,-0.978,0.00
0.10666,-2.183,-0.978,0.00
0.11692,-2.185,-0.985,0.00
0.12709,-2.185,-0.985,0.00
0.13727,-2.185,-0.989,0.00
0.14808,-2.185,-0.989,0.00
0.15829,-2.189,-0.992,0.00
0.16856,-2.189,-0.992,0.00
0.17917,-2.189,-0.996,0.00
0.18977,-2.189,-0.996,0.00
0.19993,-2.185,-0.998,0.00
0.21094,-2.185,-0.998,0.00
0.22111,-2.181,-0.998,0.00
0.23127,-2.179,-0.998,0.00
0.24144,-2.179,-0.993,0.00
0.25160,-2.179,-0.993,0.00
0.26176,-2.180,-0.989,0.00
0.27192,-2.180,-0.989,0.00
0.28209,-2.182,-0.988,0.00
0.29240,-2.182,-0.993,0.00
0.30257,-2.185,-0.993,0.00
0.31274,-2.188,-0.993,0.00
0.32292,-2.188,-0.994,0.00
0.33321,-2.190,-0.998,0.00
0.34336,-2.190,-0.998,0.00
0.35353,-2.194,-0.998,0.00
0.36368,-2.194,-1.001,0.00
0.37385,-2.194,-1.004,0.00
0.38407,-2.197,-1.004,0.00
0.39423,-2.197,-1.011,0.00
0.40459,-2.199,-1.011,0.00
0.41475,-2.199,-1.011,0.00
0.42491,-2.204,-1.014,0.00
0.43506,-2.211,-1.018,0.00
0.44523,-2.211,-1.018,0.00
0.45539,-2.219,-1.017,0.00
0.46559,-2.219,-1.017,0.00
0.47578,-2.227,-1.012,0.00
0.48595,-2.227,-1.012,0.00
0.49611,-2.227,-1.012,0.00
0.50662,-2.238,-1.008,0.00
0.51916,-2.238,-1.008,0.00
0.52934,-2.247,-1.000,0.00
0.53950,-2.254,-0.992,0.00
0.55019,-2.263,-0.992,0.00
0.56036,-2.263,-0.983,0.00
0.57061,-2.263,-0.983,0.00
0.58078,-2.263,-0.983,0.00
0.59099,-2.273,-0.974,0.00
0.60116,-2.281,-0.967,0.00
0.61133,-2.281,-0.967,0.00
0.62149,-2.286,-0.963,0.00
0.63165,-2.290,-0.963,0.00
0.64181,-2.290,-0.964,0.00
0.65207,-2.294,-0.970,0.00
0.66223,-2.294,-0.970,0.00
0.67246,-2.297,-0.979,0.00
0.68265,-2.297,-0.979,0.00
0.69291,-2.299,-0.986,0.00
0.70307,-2.299,-0.986,0.00
0.71330,-2.299,-0.992,0.00
0.72388,-2.302,-0.992,0.00
0.73403,-2.305,-1.000,0.00
0.74451,-2.305,-1.000,0.00
0.75470,-2.306,-1.001,0.00
0.76500,-2.306,-1.001,0.00
0.77530,-2.305,-1.000,0.00
0.78600,-2.305,-1.000,0.00
0.79615,-2.308,-0.996,0.00
0.80810,-2.308,-0.996,0.00
0.81825,-2.313,-0.990,0.00
0.82908,-2.313,-0.990,0.00
0.83922,-2.321,-0.987,0.00
0.85049,-2.321,-0.987,0.00
0.86064,-2.332,-0.985,0.00
0.87088,-2.353,-0.985,0.00
0.88108,-2.353,-0.982,0.00
0.89125,-2.378,-0.982,0.00
0.90138,-2.378,-0.977,0.00
0.91154,-2.394,-0.970,0.00
0.92180,-2.394,-0.970,0.00
0.93214,-2.394,-0.966,0.00
0.94247,-2.394,-0.966,0.00
0.95261,-2.398,-0.961,0.00
0.96328,-2.398,-0.961,0.00
0.97343,-2.413,-0.955,0.00
0.98358,-2.413,-0.955,0.00
0.99373,-2.437,-0.951,0.00
1.00400,-2.437,-0.951,0.00
1.01432,-2.458,-0.948,0.00
1.02590,-2.458,-0.948,0.00
1.03605,-2.484,-0.954,0.00
1.04804,-2.484,-0.954,0.00
1.05821,-2.512,-0.960,0.00
1.06834,-2.512,-0.960,0.00
1.07848,-2.544,-0.970,0.00
1.08862,-2.544,-0.970,0.00
1.09887,-2.544,-0.970,0.00
1.10905,-2.576,-0.983,0.00
1.11924,-2.604,-0.975,0.00
1.13019,-2.613,-0.975,0.00
1.14039,-2.613,-0.966,0.00
1.15054,-2.613,-0.956,0.00
1.16067,-2.605,-0.956,0.00
1.17093,-2.605,-0.949,0.00
1.18107,-2.586,-0.949,0.00
1.19125,-2.551,-0.953,0.00
1.20166,-2.551,-0.953,0.00
1.21182,-2.512,-0.953,0.00
1.22195,-2.512,-0.967,0.00
1.23226,-2.512,-0.967,0.00
1.24263,-2.490,-1.017,0.00
1.25277,-2.473,-1.104,0.00
1.26311,-2.473,-1.104,0.00
1.27329,-2.473,-1.207,0.00
1.28343,-2.452,-1.207,0.00
1.29357,-2.452,-1.335,0.00
