time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00161,-3.114,4.829,0.00
0.01184,-3.113,4.826,0.00
0.02201,-3.112,4.826,0.00
0.03219,-3.112,4.826,0.00
0.04456,-3.112,4.824,0.00
0.05476,-3.114,4.821,0.00
0.06530,-3.114,4.821,0.00
0.07569,-3.114,4.819,0.00
0.08612,-3.114,4.819,0.00
0.09642,-3.114,4.817,0.00
0.10678,-3.114,4.814,0.00
0.11743,-3.113,4.814,0.00
0.12759,-3.113,4.814,0.00
0.13823,-3.113,4.814,0.00
0.14827,-3.114,4.812,0.00
0.16086,-3.115,4.812,0.00
0.17279,-3.115,4.812,0.00
0.18285,-3.116,4.810,0.00
0.19302,-3.118,4.806,0.00
0.20538,-3.118,4.803,0.00
0.21566,-3.121,4.803,0.00
0.22592,-3.121,4.803,0.00
0.23609,-3.124,4.794,0.00
0.24626,-3.127,4.794,0.00
0.25643,-3.127,4.787,0.00
0.26671,-3.130,4.787,0.00
0.27714,-3.130,4.781,0.00
0.28751,-3.132,4.777,0.00
0.29772,-3.132,4.777,0.00
0.30791,-3.136,4.770,0.00
0.32220,-3.136,4.770,0.00
0.33425,-3.139,4.762,0.00
0.34452,-3.139,4.762,0.00
0.35649,-3.141,4.758,0.00
0.36732,-3.141,4.758,0.00
0.37903,-3.144,4.754,0.00
0.38938,-3.149,4.749,0.00
0.39982,-3.149,4.749,0.00
0.40998,-3.154,4.747,0.00
0.42016,-3.154,4.747,0.00
0.43241,-3.154,4.745,0.00
0.44279,-3.158,4.745,0.00
0.45311,-3.158,4.745,0.00
0.46313,-3.161,4.743,0.00
0.47330,-3.161,4.743,0.00
0.48347,-3.162,4.739,0.00
0.49361,-3.161,4.732,0.00
0.50560,-3.161,4.732,0.00
0.51611,-3.159,4.725,0.00
0.52651,-3.156,4.725,0.00
0.53694,-3.156,4.716,0.00
0.54711,-3.156,4.716,0.00
0.55743,-3.149,4.704,0.00
0.56881,-3.149,4.704,0.00
0.57887,-3.144,4.692,0.00
0.58903,-3.144,4.679,0.00
0.59935,-3.138,4.679,0.00
0.60953,-3.138,4.679,0.00
0.61974,-3.138,4.679,0.00
0.62994,-3.138,4.679,0.00
0.64018,-3.121,4.664,0.00
0.65094,-3.121,4.664,0.00
0.66116,-3.114,4.650,0.00
0.67135,-3.114,4.650,0.00
0.68152,-3.108,4.639,0.00
0.69171,-3.108,4.639,0.00
0.70218,-3.103,4.629,0.00
0.71312,-3.098,4.615,0.00
0.72339,-3.098,4.615,0.00
0.73358,-3.092,4.603,0.00
0.74375,-3.092,4.603,0.00
0.75394,-3.085,4.593,0.00
0.76435,-3.085,4.593,0.00
0.77483,-3.078,4.586,0.00
0.78519,-3.072,4.571,0.00
0.79548,-3.072,4.571,0.00
0.80583,-3.066,4.569,0.00
0.81670,-3.066,4.569,0.00
0.82706,-3.063,4.567,0.00
0.83731,-3.063,4.567,0.00
0.84770,-3.063,4.567,0.00
0.85785,-3.063,4.566,0.00
0.86802,-3.061,4.569,0.00
0.87825,-3.060,4.569,0.00
0.88841,-3.059,4.578,0.00
0.89856,-3.059,4.578,0.00
0.90872,-3.059,4.590,0.00
0.91905,-3.057,4.590,0.00
0.92931,-3.053,4.601,0.00
0.93948,-3.053,4.601,0.00
0.94964,-3.053,4.601,0.00
0.95981,-3.053,4.601,0.00
0.96997,-3.050,4.613,0.00
0.98024,-3.046,4.628,0.00
0.99040,-3.041,4.640,0.00
1.00067,-3.041,4.640,0.00
1.01092,-3.037,4.648,0.00
1.02199,-3.037,4.648,0.00
1.03215,-3.037,4.661,0.00
1.04274,-3.037,4.661,0.00
1.05294,-3.037,4.676,0.00
1.06322,-3.037,4.676,0.00
1.07339,-3.038,4.694,0.00
1.08385,-3.041,4.694,0.00
1.09401,-3.041,4.711,0.00
1.10418,-3.041,4.711,0.00
1.11440,-3.047,4.730,0.00
1.12456,-3.047,4.730,0.00
1.13472,-3.055,4.748,0.00
1.14488,-3.063,4.769,0.00
1.15505,-3.063,4.769,0.00
1.16537,-3.063,4.769,0.00
1.17553,-3.073,4.792,0.00
1.18569,-3.073,4.792,0.00
1.19639,-3.084,4.817,0.00
1.20683,-3.093,4.843,0.00
1.21700,-3.093,4.843,0.00
1.22718,-3.101,4.870,0.00
1.23734,-3.101,4.870,0.00
1.24762,-3.107,4.899,0.00
1.25779,-3.107,4.899,0.00
1.26805,-3.107,4.899,0.00
1.27821,-3.111,4.935,0.00
1.28841,-3.111,4.935,0.00
1.29856,-3.115,4.967,0.00
1.30872,-3.119,4.995,0.00
1.31888,-3.119,4.995,0.00
1.32983,-3.127,5.020,0.00
1.34030,-3.127,5.020,0.00
1.35061,-3.136,5.020,0.00
1.36080,-3.136,5.042,0.00
1.37113,-3.146,5.063,0.00
1.38222,-3.146,5.063,0.00
1.39267,-3.155,5.079,0.00
1.40299,-3.164,5.079,0.00
1.41338,-3.164,5.090,0.00
1.42371,-3.169,5.090,0.00
1.43402,-3.169,5.096,0.00
1.44453,-3.169,5.096,0.00
1.45508,-3.176,5.101,0.00
1.46550,-3.176,5.101,0.00
1.47565,-3.181,5.105,0.00
1.48580,-3.181,5.104,0.00
1.49596,-3.186,5.104,0.00
1.50640,-3.186,5.104,0.00
1.51660,-3.190,5.104,0.00
1.52677,-3.193,5.108,0.00
1.53741,-3.193,5.108,0.00
1.54756,-3.193,5.105,0.00
1.55793,-3.195,5.105,0.00
1.56838,-3.195,5.105,0.00
1.57874,-3.195,5.097,0.00
1.58915,-3.192,5.090,0.00
1.59933,-3.192,5.090,0.00
1.60949,-3.191,5.081,0.00
1.61980,-3.191,5.081,0.00
1.63073,-3.190,5.072,0.00
1.64092,-3.190,5.072,0.00
1.65108,-3.190,5.062,0.00
1.66125,-3.190,5.062,0.00
1.67153,-3.190,5.062,0.00
1.68181,-3.189,5.048,0.00
1.69226,-3.184,5.038,0.00
1.70256,-3.184,5.038,0.00
1.71276,-3.181,5.021,0.00
1.72377,-3.181,5.021,0.00
1.73401,-3.176,5.003,0.00
1.74416,-3.176,4.989,0.00
1.75445,-3.171,4.989,0.00
1.76461,-3.171,4.989,0.00
1.77665,-3.171,4.989,0.00
1.78683,-3.166,4.970,0.00
1.79699,-3.159,4.952,0.00
1.80715,-3.153,4.938,0.00
1.81730,-3.153,4.938,0.00
1.82750,-3.153,4.938,0.00
1.83769,-3.146,4.925,0.00
1.84784,-3.140,4.907,0.00
1.85801,-3.140,4.907,0.00
1.86817,-3.131,4.889,0.00
1.87835,-3.131,4.889,0.00
1.88850,-3.123,4.872,0.00
1.89875,-3.123,4.872,0.00
1.90892,-3.118,4.857,0.00
1.91914,-3.118,4.857,0.00
1.92930,-3.115,4.845,0.00
1.93946,-3.115,4.845,0.00
1.94962,-3.112,4.834,0.00
1.95983,-3.112,4.834,0.00
1.97002,-3.108,4.825,0.00
1.98018,-3.108,4.825,0.00
1.99106,-3.104,4.814,0.00
2.00169,-3.104,4.814,0.00
2.01203,-3.100,4.803,0.00
2.02249,-3.100,4.796,0.00
2.03278,-3.094,4.796,0.00
2.04328,-3.094,4.796,0.00
2.05355,-3.089,4.796,0.00
2.06375,-3.086,4.796,0.00
2.07469,-3.086,4.809,0.00
2.08563,-3.086,4.809,0.00
2.09578,-3.084,4.825,0.00
2.10611,-3.084,4.825,0.00
2.11619,-3.083,4.832,0.00
2.12636,-3.082,4.826,0.00
2.13651,-3.082,4.826,0.00
2.14668,-3.079,4.820,0.00
2.15688,-3.079,4.820,0.00
2.16705,-3.074,4.812,0.00
2.17725,-3.074,4.812,0.00
2.18744,-3.074,4.821,0.00
2.19759,-3.072,4.821,0.00
2.20775,-3.072,4.831,0.00
2.21792,-3.070,4.831,0.00
2.22833,-3.069,4.839,0.00
2.23862,-3.069,4.839,0.00
2.24907,-3.068,4.846,0.00
2.25935,-3.068,4.846,0.00
2.26952,-3.067,4.868,0.00
2.27967,-3.067,4.868,0.00
2.28984,-3.066,4.868,0.00
2.30000,-3.066,4.904,0.00
2.31037,-3.066,4.904,0.00
2.32060,-3.067,4.947,0.00
2.33076,-3.069,5.001,0.00
2.34093,-3.069,5.001,0.00
2.35109,-3.070,5.074,0.00
2.36136,-3.070,5.074,0.00
2.37162,-3.070,5.074,0.00
2.38216,-3.072,5.148,0.00
2.39234,-3.072,5.148,0.00
2.40261,-3.073,5.227,0.00
2.41277,-3.073,5.227,0.00
2.42312,-3.073,5.227,0.00
2.43325,-3.077,5.317,0.00
2.44341,-3.077,5.406,0.00
2.45366,-3.079,5.406,0.00
2.46382,-3.079,5.498,0.00
2.47430,-3.081,5.498,0.00
2.48464,-3.081,5.498,0.00
2.49480,-3.082,5.498,0.00
2.50500,-3.085,5.598,0.00
2.51515,-3.085,5.692,0.00
2.52532,-3.088,5.692,0.00
2.53555,-3.088,5.786,0.00
2.54571,-3.092,5.786,0.00
2.55587,-3.092,5.856,0.00
2.56624,-3.096,5.946,0.00
2.57674,-3.096,5.946,0.00
2.58728,-3.096,5.946,0.00
2.59754,-3.100,6.038,0.00
2.60846,-3.107,6.116,0.00
2.61862,-3.107,6.116,0.00
2.62891,-3.116,6.185,0.00
2.63907,-3.116,6.185,0.00
2.64923,-3.126,6.235,0.00
2.65941,-3.126,6.235,0.00
2.66960,-3.126,6.276,0.00
2.67990,-3.137,6.276,0.00
2.69032,-3.137,6.276,0.00
2.70066,-3.150,6.308,0.00
2.71098,-3.163,6.319,0.00
2.72127,-3.163,6.319,0.00
2.73185,-3.171,6.313,0.00
2.74237,-3.171,6.309,0.00
2.75276,-3.181,6.309,0.00
2.76303,-3.181,6.309,0.00
2.77322,-3.191,6.304,0.00
2.78337,-3.191,6.304,0.00
2.79353,-3.203,6.293,0.00
2.80415,-3.203,6.293,0.00
2.81432,-3.215,6.275,0.00
2.82448,-3.215,6.275,0.00
2.83463,-3.228,6.241,0.00
2.84478,-3.228,6.199,0.00
2.85512,-3.240,6.199,0.00
2.86528,-3.240,6.199,0.00
2.87545,-3.250,6.153,0.00
2.88576,-3.258,6.153,0.00
2.89591,-3.258,6.101,0.00
2.90715,-3.258,6.101,0.00
2.91739,-3.262,6.040,0.00
2.92758,-3.267,5.973,0.00
2.93847,-3.267,5.973,0.00
2.94866,-3.272,5.905,0.00
2.95893,-3.272,5.905,0.00
2.96910,-3.277,5.826,0.00
2.97937,-3.277,5.826,0.00
2.98985,-3.283,5.734,0.00
3.00004,-3.283,5.734,0.00
3.01043,-3.296,5.619,0.00
3.02081,-3.296,5.619,0.00
3.03166,-3.268,5.480,0.00
3.04198,-3.268,5.480,0.00
3.05215,-3.122,5.322,0.00
3.06232,-3.122,5.322,0.00
3.07248,-2.853,5.135,0.00
3.08267,-2.853,5.135,0.00
3.09283,-2.392,4.976,0.00
3.10300,-2.392,4.976,0.00
3.11347,-1.667,4.802,0.00
3.12363,-1.667,4.802,0.00
3.13380,-0.786,4.629,0.00
3.14414,0.456,4.629,0.00
3.15449,0.456,4.469,0.00
3.16466,0.456,4.318,0.00
3.17488,1.804,4.318,0.00
3.18625,1.804,4.318,0.00
3.19652,3.492,4.164,0.00
3.20669,3.492,4.164,0.00
3.21687,3.492,4.010,0.00
3.22710,7.459,3.874,0.00
3.23727,7.459,3.874,0.00
3.24766,9.652,3.772,0.00
3.25786,9.652,3.772,0.00
3.28316,11.856,3.772,0.00
3.29334,13.948,3.626,0.00
3.31743,15.845,3.601,9.00
3.32778,17.479,3.592,9.00
3.35137,18.859,3.592,9.00
3.36200,18.859,3.603,9.00
3.38104,20.115,3.660,9.00
3.39120,21.172,3.741,9.00
3.40137,21.172,3.741,9.00
3.41274,21.172,3.741,9.00
3.42312,21.859,3.846,9.00
3.43339,22.091,3.942,9.00
3.44510,22.091,3.942,9.00
3.45526,22.131,4.009,9.00
3.46541,22.022,4.009,9.00
3.47712,22.022,4.023,9.00
3.48728,21.545,4.013,9.00
3.49743,21.545,4.013,9.00
3.50779,21.545,4.013,9.00
3.52054,20.733,3.992,9.00
3.53094,19.387,3.946,9.00
3.55565,17.568,3.905,9.00
3.56618,15.472,3.862,9.00
3.58697,15.472,3.862,9.00
3.59719,13.586,3.836,9.00
3.61975,13.586,3.836,9.00
3.62995,11.520,3.820,9.00
3.64073,9.373,3.797,9.00
3.65136,7.383,3.797,9.50
3.66233,7.383,3.779,9.50
3.67265,5.588,3.768,9.50
3.68397,3.731,3.768,9.50
3.69441,3.731,3.709,9.50
3.70461,1.983,3.709,9.50
3.71636,1.983,3.447,9.50
3.72696,1.983,3.447,9.50
3.73713,0.436,2.993,9.50
3.74791,0.436,2.993,9.50
3.75814,-0.879,2.676,9.50
3.76833,-1.917,2.363,9.50
3.79668,-2.656,2.087,9.50
3.80692,-2.978,1.919,9.50
3.82704,-2.978,1.919,10.00
3.83722,-2.930,1.784,10.00
3.85905,-2.930,1.784,10.00
3.86929,-2.459,1.764,10.00
3.89193,-2.607,1.805,10.50
3.90231,-2.607,1.805,10.50
3.91248,-2.799,1.810,10.50
3.92347,-2.799,1.810,10.50
3.93470,-2.906,1.809,10.50
3.94504,-2.906,1.809,10.50
3.95714,-3.003,1.774,11.00
3.96741,-3.062,1.720,11.00
3.97758,-3.062,1.720,11.00
3.98773,-3.062,1.635,11.50
3.99875,-3.055,1.635,11.50
4.00892,-3.011,1.554,11.50
4.01936,-3.011,1.554,12.00
4.02989,-3.011,1.455,12.00
4.04004,-2.942,1.455,12.00
4.07025,-2.862,1.329,12.50
4.08054,-2.784,1.246,12.50
4.10160,-2.697,1.174,13.00
4.11233,-2.622,1.115,13.00
4.13121,-2.622,1.115,13.50
4.14141,-2.575,1.099,13.50
4.16434,-2.550,1.055,14.00
4.17448,-2.560,1.059,14.00
4.19492,-2.603,1.068,15.00
4.20525,-2.603,1.068,15.00
4.21562,-2.651,1.033,15.00
4.22790,-2.651,1.033,15.50
4.23815,-2.651,1.033,15.50
4.24848,-2.714,0.960,15.50
4.26115,-2.774,0.960,16.00
4.27134,-2.821,0.927,16.00
4.28150,-2.821,0.927,16.00
4.29177,-2.857,0.845,17.00
4.30193,-2.857,0.845,17.00
4.31214,-2.874,0.780,17.00
4.32337,-2.874,0.780,17.50
4.33370,-2.884,0.780,17.50
4.34387,-2.884,0.695,17.50
4.37111,-2.889,0.590,18.00
4.38130,-2.889,0.590,18.00
4.40309,-2.898,0.404,18.50
4.41346,-2.898,0.404,18.50
4.43509,-2.898,0.404,19.00
4.44527,-2.896,0.330,19.00
4.46745,-2.890,0.248,19.00
4.47837,-2.892,0.157,19.00
4.50392,-2.897,0.063,19.50
4.51416,-2.902,-0.079,19.50
4.53131,-2.902,-0.079,20.00
4.54149,-2.909,-0.204,20.00
4.55167,-2.909,-0.204,20.00
4.56337,-2.910,-0.367,20.00
4.57371,-2.913,-0.502,20.00
4.58387,-2.913,-0.502,20.00
4.59520,-2.921,-0.627,20.00
4.60538,-2.921,-0.627,20.00
4.61555,-2.927,-0.756,20.00
4.62752,-2.927,-0.756,20.50
4.63964,-2.932,-0.900,20.50
4.64988,-2.927,-1.035,20.50
4.66085,-2.927,-1.035,20.50
4.67101,-2.919,-1.165,20.50
4.68115,-2.919,-1.165,20.50
4.70784,-2.887,-1.298,20.50
4.71836,-2.887,-1.298,20.50
4.73937,-2.875,-1.333,20.50
4.74956,-2.875,-1.333,20.50
4.77128,-2.860,-1.362,20.50
4.78154,-2.851,-1.404,20.50
4.79185,-2.842,-1.426,20.50
4.80616,-2.842,-1.426,21.00
4.81619,-2.836,-1.401,21.00
4.82635,-2.836,-1.401,21.00
4.83649,-2.836,-1.401,21.00
4.84675,-2.836,-1.401,21.00
4.85691,-2.836,-1.401,21.00
4.87124,-2.836,-1.401,21.00
4.88177,-2.838,-1.353,21.00
4.89193,-2.852,-1.209,21.00
4.91609,-2.861,-1.142,21.00
4.92628,-2.873,-1.040,21.00
4.94882,-2.873,-1.040,21.00
4.95898,-2.890,-0.914,21.00
4.98053,-2.890,-0.914,21.00
4.99078,-2.890,-0.914,21.00
5.01187,-2.898,-0.584,21.00
5.02203,-2.900,-0.394,21.00
5.04291,-2.905,-0.209,21.00
5.05309,-2.905,-0.209,21.00
5.06394,-2.919,-0.012,21.00
5.07565,-2.935,0.216,21.00
5.08723,-2.946,0.216,21.00
5.09739,-2.946,0.428,21.00
5.10873,-2.956,0.644,21.00
5.11974,-2.956,0.644,21.00
5.12991,-2.965,0.853,21.00
5.14039,-2.965,0.853,21.00
5.15058,-2.965,0.853,21.00
5.16092,-2.981,1.045,21.00
5.17189,-3.000,1.231,21.00
5.18220,-3.000,1.231,21.00
5.19256,-3.014,1.396,21.00
5.22041,-3.031,1.396,21.00
5.23058,-3.042,1.626,21.00
5.25097,-3.042,1.805,21.00
5.26131,-3.055,1.997,21.00
5.28368,-3.065,2.237,21.00
5.29416,-3.073,2.464,21.00
5.30432,-3.078,2.464,21.00
5.31577,-3.078,2.757,21.00
5.32596,-3.081,3.086,21.00
5.33631,-3.081,3.086,21.00
5.34867,-3.081,3.086,21.00
5.35885,-3.085,3.098,21.00
5.36901,-3.087,3.169,21.00
5.37957,-3.087,3.169,21.00
5.38993,-3.094,4.207,21.00
5.40048,-3.094,4.207,21.00
5.41181,-3.105,4.032,21.00
5.42197,-3.105,4.032,21.00
5.43216,-3.114,4.299,21.00
5.44313,-3.114,4.299,21.00
5.45336,-3.124,4.620,21.00
5.46351,-3.124,4.620,21.00
5.47367,-3.127,4.905,21.00
5.48458,-3.127,4.905,0.00
5.49476,-3.131,5.192,0.00
5.50492,-3.137,5.466,0.00
5.51508,-3.137,5.466,0.00
5.52593,-3.148,5.743,0.00
5.53635,-3.148,5.743,0.00
5.54651,-3.161,6.013,0.00
5.55671,-3.161,6.013,0.00
5.56687,-3.161,6.220,0.00
5.57722,-3.179,6.220,0.00
5.58769,-3.179,6.220,0.00
5.59845,-3.193,6.452,0.00
5.60881,-3.193,6.555,0.00
5.61908,-3.194,6.555,0.00
5.62925,-3.180,6.637,0.00
5.63950,-3.180,6.637,0.00
5.64990,-3.139,6.751,0.00
5.66019,-3.139,6.751,0.00
5.67071,-3.037,6.782,0.00
5.68091,-3.037,6.782,0.00
5.69110,-3.037,6.782,0.00
5.70136,-2.898,6.848,0.00
5.71151,-2.782,6.895,0.00
5.72168,-2.782,6.895,0.00
5.73192,-2.709,6.963,0.00
5.74222,-2.709,6.963,0.00
5.75259,-2.682,7.037,0.00
5.76282,-2.682,7.037,0.00
5.77299,-2.682,7.037,0.00
5.78323,-2.673,7.078,0.00
5.79339,-2.650,7.141,0.00
5.80355,-2.650,7.161,0.00
5.81372,-2.576,7.161,0.00
5.82560,-2.576,7.161,0.00
5.83577,-2.472,7.185,0.00
5.84594,-2.386,7.206,0.00
5.85609,-2.386,7.206,0.00
5.86624,-2.386,7.206,0.00
5.87647,-2.328,7.216,0.00
5.88663,-2.328,7.216,0.00
5.89679,-2.283,7.262,0.00
5.90715,-2.283,7.262,0.00
5.91752,-2.269,7.245,0.00
5.92768,-2.303,7.268,0.00
5.93784,-2.303,7.268,0.00
5.94801,-2.397,7.131,0.00
5.95818,-2.397,7.131,0.00
5.96927,-2.397,7.131,0.00
5.97945,-2.522,6.925,0.00
5.98961,-2.626,6.437,0.00
5.99977,-2.626,6.437,0.00
6.00994,-2.626,5.892,0.00
6.02060,-2.707,5.892,0.00
6.03076,-2.765,5.527,0.00
6.04140,-2.765,5.527,0.00
6.05157,-2.822,5.612,0.00
6.06173,-2.822,5.612,0.00
6.07210,-2.822,5.612,0.00
6.08234,-2.875,5.804,0.00
6.09273,-2.914,5.991,0.00
6.10290,-2.937,5.991,0.00
6.11306,-2.937,6.316,0.00
6.12321,-2.937,6.316,0.00
6.13338,-2.944,6.681,0.00
6.14368,-2.928,6.681,0.00
6.15421,-2.928,6.969,0.00
6.16441,-2.928,6.969,0.00
6.17471,-2.928,6.969,0.00
6.18490,-2.894,7.133,0.00
6.19505,-2.854,7.021,0.00
6.20527,-2.854,6.718,0.00
6.21542,-2.810,6.718,0.00
6.22558,-2.810,6.718,0.00
6.23581,-2.767,6.672,0.00
6.24645,-2.767,6.672,0.00
6.25671,-2.736,6.755,0.00
6.26737,-2.716,7.219,0.00
6.27753,-2.716,7.219,0.00
6.28769,-2.716,7.219,0.00
6.29784,-2.708,7.612,0.00
6.30798,-2.707,7.612,0.00
6.31835,-2.707,7.603,0.00
6.32851,-2.717,7.044,0.00
6.33872,-2.717,7.044,0.00
6.34887,-2.717,7.044,0.00
6.36047,-2.728,7.311,0.00
6.37073,-2.740,7.556,0.00
6.38089,-2.740,7.556,0.00
6.39109,-2.752,7.556,0.00
6.40127,-2.752,7.199,0.00
