time,sh_el_deg,sh_el,stim_curr,max_sh_el(deg)
0.00057,0.000,0.000,0.000,0.000
0.03079,9.900,0.173,0.000,9.900
0.06179,9.463,0.165,0.000,9.900
0.09404,9.237,0.161,0.000,9.900
0.12641,8.788,0.153,0.000,9.900
0.15859,8.591,0.150,0.000,9.900
0.19027,8.266,0.144,0.000,9.900
0.22257,7.973,0.139,0.000,9.900
0.25411,7.851,0.137,0.000,9.900
0.28651,7.675,0.134,0.000,9.900
0.31841,7.625,0.133,0.000,9.900
0.35005,7.559,0.132,0.000,9.900
0.38173,7.526,0.131,0.000,9.900
0.42194,7.506,0.131,0.000,9.900
0.45460,7.508,0.131,0.000,9.900
0.48670,7.542,0.132,0.000,9.900
0.51920,7.570,0.132,0.000,9.900
0.55059,7.641,0.133,0.000,9.900
0.58277,7.721,0.135,0.000,9.900
0.61462,7.765,0.136,0.000,9.900
0.64688,7.878,0.137,0.000,9.900
0.67874,7.937,0.139,0.000,9.900
0.71201,8.061,0.141,0.000,9.900
0.74400,8.127,0.142,0.000,9.900
0.77534,8.246,0.144,0.000,9.900
0.80738,8.344,0.146,0.000,9.900
0.83978,8.384,0.146,0.000,9.900
0.87089,8.444,0.147,0.000,9.900
0.90314,8.497,0.148,0.000,9.900
0.94334,8.527,0.149,0.000,9.900
0.97493,8.592,0.150,0.000,9.900
1.00696,8.661,0.151,0.000,9.900
1.03895,8.711,0.152,0.000,9.900
1.07096,8.848,0.154,0.000,9.900
1.10386,9.015,0.157,0.000,9.900
1.13460,9.109,0.159,0.000,9.900
1.16532,9.334,0.163,0.000,9.900
1.19743,9.445,0.165,0.000,9.900
1.22953,9.717,0.170,0.000,9.900
1.26108,9.993,0.174,0.000,9.993
1.29417,10.145,0.177,0.000,10.145
1.32470,10.473,0.183,0.000,10.473
1.35881,10.658,0.186,0.000,10.658
1.39124,11.039,0.193,0.000,11.039
1.42768,11.498,0.201,0.000,11.498
1.46272,11.744,0.205,0.000,11.744
1.49463,12.271,0.214,0.000,12.271
1.52697,12.842,0.224,0.000,12.842
1.56002,13.147,0.229,0.000,13.147
1.60198,14.055,0.245,0.000,14.055
1.63340,14.365,0.251,0.000,14.365
1.66517,14.682,0.256,0.000,14.682
1.74279,15.595,0.272,0.000,15.595
1.83849,15.887,0.277,6.000,15.887
1.93453,16.438,0.287,6.000,16.438
2.03040,16.982,0.296,6.000,16.982
2.12649,17.503,0.305,6.000,17.503
2.22252,17.980,0.314,6.000,17.980
2.31862,18.403,0.321,6.000,18.403
2.41449,18.809,0.328,6.000,18.809
2.51044,18.990,0.331,6.500,18.990
2.60687,19.584,0.342,6.500,19.584
2.70293,19.966,0.348,6.500,19.966
