time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00037,0.000,0.000,0.00
0.02079,3.377,16.294,0.00
0.04067,3.377,16.294,0.00
0.05774,3.377,16.291,0.00
0.08715,3.376,16.291,0.00
0.10520,3.375,16.292,0.00
0.12157,3.371,16.307,0.00
0.14390,3.375,16.307,0.00
0.17135,3.384,16.338,0.00
0.18565,3.384,16.338,0.00
0.20107,3.382,16.343,0.00
0.21723,3.389,16.354,0.00
0.23461,3.420,16.372,0.00
0.24902,3.420,16.372,0.00
0.26966,3.438,16.386,0.00
0.28073,3.438,16.401,0.00
0.29697,3.444,16.401,0.00
0.31278,3.444,16.401,0.00
0.32855,3.479,16.432,0.00
0.34436,3.493,16.448,0.00
0.35999,3.502,16.464,0.00
0.37615,3.521,16.478,0.00
0.39215,3.531,16.487,0.00
0.40852,3.531,16.487,0.00
0.42471,3.531,16.487,0.00
0.44063,3.537,16.493,0.00
0.45760,3.537,16.493,0.00
0.47266,3.537,16.493,0.00
0.48945,3.535,16.499,0.00
0.50491,3.536,16.499,0.00
0.52075,3.536,16.499,0.00
0.53633,3.536,16.499,0.00
0.55260,3.536,16.499,0.00
0.56727,3.536,16.499,0.00
0.59361,3.536,16.499,0.00
0.61607,3.536,16.499,0.00
0.63179,3.548,16.511,0.00
0.65064,3.552,16.534,0.00
0.66543,3.552,16.540,0.00
0.67857,3.552,16.540,0.00
0.69270,3.552,16.540,0.00
0.71342,3.552,16.540,0.00
0.73469,3.543,16.559,0.00
0.75474,3.545,16.574,0.00
0.77092,3.545,16.574,0.00
0.80421,3.545,16.574,0.00
0.82039,3.545,16.574,0.00
0.83715,3.537,16.583,0.00
0.85312,3.543,16.583,0.00
0.86875,3.543,16.583,0.00
0.88561,3.559,16.581,0.00
0.90104,3.559,16.581,0.00
0.91708,3.559,16.581,0.00
0.93271,3.559,16.581,0.00
0.94935,3.577,16.570,0.00
0.96465,3.577,16.570,0.00
0.98090,3.575,16.562,0.00
0.99691,3.575,16.554,0.00
1.01340,3.555,16.515,0.00
1.02954,3.553,16.469,0.00
1.04556,3.535,16.417,0.00
1.06138,3.526,16.417,0.00
1.07699,3.526,16.364,0.00
1.10157,3.526,16.364,0.00
1.11701,3.526,16.364,0.00
1.13371,3.526,16.364,0.00
1.14687,3.526,16.364,0.00
1.16075,3.514,16.170,0.00
1.17455,3.526,16.170,0.00
1.18893,3.552,16.027,0.00
1.20205,3.552,16.027,0.00
1.21605,3.547,15.952,0.00
1.22973,3.538,15.877,0.00
1.24379,3.537,15.804,0.00
1.25760,3.539,15.733,0.00
1.27201,3.528,15.579,0.00
1.28594,3.519,15.579,0.00
1.29971,3.509,15.510,0.00
1.31358,3.504,15.438,0.00
1.32741,3.503,15.360,0.00
1.34852,3.494,15.360,0.00
1.36235,3.494,15.360,0.00
1.38300,3.494,15.360,0.00
1.39780,3.488,15.205,0.00
1.41230,3.487,15.052,0.00
1.43529,3.486,14.929,0.00
1.44741,3.481,14.929,0.00
1.46296,3.481,14.929,0.00
1.47905,3.481,14.929,0.00
1.49503,3.481,14.929,0.00
1.51104,3.481,14.929,0.00
1.52724,3.481,14.929,0.00
1.54262,3.469,14.830,0.00
1.55887,3.462,14.830,0.00
1.57530,3.451,14.741,0.00
1.59058,3.449,14.741,0.00
1.61461,3.449,14.654,0.00
1.63066,3.449,14.654,0.00
1.64618,3.448,14.565,0.00
1.66248,3.448,14.565,0.00
1.67860,3.448,14.522,0.00
1.69527,3.457,14.483,0.00
1.71044,3.469,14.443,0.00
1.73513,3.469,14.443,0.00
1.75107,3.478,14.363,0.00
1.76723,3.474,14.326,0.00
1.78335,3.476,14.288,0.00
1.79791,3.476,14.288,0.00
1.81374,3.475,14.256,0.00
1.82967,3.475,14.256,0.00
1.84564,3.475,14.256,0.00
1.86244,3.473,14.183,0.00
1.87759,3.473,14.183,0.00
1.89044,3.462,14.133,0.00
1.90352,3.453,14.114,0.00
1.92304,3.450,14.114,0.00
1.94335,3.450,14.114,0.00
1.95578,3.450,14.114,0.00
1.97159,3.450,14.114,0.00
1.98773,3.450,14.114,0.00
2.00427,3.450,14.114,0.00
2.01984,3.450,14.114,0.00
2.03600,3.450,14.114,0.00
2.05204,3.450,14.114,0.00
2.06829,3.450,14.114,0.00
2.08395,3.450,14.114,0.00
2.09959,3.402,14.058,0.00
2.11564,3.402,14.058,0.00
2.13239,3.383,14.013,0.00
2.14779,3.383,14.013,0.00
2.17280,3.364,13.968,0.00
2.18884,3.353,13.945,0.00
2.20495,3.344,13.928,0.00
2.22093,3.339,13.905,0.00
2.23629,3.322,13.881,0.00
2.25365,3.318,13.832,0.00
2.27024,3.321,13.807,0.00
2.28504,3.315,13.807,0.00
2.30076,3.311,13.775,0.00
2.31665,3.314,13.732,0.00
2.33313,3.305,13.722,0.00
2.34917,3.296,13.696,0.00
2.36448,3.293,13.661,0.00
2.38087,3.294,13.638,0.00
2.39659,3.292,13.616,0.00
2.41269,3.296,13.601,0.00
2.43016,3.347,13.608,0.00
2.44489,3.347,13.608,0.00
2.46064,3.386,13.628,0.00
2.47793,3.453,13.670,0.00
2.49312,3.453,13.670,0.00
2.50894,3.484,13.703,0.00
2.52570,3.597,13.776,0.00
2.54181,3.652,13.974,0.00
2.55753,3.652,14.056,0.00
2.57332,3.677,14.056,0.00
2.58900,3.617,14.164,0.00
