time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00254,-0.667,0.121,0.00
0.01364,-0.664,0.126,0.00
0.02402,-0.664,0.126,0.00
0.03442,-0.658,0.134,0.00
0.04495,-0.658,0.140,0.00
0.05527,-0.655,0.140,0.00
0.06550,-0.655,0.140,0.00
0.07567,-0.653,0.146,0.00
0.08581,-0.654,0.146,0.00
0.09596,-0.654,0.153,0.00
0.10613,-0.654,0.153,0.00
0.11631,-0.657,0.157,0.00
0.12786,-0.660,0.157,0.00
0.13812,-0.660,0.164,0.00
0.14852,-0.660,0.164,0.00
0.15875,-0.662,0.175,0.00
0.16922,-0.664,0.188,0.00
0.17938,-0.664,0.188,0.00
0.18955,-0.664,0.200,0.00
0.19978,-0.664,0.200,0.00
0.20995,-0.666,0.210,0.00
0.22154,-0.666,0.210,0.00
0.23180,-0.669,0.219,0.00
0.24269,-0.669,0.219,0.00
0.25310,-0.673,0.227,0.00
0.26330,-0.673,0.227,0.00
0.27355,-0.682,0.234,0.00
0.28400,-0.700,0.234,0.00
0.29420,-0.700,0.241,0.00
0.30459,-0.700,0.241,0.00
0.31505,-0.715,0.246,0.00
0.32521,-0.715,0.246,0.00
0.33541,-0.721,0.252,0.00
0.34565,-0.721,0.252,0.00
0.35583,-0.721,0.260,0.00
0.36610,-0.730,0.267,0.00
0.37625,-0.745,0.267,0.00
0.38675,-0.745,0.274,0.00
0.39688,-0.760,0.274,0.00
0.40704,-0.760,0.274,0.00
0.41721,-0.774,0.276,0.00
0.42739,-0.774,0.276,0.00
0.43754,-0.783,0.273,0.00
0.44776,-0.783,0.273,0.00
0.45793,-0.788,0.276,0.00
0.46810,-0.791,0.274,0.00
0.47827,-0.791,0.274,0.00
0.48843,-0.794,0.268,0.00
0.49859,-0.794,0.268,0.00
0.50948,-0.795,0.268,0.00
0.51968,-0.795,0.266,0.00
0.52980,-0.804,0.265,0.00
0.53997,-0.804,0.265,0.00
0.55014,-0.813,0.267,0.00
0.56029,-0.813,0.267,0.00
0.57050,-0.813,0.267,0.00
0.58085,-0.818,0.271,0.00
0.59107,-0.817,0.273,0.00
0.60145,-0.817,0.273,0.00
0.61183,-0.815,0.271,0.00
0.62197,-0.815,0.271,0.00
0.63228,-0.815,0.269,0.00
0.64247,-0.815,0.269,0.00
0.65265,-0.815,0.271,0.00
0.66280,-0.815,0.271,0.00
0.67301,-0.818,0.276,0.00
0.68322,-0.818,0.276,0.00
0.69337,-0.822,0.284,0.00
0.70421,-0.822,0.284,0.00
0.71441,-0.824,0.288,0.00
0.72457,-0.824,0.288,0.00
0.73505,-0.826,0.299,0.00
0.74521,-0.825,0.299,0.00
0.75535,-0.825,0.311,0.00
0.76549,-0.824,0.311,0.00
0.77563,-0.824,0.327,0.00
0.78635,-0.824,0.327,0.00
0.79653,-0.827,0.344,0.00
0.80670,-0.827,0.344,0.00
0.81685,-0.831,0.361,0.00
0.82739,-0.831,0.361,0.00
0.83760,-0.836,0.376,0.00
0.84780,-0.836,0.376,0.00
0.85795,-0.842,0.388,0.00
0.86810,-0.847,0.399,0.00
0.87824,-0.847,0.399,0.00
0.88900,-0.854,0.412,0.00
0.89920,-0.854,0.412,0.00
0.91018,-0.864,0.429,0.00
0.92032,-0.864,0.429,0.00
0.93048,-0.874,0.444,0.00
0.94067,-0.874,0.444,0.00
0.95081,-0.886,0.458,0.00
0.96099,-0.886,0.458,0.00
0.97131,-0.893,0.473,0.00
0.98150,-0.893,0.473,0.00
0.99164,-0.900,0.485,0.00
1.00178,-0.900,0.485,0.00
1.01192,-0.913,0.497,0.00
1.02214,-0.913,0.497,0.00
1.03230,-0.931,0.503,0.00
1.04250,-0.931,0.503,0.00
1.05266,-0.948,0.507,0.00
1.06281,-0.948,0.507,0.00
1.07306,-0.948,0.507,0.00
1.08323,-0.953,0.508,0.00
1.09340,-0.950,0.510,0.00
1.10376,-0.950,0.510,0.00
