time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00416,-1.103,0.615,0.00
0.01435,-1.103,0.615,0.00
0.02450,-1.093,0.604,0.00
0.03466,-1.093,0.604,0.00
0.04482,-1.084,0.592,0.00
0.05497,-1.084,0.592,0.00
0.06514,-1.077,0.580,0.00
0.07530,-1.077,0.580,0.00
0.08611,-1.075,0.566,0.00
0.09783,-1.075,0.566,0.00
0.10822,-1.075,0.566,0.00
0.11844,-1.071,0.552,0.00
0.12865,-1.071,0.552,0.00
0.13889,-1.064,0.537,0.00
0.14906,-1.064,0.537,0.00
0.15922,-1.064,0.528,0.00
0.16944,-1.046,0.515,0.00
0.17961,-1.046,0.515,0.00
0.19088,-1.038,0.504,0.00
0.20201,-1.038,0.504,0.00
0.21254,-1.039,0.500,0.00
0.22285,-1.039,0.500,0.00
0.23302,-1.037,0.490,0.00
0.24318,-1.030,0.482,0.00
0.25344,-1.030,0.482,0.00
0.26359,-1.030,0.478,0.00
0.27474,-1.023,0.478,0.00
0.28511,-1.019,0.478,0.00
0.29555,-1.019,0.478,0.00
0.30816,-1.018,0.478,0.00
0.31834,-1.018,0.483,0.00
0.32891,-1.018,0.483,0.00
0.33922,-1.022,0.490,0.00
0.34939,-1.023,0.498,0.00
0.36015,-1.023,0.498,0.00
0.37032,-1.026,0.505,0.00
0.38073,-1.026,0.505,0.00
0.39089,-1.026,0.510,0.00
0.40116,-1.026,0.510,0.00
0.41133,-1.028,0.513,0.00
0.42149,-1.029,0.516,0.00
0.43171,-1.029,0.516,0.00
0.44213,-1.025,0.523,0.00
0.45229,-1.025,0.523,0.00
0.46257,-1.025,0.523,0.00
0.47279,-1.023,0.525,0.00
0.48295,-1.017,0.528,0.00
0.49313,-1.017,0.528,0.00
0.50329,-1.014,0.531,0.00
0.51345,-1.014,0.531,0.00
0.52360,-1.008,0.534,0.00
0.53389,-1.008,0.534,0.00
0.54429,-1.001,0.536,0.00
0.55470,-1.001,0.536,0.00
0.56501,-1.001,0.537,0.00
0.57519,-0.995,0.537,0.00
0.58576,-0.986,0.538,0.00
0.59614,-0.986,0.538,0.00
0.60650,-0.976,0.538,0.00
0.61668,-0.976,0.538,0.00
0.62695,-0.967,0.534,0.00
0.63738,-0.967,0.534,0.00
0.64842,-0.960,0.527,0.00
0.65875,-0.960,0.527,0.00
0.66900,-0.956,0.524,0.00
0.67931,-0.956,0.524,0.00
0.68941,-0.948,0.522,0.00
0.69994,-0.948,0.522,0.00
0.71009,-0.940,0.520,0.00
0.72037,-0.940,0.520,0.00
0.73053,-0.938,0.520,0.00
0.74069,-0.938,0.520,0.00
0.75144,-0.944,0.520,0.00
0.76175,-0.944,0.519,0.00
0.77198,-0.948,0.519,0.00
0.78230,-0.948,0.519,0.00
0.79246,-0.942,0.518,0.00
0.80262,-0.942,0.515,0.00
0.81312,-0.937,0.515,0.00
0.82326,-0.937,0.514,0.00
0.83344,-0.934,0.514,0.00
0.84362,-0.934,0.514,0.00
0.85460,-0.935,0.513,0.00
0.86478,-0.935,0.513,0.00
0.87494,-0.947,0.510,0.00
0.88515,-0.947,0.510,0.00
0.89533,-0.962,0.510,0.00
0.90551,-0.971,0.511,0.00
0.91567,-0.971,0.511,0.00
0.92753,-0.984,0.515,0.00
0.94100,-0.984,0.516,0.00
0.95115,-0.999,0.516,0.00
0.96131,-1.010,0.516,0.00
0.97150,-1.010,0.519,0.00
0.98433,-1.024,0.523,0.00
0.99451,-1.024,0.523,0.00
1.00467,-1.045,0.525,0.00
1.01483,-1.045,0.525,0.00
1.02500,-1.045,0.525,0.00
1.03517,-1.045,0.525,0.00
1.04534,-1.045,0.525,0.00
1.05549,-1.061,0.522,0.00
1.06569,-1.077,0.521,0.00
1.07594,-1.091,0.521,0.00
1.08609,-1.107,0.524,0.00
1.09637,-1.107,0.524,0.00
1.10665,-1.123,0.527,0.00
1.11699,-1.123,0.527,0.00
1.12727,-1.141,0.531,0.00
1.13742,-1.141,0.531,0.00
1.14758,-1.159,0.531,0.00
1.15834,-1.159,0.533,0.00
1.16855,-1.172,0.531,0.00
1.17890,-1.172,0.531,0.00
1.18911,-1.187,0.531,0.00
1.19945,-1.187,0.531,0.00
1.20988,-1.197,0.532,0.00
1.22003,-1.197,0.532,0.00
1.23019,-1.207,0.532,0.00
1.24034,-1.207,0.532,0.00
1.25049,-1.214,0.536,0.00
1.26075,-1.214,0.536,0.00
1.27084,-1.218,0.534,0.00
1.28099,-1.218,0.534,0.00
1.29113,-1.222,0.538,0.00
1.30125,-1.222,0.538,0.00
1.31166,-1.225,0.540,0.00
1.32250,-1.225,0.540,0.00
1.33265,-1.232,0.543,0.00
1.34285,-1.232,0.543,0.00
1.35301,-1.236,0.545,0.00
1.36317,-1.238,0.548,0.00
1.37333,-1.238,0.548,0.00
1.38349,-1.234,0.550,0.00
1.39367,-1.234,0.550,0.00
1.40384,-1.226,0.550,0.00
1.41399,-1.226,0.550,0.00
1.42418,-1.216,0.546,0.00
1.43504,-1.216,0.546,0.00
1.44528,-1.208,0.540,0.00
1.45549,-1.208,0.540,0.00
1.46627,-1.201,0.537,0.00
1.47650,-1.201,0.537,0.00
1.48666,-1.186,0.533,0.00
1.49682,-1.186,0.533,0.00
1.50721,-1.177,0.529,0.00
1.51905,-1.177,0.526,0.00
1.52930,-1.169,0.526,0.00
1.54084,-1.169,0.526,0.00
1.55100,-1.162,0.522,0.00
1.56133,-1.162,0.517,0.00
1.57149,-1.146,0.517,0.00
1.58179,-1.146,0.508,0.00
1.59195,-1.126,0.508,0.00
1.60263,-1.126,0.508,0.00
1.61278,-1.110,0.500,0.00
1.62331,-1.100,0.493,0.00
1.63346,-1.100,0.493,0.00
1.64362,-1.097,0.486,0.00
1.65378,-1.097,0.486,0.00
1.66394,-1.098,0.482,0.00
1.67426,-1.098,0.482,0.00
1.68442,-1.098,0.482,0.00
1.69470,-1.098,0.480,0.00
1.70486,-1.096,0.478,0.00
1.71503,-1.096,0.478,0.00
1.72524,-1.093,0.478,0.00
1.73546,-1.093,0.478,0.00
1.74610,-1.093,0.475,0.00
1.75626,-1.093,0.475,0.00
1.76642,-1.092,0.474,0.00
1.77772,-1.092,0.474,0.00
1.78767,-1.099,0.478,0.00
1.79785,-1.099,0.478,0.00
1.80800,-1.102,0.476,0.00
1.81846,-1.103,0.476,0.00
1.82862,-1.103,0.480,0.00
1.83877,-1.103,0.480,0.00
1.84895,-1.102,0.484,0.00
1.85910,-1.102,0.484,0.00
1.86932,-1.102,0.492,0.00
1.87954,-1.099,0.502,0.00
1.89005,-1.093,0.502,0.00
1.90021,-1.093,0.502,0.00
1.91037,-1.089,0.514,0.00
1.92090,-1.089,0.525,0.00
1.93133,-1.084,0.525,0.00
1.94264,-1.084,0.525,0.00
1.95279,-1.077,0.532,0.00
1.96443,-1.077,0.532,0.00
1.97459,-1.064,0.541,0.00
1.98531,-1.049,0.551,0.00
1.99547,-1.049,0.551,0.00
2.00641,-1.031,0.563,0.00
2.01659,-1.031,0.563,0.00
2.02674,-1.011,0.574,0.00
2.03691,-1.011,0.574,0.00
2.04717,-0.987,0.582,0.00
2.05732,-0.987,0.582,0.00
2.06757,-0.963,0.593,0.00
2.07788,-0.963,0.593,0.00
2.08804,-0.939,0.602,0.00
2.09846,-0.939,0.602,0.00
2.10861,-0.910,0.602,0.00
2.11880,-0.910,0.609,0.00
2.12896,-0.881,0.615,0.00
2.13912,-0.881,0.615,0.00
2.14927,-0.855,0.615,0.00
2.15942,-0.855,0.620,0.00
2.16983,-0.826,0.624,0.00
2.17999,-0.798,0.624,0.00
2.19015,-0.798,0.625,0.00
2.20033,-0.771,0.625,0.00
2.21062,-0.771,0.625,0.00
2.22109,-0.771,0.625,0.00
