time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00357,-1.713,1.000,0.00
0.01379,-1.713,1.000,0.00
0.02403,-1.713,1.000,0.00
0.03416,-1.700,1.042,0.00
0.04558,-1.700,1.042,0.00
0.05575,-1.700,1.042,0.00
0.06592,-1.700,1.042,0.00
0.07607,-1.700,1.042,0.00
0.08712,-1.700,1.042,0.00
0.09727,-1.700,1.042,0.00
0.10840,-1.700,1.042,0.00
0.11856,-1.700,1.042,0.00
0.12873,-1.700,1.042,0.00
0.14049,-1.700,1.042,0.00
0.15065,-1.673,1.059,0.00
0.16134,-1.658,1.076,0.00
0.17155,-1.658,1.076,0.00
0.18252,-1.627,1.092,0.00
0.19304,-1.627,1.148,0.00
0.20434,-1.627,1.179,0.00
0.21465,-1.592,1.225,0.00
0.22616,-1.571,1.232,0.00
0.23645,-1.571,1.232,0.00
0.24661,-1.554,1.232,0.00
0.25677,-1.554,1.232,0.00
0.26694,-1.541,1.232,0.00
0.27711,-1.541,1.233,0.00
0.28726,-1.534,1.233,0.00
0.29741,-1.534,1.233,0.00
0.30789,-1.523,1.234,0.00
0.31820,-1.507,1.237,0.00
0.32913,-1.507,1.237,0.00
0.34039,-1.507,1.242,0.00
0.35072,-1.485,1.242,0.00
0.36120,-1.485,1.242,0.00
0.37204,-1.462,1.241,0.00
0.38227,-1.439,1.237,0.00
0.39241,-1.439,1.237,0.00
0.40261,-1.439,1.237,0.00
0.41303,-1.419,1.232,0.00
0.42354,-1.419,1.232,0.00
0.43381,-1.389,1.223,0.00
0.44417,-1.357,1.211,0.00
0.45432,-1.357,1.211,0.00
0.46472,-1.357,1.211,0.00
0.47487,-1.330,1.211,0.00
0.48636,-1.303,1.185,0.00
0.49742,-1.303,1.185,0.00
0.50757,-1.281,1.174,0.00
0.51940,-1.281,1.164,0.00
0.52958,-1.263,1.164,0.00
0.54019,-1.263,1.164,0.00
0.55020,-1.254,1.151,0.00
0.56036,-1.249,1.151,0.00
0.57052,-1.249,1.136,0.00
0.58069,-1.249,1.122,0.00
0.59094,-1.247,1.122,0.00
0.60352,-1.247,1.122,0.00
0.61387,-1.246,1.107,0.00
0.62413,-1.249,1.090,0.00
0.63577,-1.249,1.090,0.00
0.64589,-1.252,1.069,0.00
0.65648,-1.252,1.069,0.00
0.66662,-1.251,1.049,0.00
0.67761,-1.251,1.049,0.00
0.68777,-1.252,1.026,0.00
0.69792,-1.252,1.007,0.00
0.70806,-1.255,1.007,0.00
0.71837,-1.255,1.007,0.00
0.72852,-1.253,0.988,0.00
0.73983,-1.253,0.988,0.00
0.75001,-1.258,0.970,0.00
0.76015,-1.258,0.970,0.00
0.77067,-1.267,0.954,0.00
0.78093,-1.267,0.945,0.00
0.79108,-1.281,0.945,0.00
0.80125,-1.281,0.940,0.00
0.81139,-1.294,0.940,0.00
0.82154,-1.308,0.939,0.00
0.83168,-1.308,0.939,0.00
0.84183,-1.308,0.939,0.00
0.85295,-1.326,0.941,0.00
0.86310,-1.326,0.945,0.00
