time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00304,-0.836,0.705,0.00
0.01440,-0.836,0.705,0.00
0.02473,-0.811,0.701,0.00
0.03514,-0.792,0.694,0.00
0.04531,-0.792,0.694,0.00
0.05568,-0.792,0.694,0.00
0.06598,-0.792,0.694,0.00
0.07653,-0.792,0.684,0.00
0.08671,-0.735,0.673,0.00
0.09691,-0.735,0.673,0.00
0.10739,-0.696,0.659,0.00
0.11756,-0.653,0.643,0.00
0.12792,-0.653,0.643,0.00
0.13890,-0.619,0.632,0.00
0.14930,-0.606,0.617,0.00
0.15976,-0.606,0.617,0.00
0.16993,-0.606,0.617,0.00
0.18010,-0.591,0.608,0.00
0.19025,-0.591,0.596,0.00
0.20044,-0.576,0.596,0.00
0.21061,-0.576,0.596,0.00
0.22078,-0.565,0.591,0.00
0.23101,-0.565,0.591,0.00
0.24118,-0.548,0.588,0.00
0.25160,-0.548,0.588,0.00
0.26177,-0.548,0.588,0.00
0.27217,-0.524,0.586,0.00
0.28234,-0.504,0.587,0.00
0.29267,-0.504,0.587,0.00
0.30309,-0.492,0.585,0.00
0.31326,-0.490,0.585,0.00
0.32350,-0.490,0.585,0.00
0.33368,-0.490,0.585,0.00
0.34389,-0.486,0.585,0.00
0.35424,-0.476,0.594,0.00
0.36458,-0.476,0.594,0.00
0.37499,-0.476,0.594,0.00
0.38517,-0.464,0.598,0.00
0.39552,-0.464,0.598,0.00
0.40569,-0.452,0.609,0.00
0.41585,-0.444,0.621,0.00
0.42602,-0.444,0.621,0.00
0.43618,-0.442,0.633,0.00
0.44636,-0.442,0.633,0.00
0.45658,-0.429,0.647,0.00
0.46756,-0.429,0.647,0.00
0.47802,-0.394,0.662,0.00
0.48861,-0.394,0.662,0.00
0.49896,-0.382,0.676,0.00
0.51009,-0.382,0.676,0.00
0.52026,-0.379,0.689,0.00
0.53061,-0.379,0.689,0.00
0.54100,-0.364,0.698,0.00
0.55117,-0.364,0.698,0.00
0.56164,-0.364,0.698,0.00
0.57181,-0.335,0.717,0.00
0.58197,-0.335,0.717,0.00
0.59214,-0.335,0.717,0.00
0.60231,-0.322,0.728,0.00
0.61249,-0.322,0.728,0.00
0.62266,-0.315,0.740,0.00
0.63282,-0.315,0.740,0.00
0.64306,-0.319,0.751,0.00
0.65349,-0.319,0.760,0.00
0.66365,-0.307,0.760,0.00
0.67383,-0.289,0.763,0.00
0.68401,-0.289,0.763,0.00
0.69417,-0.257,0.763,0.00
0.70543,-0.257,0.760,0.00
0.71564,-0.237,0.754,0.00
0.72590,-0.237,0.754,0.00
0.73605,-0.241,0.746,0.00
0.74622,-0.241,0.746,0.00
0.75717,-0.246,0.739,0.00
0.76740,-0.246,0.739,0.00
0.77756,-0.246,0.730,0.00
0.78787,-0.239,0.727,0.00
0.79804,-0.231,0.727,0.00
0.80820,-0.220,0.727,0.00
0.81838,-0.220,0.718,0.00
0.82853,-0.222,0.718,0.00
0.83869,-0.222,0.709,0.00
0.84885,-0.225,0.709,0.00
0.85899,-0.225,0.695,0.00
0.86917,-0.228,0.684,0.00
0.87942,-0.228,0.684,0.00
0.88958,-0.225,0.675,0.00
0.89974,-0.225,0.675,0.00
0.90992,-0.225,0.675,0.00
0.92008,-0.215,0.669,0.00
0.93023,-0.187,0.670,0.00
0.94038,-0.187,0.670,0.00
0.95152,-0.162,0.671,0.00
0.96167,-0.162,0.671,0.00
0.97183,-0.148,0.673,0.00
0.98199,-0.148,0.673,0.00
0.99215,-0.135,0.673,0.00
1.00230,-0.135,0.674,0.00
1.01246,-0.130,0.674,0.00
1.02261,-0.130,0.674,0.00
1.03276,-0.121,0.674,0.00
1.04292,-0.121,0.674,0.00
1.05328,-0.111,0.678,0.00
1.06359,-0.111,0.678,0.00
1.07381,-0.112,0.683,0.00
1.08429,-0.112,0.683,0.00
1.09443,-0.131,0.687,0.00
1.10458,-0.131,0.687,0.00
1.11475,-0.142,0.692,0.00
1.12491,-0.142,0.692,0.00
1.13507,-0.138,0.698,0.00
1.14521,-0.138,0.698,0.00
1.15537,-0.140,0.705,0.00
1.16554,-0.140,0.705,0.00
1.17579,-0.158,0.712,0.00
1.18595,-0.158,0.712,0.00
1.19610,-0.173,0.715,0.00
1.20626,-0.173,0.715,0.00
1.21642,-0.188,0.716,0.00
1.22678,-0.203,0.715,0.00
1.23712,-0.203,0.715,0.00
1.24768,-0.203,0.715,0.00
1.25858,-0.217,0.712,0.00
1.26908,-0.230,0.709,0.00
1.27943,-0.230,0.709,0.00
1.28993,-0.237,0.706,0.00
1.30019,-0.237,0.706,0.00
1.31052,-0.249,0.703,0.00
1.32068,-0.249,0.703,0.00
1.33084,-0.265,0.699,0.00
1.34100,-0.265,0.699,0.00
1.35116,-0.277,0.692,0.00
1.36133,-0.277,0.692,0.00
1.37155,-0.288,0.684,0.00
1.38175,-0.288,0.684,0.00
1.39190,-0.299,0.667,0.00
1.40207,-0.299,0.667,0.00
1.41261,-0.305,0.648,0.00
1.42321,-0.305,0.648,0.00
1.43414,-0.318,0.632,0.00
1.44438,-0.318,0.632,0.00
1.45496,-0.341,0.612,0.00
1.46514,-0.362,0.593,0.00
1.47539,-0.362,0.593,0.00
1.48554,-0.362,0.593,0.00
1.49569,-0.384,0.593,0.00
1.50602,-0.403,0.569,0.00
1.51666,-0.403,0.548,0.00
1.52696,-0.412,0.548,0.00
1.53712,-0.412,0.526,0.00
1.54729,-0.412,0.526,0.00
1.55744,-0.420,0.506,0.00
1.56767,-0.420,0.488,0.00
1.57788,-0.437,0.488,0.00
1.58803,-0.437,0.488,0.00
1.59820,-0.458,0.474,0.00
1.60840,-0.458,0.474,0.00
1.61857,-0.478,0.456,0.00
1.62888,-0.496,0.456,0.00
1.63903,-0.496,0.442,0.00
1.64919,-0.516,0.425,0.00
1.65945,-0.516,0.425,0.00
1.67036,-0.525,0.409,0.00
1.68052,-0.525,0.409,0.00
1.69068,-0.530,0.398,0.00
1.70084,-0.530,0.398,0.00
1.71110,-0.544,0.393,0.00
1.72125,-0.544,0.393,0.00
1.73225,-0.557,0.390,0.00
1.74241,-0.557,0.390,0.00
1.75258,-0.564,0.392,0.00
1.76274,-0.564,0.392,0.00
1.77295,-0.555,0.396,0.00
1.78313,-0.555,0.396,0.00
