time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00201,-1.769,2.574,0.00
0.01219,-1.760,2.539,0.00
0.02236,-1.741,2.505,0.00
0.03257,-1.741,2.505,0.00
0.04273,-1.723,2.472,0.00
0.05290,-1.723,2.472,0.00
0.06306,-1.715,2.441,0.00
0.07321,-1.715,2.441,0.00
0.08339,-1.705,2.406,0.00
0.09376,-1.705,2.406,0.00
0.10391,-1.705,2.406,0.00
0.11407,-1.689,2.369,0.00
0.12425,-1.665,2.336,0.00
0.13512,-1.665,2.307,0.00
0.14572,-1.635,2.307,0.00
0.15604,-1.625,2.283,0.00
0.16636,-1.625,2.283,0.00
0.17675,-1.620,2.264,0.00
0.18709,-1.620,2.264,0.00
0.19724,-1.620,2.264,0.00
0.20744,-1.624,2.250,0.00
0.21777,-1.629,2.250,0.00
0.22834,-1.629,2.238,0.00
0.23862,-1.629,2.238,0.00
0.24899,-1.640,2.228,0.00
0.25916,-1.640,2.228,0.00
0.26953,-1.653,2.216,0.00
0.27968,-1.653,2.210,0.00
0.28982,-1.665,2.210,0.00
0.29998,-1.665,2.210,0.00
0.31013,-1.674,2.204,0.00
0.32030,-1.684,2.201,0.00
0.33073,-1.684,2.201,0.00
0.34175,-1.684,2.201,0.00
0.35193,-1.685,2.206,0.00
0.36210,-1.669,2.210,0.00
0.37225,-1.669,2.210,0.00
0.38246,-1.664,2.215,0.00
0.39264,-1.664,2.215,0.00
0.40280,-1.659,2.209,0.00
0.41424,-1.659,2.209,0.00
0.42441,-1.668,2.197,0.00
0.43540,-1.668,2.197,0.00
0.44560,-1.696,2.182,0.00
0.45620,-1.724,2.182,0.00
0.46635,-1.724,2.168,0.00
0.47651,-1.724,2.168,0.00
0.48669,-1.765,2.157,0.00
0.49684,-1.765,2.157,0.00
0.50816,-1.802,2.144,0.00
0.51832,-1.802,2.127,0.00
0.52849,-1.833,2.127,0.00
0.53865,-1.833,2.127,0.00
0.54917,-1.856,2.108,0.00
0.56065,-1.880,2.096,0.00
0.57082,-1.880,2.096,0.00
0.58117,-1.887,2.096,0.00
0.59184,-1.887,2.079,0.00
0.60192,-1.896,2.079,0.00
0.61403,-1.896,2.058,0.00
0.62416,-1.916,2.038,0.00
0.63481,-1.943,2.038,0.00
0.64556,-1.943,2.010,0.00
0.65620,-1.958,2.010,0.00
0.66636,-1.958,1.977,0.00
0.67746,-1.958,1.977,0.00
0.68763,-1.971,1.941,0.00
0.69778,-1.971,1.904,0.00
0.70793,-1.986,1.904,0.00
0.72071,-1.986,1.904,0.00
0.73096,-2.006,1.873,0.00
0.74124,-2.030,1.850,0.00
0.75153,-2.030,1.850,0.00
0.76168,-2.049,1.825,0.00
0.77190,-2.049,1.825,0.00
0.78205,-2.049,1.810,0.00
0.79221,-2.068,1.810,0.00
0.80249,-2.081,1.795,0.00
0.81279,-2.081,1.795,0.00
0.82294,-2.095,1.784,0.00
0.83318,-2.095,1.784,0.00
0.84341,-2.124,1.774,0.00
0.85457,-2.124,1.774,0.00
0.86480,-2.120,1.763,0.00
0.87512,-2.120,1.763,0.00
0.88513,-2.084,1.754,0.00
0.89559,-2.084,1.754,0.00
0.90572,-2.052,1.752,0.00
0.91598,-2.052,1.752,0.00
0.92613,-2.025,1.753,0.00
0.93802,-2.025,1.753,0.00
0.94821,-1.992,1.760,0.00
0.95904,-1.992,1.760,0.00
0.96918,-1.959,1.771,0.00
0.97958,-1.952,1.785,0.00
0.98995,-1.952,1.785,0.00
1.00012,-1.952,1.785,0.00
1.01108,-1.950,1.803,0.00
1.02123,-1.950,1.803,0.00
1.03148,-1.933,1.822,0.00
1.04172,-1.903,1.843,0.00
1.05188,-1.903,1.843,0.00
1.06225,-1.877,1.866,0.00
1.07253,-1.877,1.866,0.00
1.08270,-1.843,1.893,0.00
1.09295,-1.843,1.893,0.00
1.10312,-1.813,1.922,0.00
1.11328,-1.813,1.922,0.00
1.12345,-1.796,1.952,0.00
1.13360,-1.796,1.952,0.00
1.14380,-1.792,1.978,0.00
1.15395,-1.792,1.978,0.00
1.16473,-1.783,1.994,0.00
1.17509,-1.783,2.009,0.00
1.18526,-1.768,2.009,0.00
1.19720,-1.768,2.009,0.00
1.20738,-1.765,2.028,0.00
1.21770,-1.765,2.028,0.00
1.22786,-1.773,2.028,0.00
1.23800,-1.773,2.049,0.00
1.24815,-1.783,2.077,0.00
1.25848,-1.783,2.077,0.00
1.26864,-1.791,2.100,0.00
1.27951,-1.791,2.100,0.00
1.28969,-1.787,2.114,0.00
1.29989,-1.767,2.120,0.00
1.31004,-1.767,2.120,0.00
1.32021,-1.767,2.120,0.00
1.33036,-1.748,2.118,0.00
1.34053,-1.751,2.108,0.00
1.35070,-1.751,2.108,0.00
