time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.01532,-1.674,4.193,0.00
0.02549,-1.674,4.193,0.00
0.03647,-1.679,4.177,0.00
0.04666,-1.679,4.177,0.00
0.05682,-1.682,4.160,0.00
0.06700,-1.682,4.160,0.00
0.07720,-1.682,4.136,0.00
0.08740,-1.682,4.136,0.00
0.09769,-1.679,4.136,0.00
0.10785,-1.676,4.112,0.00
0.11825,-1.676,4.091,0.00
0.12856,-1.676,4.070,0.00
0.13874,-1.674,4.070,0.00
0.15274,-1.674,4.047,0.00
0.16352,-1.676,4.047,0.00
0.17369,-1.676,4.028,0.00
0.18388,-1.676,4.028,0.00
0.19424,-1.675,4.011,0.00
0.20464,-1.672,3.994,0.00
0.21487,-1.672,3.994,0.00
0.22580,-1.672,3.994,0.00
0.23601,-1.669,3.975,0.00
0.24618,-1.661,3.954,0.00
0.25634,-1.661,3.954,0.00
0.26650,-1.661,3.954,0.00
0.27673,-1.661,3.954,0.00
0.28690,-1.658,3.919,0.00
0.29707,-1.658,3.919,0.00
0.30724,-1.658,3.919,0.00
0.31749,-1.667,3.896,0.00
0.32883,-1.672,3.878,0.00
0.33900,-1.672,3.878,0.00
0.34929,-1.672,3.878,0.00
0.35989,-1.662,3.861,0.00
0.37022,-1.662,3.861,0.00
0.38034,-1.651,3.844,0.00
0.39173,-1.648,3.824,0.00
0.40240,-1.648,3.824,0.00
0.41260,-1.652,3.805,0.00
0.42277,-1.652,3.805,0.00
0.43531,-1.652,3.805,0.00
0.44550,-1.664,3.787,0.00
0.45832,-1.664,3.787,0.00
0.46860,-1.676,3.769,0.00
0.48060,-1.685,3.755,0.00
0.49017,-1.694,3.746,0.00
0.50150,-1.694,3.738,0.00
0.51167,-1.705,3.738,0.00
0.52183,-1.714,3.733,0.00
0.53201,-1.714,3.733,0.00
0.54217,-1.714,3.733,0.00
0.55330,-1.714,3.733,0.00
0.56347,-1.735,3.729,0.00
0.57365,-1.735,3.729,0.00
0.58406,-1.763,3.730,0.00
0.59433,-1.788,3.730,0.00
0.60451,-1.815,3.734,0.00
0.61467,-1.815,3.741,0.00
0.62778,-1.839,3.757,0.00
0.63798,-1.839,3.757,0.00
0.64813,-1.862,3.772,0.00
0.65835,-1.862,3.772,0.00
0.66868,-1.885,3.793,0.00
0.67884,-1.885,3.793,0.00
0.68934,-1.885,3.793,0.00
0.70018,-1.908,3.816,0.00
0.71314,-1.932,3.843,0.00
0.72408,-1.932,3.843,0.00
0.73423,-1.955,3.876,0.00
0.74484,-1.973,3.911,0.00
0.75500,-1.973,3.911,0.00
0.76516,-1.987,3.943,0.00
0.77532,-1.987,3.943,0.00
0.78567,-1.993,3.973,0.00
0.79601,-1.993,3.973,0.00
0.80790,-1.993,3.973,0.00
0.81809,-1.997,4.004,0.00
0.82825,-2.002,4.029,0.00
0.84064,-2.002,4.029,0.00
0.85087,-2.007,4.058,0.00
0.86118,-2.014,4.083,0.00
0.87134,-2.014,4.083,0.00
0.88164,-2.014,4.083,0.00
0.89196,-2.014,4.100,0.00
0.90212,-2.021,4.120,0.00
0.91228,-2.030,4.120,0.00
0.92271,-2.030,4.120,0.00
0.93287,-2.036,4.135,0.00
0.94303,-2.041,4.149,0.00
0.95333,-2.041,4.149,0.00
0.96373,-2.042,4.158,0.00
0.97406,-2.042,4.158,0.00
0.98423,-2.044,4.165,0.00
0.99452,-2.044,4.165,0.00
1.00481,-2.044,4.165,0.00
1.01500,-2.048,4.171,0.00
1.02516,-2.051,4.171,0.00
1.03533,-2.051,4.173,0.00
1.04549,-2.051,4.173,0.00
1.05566,-2.051,4.172,0.00
1.06581,-2.054,4.171,0.00
1.07596,-2.054,4.171,0.00
1.08611,-2.054,4.171,0.00
1.09666,-2.060,4.167,0.00
1.10682,-2.075,4.161,0.00
1.11698,-2.075,4.161,0.00
1.12713,-2.073,4.153,0.00
1.13750,-2.073,4.153,0.00
1.14791,-2.057,4.147,0.00
1.15806,-2.057,4.147,0.00
1.16822,-2.041,4.142,0.00
1.17848,-2.041,4.138,0.00
1.18886,-2.029,4.138,0.00
1.20093,-2.029,4.138,0.00
1.21111,-2.021,4.131,0.00
1.22126,-2.020,4.126,0.00
1.23153,-2.020,4.126,0.00
1.24174,-2.020,4.126,0.00
1.25195,-2.023,4.124,0.00
1.26210,-2.023,4.124,0.00
1.27226,-2.021,4.119,0.00
1.28339,-2.021,4.119,0.00
1.29365,-2.017,4.115,0.00
1.30387,-2.013,4.115,0.00
1.31402,-2.013,4.115,0.00
1.32418,-2.010,4.115,0.00
1.33434,-2.010,4.115,0.00
1.34467,-2.020,4.115,0.00
1.35501,-2.020,4.120,0.00
1.36530,-2.027,4.115,0.00
1.37629,-2.027,4.115,0.00
1.38648,-2.031,4.113,0.00
1.39665,-2.031,4.113,0.00
1.40708,-2.031,4.113,0.00
1.41855,-2.034,4.108,0.00
1.42897,-2.036,4.108,0.00
1.43911,-2.039,4.110,0.00
1.44949,-2.039,4.110,0.00
1.45982,-2.039,4.110,0.00
1.46998,-2.039,4.111,0.00
1.48144,-2.049,4.111,0.00
1.49180,-2.066,4.114,0.00
1.50195,-2.066,4.114,0.00
1.51213,-2.082,4.123,0.00
1.52247,-2.095,4.134,0.00
1.53296,-2.095,4.134,0.00
1.54314,-2.095,4.134,0.00
1.55329,-2.104,4.147,0.00
1.56345,-2.113,4.159,0.00
1.57361,-2.113,4.159,0.00
1.58378,-2.120,4.171,0.00
1.59398,-2.120,4.171,0.00
1.60419,-2.120,4.171,0.00
1.61436,-2.129,4.182,0.00
1.62453,-2.137,4.192,0.00
1.63469,-2.137,4.192,0.00
1.64544,-2.145,4.199,0.00
1.65560,-2.145,4.199,0.00
1.66575,-2.145,4.199,0.00
1.67590,-2.156,4.206,0.00
1.68606,-2.165,4.216,0.00
1.69653,-2.165,4.216,0.00
1.70669,-2.175,4.233,0.00
1.71685,-2.175,4.233,0.00
1.72705,-2.182,4.246,0.00
1.73888,-2.182,4.246,0.00
1.74952,-2.188,4.262,0.00
1.75968,-2.193,4.279,0.00
1.76983,-2.193,4.279,0.00
1.78010,-2.193,4.279,0.00
1.79056,-2.194,4.294,0.00
1.80073,-2.194,4.294,0.00
1.81089,-2.188,4.301,0.00
1.82125,-2.188,4.301,0.00
1.83169,-2.184,4.305,0.00
1.84184,-2.186,4.310,0.00
1.85200,-2.186,4.310,0.00
1.86228,-2.186,4.310,0.00
1.87257,-2.191,4.313,0.00
1.88272,-2.180,4.314,0.00
1.89288,-2.180,4.314,0.00
1.90304,-2.159,4.311,0.00
1.91320,-2.159,4.311,0.00
1.92336,-2.139,4.308,0.00
1.93352,-2.139,4.308,0.00
1.94377,-2.123,4.312,0.00
1.95393,-2.123,4.312,0.00
1.96409,-2.118,4.316,0.00
1.97423,-2.118,4.316,0.00
1.98447,-2.123,4.320,0.00
1.99472,-2.123,4.320,0.00
2.00489,-2.125,4.318,0.00
2.01504,-2.125,4.318,0.00
2.02522,-2.114,4.308,0.00
2.03561,-2.114,4.308,0.00
2.04577,-2.097,4.310,0.00
2.05610,-2.097,4.310,0.00
2.06627,-2.080,4.311,0.00
2.07645,-2.080,4.311,0.00
2.08661,-2.077,4.311,0.00
2.09687,-2.077,4.313,0.00
2.10775,-2.082,4.320,0.00
2.11816,-2.082,4.320,0.00
2.12833,-2.089,4.316,0.00
2.13860,-2.095,4.316,0.00
2.14876,-2.095,4.308,0.00
2.15906,-2.095,4.308,0.00
2.16924,-2.097,4.301,0.00
2.17955,-2.097,4.301,0.00
2.19007,-2.095,4.286,0.00
2.20068,-2.095,4.286,0.00
2.21084,-2.091,4.274,0.00
2.22100,-2.091,4.274,0.00
2.23127,-2.089,4.257,0.00
2.24145,-2.089,4.257,0.00
2.25189,-2.086,4.236,0.00
2.26205,-2.086,4.218,0.00
2.27260,-2.086,4.218,0.00
2.28279,-2.086,4.218,0.00
2.29306,-2.086,4.208,0.00
2.30322,-2.083,4.204,0.00
2.31338,-2.083,4.204,0.00
2.32386,-2.083,4.204,0.00
2.33428,-2.075,4.203,0.00
2.34444,-2.075,4.203,0.00
2.35458,-2.060,4.200,0.00
2.36473,-2.060,4.200,0.00
2.37491,-2.048,4.199,0.00
2.38507,-2.044,4.203,0.00
2.39522,-2.044,4.203,0.00
2.40538,-2.047,4.201,0.00
2.41554,-2.047,4.201,0.00
2.42585,-2.047,4.201,0.00
2.43631,-2.051,4.190,0.00
2.44669,-2.052,4.184,0.00
2.45684,-2.052,4.184,0.00
2.46701,-2.052,4.184,0.00
2.47717,-2.052,4.184,0.00
2.48733,-2.032,4.186,0.00
2.49765,-2.032,4.186,0.00
2.50801,-2.020,4.189,0.00
2.51818,-2.020,4.189,0.00
2.52834,-2.012,4.197,0.00
2.53850,-2.012,4.197,0.00
