time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00202,-0.880,0.150,0.00
0.01221,-0.880,0.150,0.00
0.02240,-0.854,0.174,0.00
0.03274,-0.854,0.174,0.00
0.04290,-0.819,0.198,0.00
0.05359,-0.819,0.198,0.00
0.06376,-0.779,0.215,0.00
0.07410,-0.740,0.233,0.00
0.08465,-0.740,0.233,0.00
0.09499,-0.704,0.255,0.00
0.10532,-0.704,0.255,0.00
0.11568,-0.669,0.282,0.00
0.12599,-0.669,0.282,0.00
0.13727,-0.669,0.282,0.00
0.14744,-0.634,0.322,0.00
0.15762,-0.602,0.378,0.00
0.16776,-0.602,0.378,0.00
0.17794,-0.602,0.378,0.00
0.18823,-0.572,0.459,0.00
0.19959,-0.542,0.459,0.00
0.21027,-0.542,0.526,0.00
0.22138,-0.519,0.584,0.00
0.23217,-0.519,0.584,0.00
0.24235,-0.498,0.629,0.00
0.25251,-0.482,0.668,0.00
0.26267,-0.482,0.668,0.00
0.27384,-0.482,0.668,0.00
0.28400,-0.482,0.668,0.00
0.29423,-0.476,0.705,0.00
0.30454,-0.474,0.738,0.00
0.31575,-0.474,0.738,0.00
0.32604,-0.473,0.772,0.00
0.33648,-0.479,0.806,0.00
0.34810,-0.479,0.806,0.00
0.35853,-0.479,0.822,0.00
0.36906,-0.479,0.822,0.00
0.37942,-0.479,0.822,0.00
0.38974,-0.476,0.822,0.00
0.39996,-0.477,0.840,0.00
0.41008,-0.477,0.840,0.00
0.42024,-0.484,0.841,0.00
0.43039,-0.484,0.841,0.00
0.44055,-0.499,0.844,0.00
0.45224,-0.499,0.844,0.00
0.46269,-0.514,0.846,0.00
0.47380,-0.514,0.846,0.00
0.48398,-0.529,0.850,0.00
0.49415,-0.529,0.850,0.00
0.50480,-0.547,0.850,0.00
0.51615,-0.547,0.850,0.00
0.52647,-0.561,0.849,0.00
0.53672,-0.569,0.843,0.00
0.54703,-0.569,0.843,0.00
0.55739,-0.571,0.831,0.00
0.56894,-0.571,0.831,0.00
0.57911,-0.571,0.816,0.00
0.59046,-0.571,0.816,0.00
0.60064,-0.571,0.816,0.00
0.61090,-0.574,0.802,0.00
0.62105,-0.585,0.797,0.00
0.63331,-0.585,0.797,0.00
0.64348,-0.601,0.793,0.00
0.65362,-0.601,0.792,0.00
0.66376,-0.617,0.792,0.00
0.67396,-0.617,0.797,0.00
0.68411,-0.635,0.797,0.00
0.69553,-0.635,0.797,0.00
0.70600,-0.645,0.807,0.00
0.71616,-0.647,0.821,0.00
0.72637,-0.647,0.821,0.00
0.73656,-0.644,0.821,0.00
0.74811,-0.644,0.837,0.00
0.75827,-0.647,0.855,0.00
0.76990,-0.647,0.855,0.00
0.78044,-0.648,0.874,0.00
0.79057,-0.648,0.874,0.00
0.80074,-0.648,0.896,0.00
0.81089,-0.639,0.896,0.00
0.82104,-0.628,0.919,0.00
0.83119,-0.628,0.919,0.00
0.84134,-0.618,0.938,0.00
0.85153,-0.618,0.938,0.00
0.86176,-0.610,0.957,0.00
0.87250,-0.610,0.957,0.00
0.88279,-0.610,0.974,0.00
0.89294,-0.611,0.974,0.00
0.90308,-0.611,0.988,0.00
0.91323,-0.611,0.988,0.00
0.92338,-0.608,0.988,0.00
0.93353,-0.606,0.999,0.00
0.94366,-0.606,1.011,0.00
0.95384,-0.606,1.011,0.00
0.96394,-0.602,1.017,0.00
0.97409,-0.602,1.017,0.00
0.98422,-0.595,1.018,0.00
0.99449,-0.595,1.022,0.00
1.00463,-0.589,1.022,0.00
1.01482,-0.589,1.022,0.00
1.02498,-0.592,1.018,0.00
1.03518,-0.592,1.018,0.00
1.04532,-0.597,1.011,0.00
1.05547,-0.597,1.005,0.00
1.06560,-0.601,1.005,0.00
1.07573,-0.604,1.005,0.00
1.08597,-0.604,0.999,0.00
1.09619,-0.604,0.999,0.00
1.10644,-0.608,0.995,0.00
1.11660,-0.608,0.995,0.00
1.12681,-0.614,0.997,0.00
1.13697,-0.621,1.003,0.00
1.14719,-0.621,1.003,0.00
1.15734,-0.621,1.003,0.00
1.16812,-0.629,1.008,0.00
1.17827,-0.636,1.010,0.00
1.18846,-0.636,1.010,0.00
1.19859,-0.643,1.008,0.00
1.20875,-0.643,1.008,0.00
1.21890,-0.643,1.004,0.00
1.22904,-0.649,1.004,0.00
1.23919,-0.655,0.998,0.00
1.24933,-0.655,0.998,0.00
1.25965,-0.663,0.986,0.00
1.26981,-0.663,0.986,0.00
1.27996,-0.663,0.986,0.00
1.29012,-0.669,0.978,0.00
