time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.01074,-1.251,9.640,0.00
0.02218,-1.251,9.640,0.00
0.03237,-1.237,9.639,0.00
0.04327,-1.237,9.639,0.00
0.05343,-1.229,9.632,0.00
0.06359,-1.218,9.629,0.00
0.07406,-1.207,9.621,0.00
0.08423,-1.207,9.621,0.00
0.09439,-1.207,9.621,0.00
0.10463,-1.201,9.621,0.00
0.11491,-1.201,9.614,0.00
0.12513,-1.198,9.610,0.00
0.13532,-1.198,9.607,0.00
0.14553,-1.197,9.607,0.00
0.15570,-1.197,9.607,0.00
0.16609,-1.198,9.606,0.00
0.17696,-1.198,9.606,0.00
0.18714,-1.198,9.604,0.00
0.20064,-1.198,9.604,0.00
0.21061,-1.198,9.598,0.00
0.22393,-1.198,9.591,0.00
0.23409,-1.198,9.591,0.00
0.24426,-1.198,9.585,0.00
0.25444,-1.198,9.585,0.00
0.26462,-1.198,9.585,0.00
0.27478,-1.197,9.579,0.00
0.28496,-1.199,9.571,0.00
0.29546,-1.199,9.571,0.00
0.30607,-1.196,9.566,0.00
0.31640,-1.192,9.548,0.00
0.32662,-1.192,9.548,0.00
0.33680,-1.186,9.541,0.00
0.34699,-1.186,9.541,0.00
0.35752,-1.177,9.531,0.00
0.36772,-1.177,9.531,0.00
0.37819,-1.173,9.520,0.00
0.38847,-1.173,9.520,0.00
0.39954,-1.173,9.520,0.00
0.40989,-1.167,9.507,0.00
0.42029,-1.167,9.507,0.00
0.43053,-1.161,9.491,0.00
0.44132,-1.160,9.477,0.00
0.45148,-1.160,9.477,0.00
0.46165,-1.137,9.461,0.00
0.47182,-1.137,9.461,0.00
0.48204,-1.113,9.444,0.00
0.49220,-1.113,9.444,0.00
0.50261,-1.095,9.427,0.00
0.51332,-1.095,9.427,0.00
0.52348,-1.075,9.409,0.00
0.53364,-1.075,9.409,0.00
0.54391,-1.057,9.389,0.00
0.55424,-1.057,9.389,0.00
0.56441,-1.051,9.371,0.00
0.57473,-1.051,9.371,0.00
0.58489,-1.048,9.371,0.00
0.59515,-1.048,9.350,0.00
0.60563,-1.037,9.331,0.00
0.61580,-1.037,9.331,0.00
0.62596,-1.024,9.310,0.00
0.63631,-1.014,9.310,0.00
0.64670,-1.014,9.291,0.00
0.65689,-1.014,9.291,0.00
0.66793,-0.999,9.277,0.00
0.67833,-0.999,9.277,0.00
0.68881,-0.992,9.258,0.00
0.69898,-0.979,9.245,0.00
0.70939,-0.979,9.245,0.00
0.71956,-0.964,9.232,0.00
0.72973,-0.964,9.232,0.00
0.74075,-0.958,9.217,0.00
0.75092,-0.958,9.217,0.00
0.76190,-0.976,9.207,0.00
0.77209,-0.976,9.207,0.00
0.78225,-1.004,9.200,0.00
0.79260,-1.004,9.200,0.00
0.80276,-1.030,9.196,0.00
0.81292,-1.030,9.196,0.00
0.82344,-1.049,9.196,0.00
0.83360,-1.049,9.196,0.00
0.84391,-1.051,9.195,0.00
0.85408,-1.051,9.195,0.00
0.86424,-1.051,9.195,0.00
0.87480,-1.050,9.195,0.00
0.88497,-1.053,9.195,0.00
0.89517,-1.066,9.195,0.00
0.90559,-1.066,9.195,0.00
0.91600,-1.070,9.202,0.00
0.92636,-1.070,9.202,0.00
0.93710,-1.070,9.202,0.00
0.94747,-1.074,9.213,0.00
0.95770,-1.075,9.228,0.00
0.96801,-1.075,9.228,0.00
0.97818,-1.080,9.245,0.00
0.98834,-1.080,9.245,0.00
0.99884,-1.094,9.260,0.00
1.00910,-1.094,9.260,0.00
1.01952,-1.118,9.265,0.00
1.02967,-1.118,9.265,0.00
1.03999,-1.142,9.264,0.00
1.05015,-1.142,9.264,0.00
1.06037,-1.164,9.263,0.00
1.07053,-1.164,9.263,0.00
1.08069,-1.189,9.265,0.00
1.09094,-1.189,9.265,0.00
1.10115,-1.189,9.265,0.00
1.11132,-1.235,9.274,0.00
1.12173,-1.295,9.286,0.00
