time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00222,2.255,-3.315,0.00
0.01242,2.255,-3.315,0.00
0.02259,2.243,-3.351,0.00
0.03286,2.243,-3.351,0.00
0.04314,2.243,-3.385,0.00
0.05358,2.244,-3.385,0.00
0.06375,2.259,-3.418,0.00
0.07438,2.259,-3.418,0.00
0.08472,2.282,-3.446,0.00
0.09490,2.282,-3.446,0.00
0.10517,2.301,-3.474,0.00
0.11533,2.301,-3.474,0.00
0.12549,2.310,-3.495,0.00
0.13567,2.310,-3.495,0.00
0.14584,2.318,-3.508,0.00
0.15599,2.318,-3.508,0.00
0.16705,2.318,-3.508,0.00
0.17720,2.327,-3.521,0.00
0.18736,2.335,-3.525,0.00
0.19754,2.339,-3.528,0.00
0.20794,2.339,-3.528,0.00
0.21815,2.339,-3.521,0.00
0.22832,2.346,-3.521,0.00
0.23848,2.346,-3.518,0.00
0.24906,2.353,-3.518,0.00
0.25934,2.353,-3.511,0.00
0.26969,2.353,-3.511,0.00
0.27985,2.353,-3.511,0.00
0.29008,2.355,-3.500,0.00
0.30024,2.355,-3.500,0.00
0.31040,2.359,-3.493,0.00
0.32057,2.359,-3.493,0.00
0.33074,2.373,-3.490,0.00
0.34099,2.397,-3.483,0.00
0.35115,2.397,-3.483,0.00
0.36131,2.427,-3.485,0.00
0.37149,2.427,-3.485,0.00
0.38164,2.458,-3.474,0.00
0.39181,2.458,-3.474,0.00
0.40197,2.473,-3.477,0.00
0.41214,2.473,-3.477,0.00
0.42231,2.473,-3.477,0.00
0.43252,2.468,-3.479,0.00
0.44269,2.439,-3.470,0.00
0.45285,2.439,-3.470,0.00
0.46302,2.383,-3.459,0.00
0.47319,2.383,-3.459,0.00
0.48336,2.304,-3.452,0.00
0.49352,2.304,-3.452,0.00
0.50369,2.228,-3.435,0.00
0.51417,2.228,-3.435,0.00
0.52640,2.228,-3.435,0.00
0.53658,2.179,-3.408,0.00
0.54674,2.162,-3.378,0.00
0.55757,2.162,-3.348,0.00
0.56785,2.158,-3.348,0.00
0.57848,2.158,-3.348,0.00
0.58865,2.152,-3.316,0.00
0.59882,2.143,-3.285,0.00
0.60905,2.143,-3.285,0.00
0.61922,2.143,-3.285,0.00
0.62938,2.127,-3.245,0.00
0.63955,2.095,-3.245,0.00
0.64972,2.095,-3.209,0.00
0.65988,2.056,-3.167,0.00
0.67074,2.056,-3.167,0.00
0.68120,2.016,-3.114,0.00
0.69136,2.016,-3.114,0.00
0.70154,1.988,-3.041,0.00
0.71255,1.988,-3.041,0.00
0.72270,1.988,-3.041,0.00
0.73331,1.988,-3.041,0.00
0.74347,1.991,-2.911,0.00
0.75430,1.991,-2.911,0.00
0.76447,1.986,-2.851,0.00
0.77462,1.986,-2.851,0.00
0.78478,1.978,-2.799,0.00
0.79492,1.978,-2.799,0.00
0.80508,1.970,-2.756,0.00
0.81522,1.970,-2.756,0.00
0.82570,1.970,-2.724,0.00
0.83590,1.970,-2.724,0.00
0.84662,1.982,-2.700,0.00
0.85678,1.982,-2.700,0.00
0.86705,1.987,-2.681,0.00
0.87721,1.990,-2.681,0.00
0.88737,1.990,-2.662,0.00
0.89754,1.989,-2.662,0.00
0.90770,1.989,-2.646,0.00
0.91787,1.989,-2.646,0.00
0.92804,1.969,-2.641,0.00
0.93819,1.969,-2.641,0.00
0.94836,1.943,-2.641,0.00
0.95866,1.935,-2.645,0.00
