time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00830,0.193,3.098,0.00
0.01848,0.154,3.140,0.00
0.03195,0.122,3.183,0.00
0.04313,0.085,3.225,0.00
0.05331,0.085,3.225,0.00
0.06350,0.085,3.259,0.00
0.07365,0.050,3.259,0.00
0.08394,0.050,3.259,0.00
0.09659,0.023,3.294,0.00
0.10707,0.023,3.294,0.00
0.11724,0.004,3.319,0.00
0.12740,-0.014,3.345,0.00
0.13760,-0.014,3.345,0.00
0.14776,-0.033,3.364,0.00
0.15825,-0.033,3.364,0.00
0.16860,-0.047,3.389,0.00
0.18071,-0.047,3.415,0.00
0.19088,-0.057,3.415,0.00
0.20115,-0.057,3.415,0.00
0.21148,-0.057,3.445,0.00
0.22199,-0.068,3.445,0.00
0.23223,-0.072,3.468,0.00
0.24413,-0.072,3.493,0.00
0.25562,-0.079,3.493,0.00
0.26690,-0.083,3.517,0.00
0.27726,-0.083,3.517,0.00
0.28760,-0.082,3.542,0.00
0.29810,-0.082,3.542,0.00
0.30841,-0.082,3.542,0.00
0.31864,-0.082,3.542,0.00
0.33103,-0.079,3.566,0.00
0.34213,-0.072,3.586,0.00
0.35230,-0.068,3.586,0.00
0.36246,-0.068,3.608,0.00
0.37263,-0.063,3.608,0.00
0.38303,-0.057,3.639,0.00
0.39321,-0.057,3.661,0.00
0.40342,-0.048,3.661,0.00
0.41362,-0.048,3.685,0.00
0.42379,-0.048,3.685,0.00
0.43697,-0.043,3.709,0.00
0.44715,-0.043,3.709,0.00
0.45873,-0.040,3.729,0.00
0.46889,-0.031,3.743,0.00
0.47941,-0.031,3.743,0.00
0.48990,-0.019,3.756,0.00
0.50013,-0.019,3.756,0.00
0.51031,-0.019,3.756,0.00
0.52078,-0.009,3.767,0.00
0.53109,-0.009,3.767,0.00
0.54156,-0.009,3.777,0.00
0.55186,-0.007,3.786,0.00
0.56203,-0.007,3.786,0.00
0.57220,-0.007,3.786,0.00
0.58236,0.010,3.794,0.00
0.59252,0.010,3.794,0.00
0.60267,0.030,3.802,0.00
0.61285,0.045,3.810,0.00
0.62302,0.045,3.810,0.00
0.63318,0.045,3.810,0.00
0.64335,0.058,3.812,0.00
0.65352,0.066,3.815,0.00
0.66425,0.066,3.815,0.00
0.67441,0.077,3.817,0.00
0.68458,0.077,3.817,0.00
0.69647,0.077,3.817,0.00
0.70704,0.091,3.818,0.00
0.71720,0.104,3.824,0.00
