time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00318,2.985,1.195,0.00
0.01544,2.982,1.233,0.00
0.02588,2.960,1.274,0.00
0.04038,2.960,1.306,0.00
0.05072,2.936,1.306,0.00
0.06489,2.900,1.306,0.00
0.07512,2.900,1.336,0.00
0.08528,2.866,1.364,0.00
0.09562,2.866,1.364,0.00
0.10576,2.866,1.364,0.00
0.11613,2.843,1.393,0.00
0.12629,2.819,1.418,0.00
0.13888,2.819,1.418,0.00
0.14904,2.794,1.438,0.00
0.15920,2.794,1.453,0.00
0.16936,2.776,1.453,0.00
0.17972,2.776,1.453,0.00
0.19023,2.763,1.455,0.00
0.20038,2.760,1.448,0.00
0.21068,2.760,1.448,0.00
0.22083,2.769,1.432,0.00
0.23098,2.769,1.432,0.00
0.24113,2.769,1.402,0.00
0.25129,2.773,1.402,0.00
0.26157,2.773,1.402,0.00
0.27171,2.769,1.364,0.00
0.28186,2.758,1.326,0.00
0.29200,2.758,1.326,0.00
0.30216,2.758,1.326,0.00
0.31232,2.755,1.287,0.00
0.32260,2.753,1.241,0.00
0.33265,2.753,1.241,0.00
0.34280,2.743,1.196,0.00
0.35295,2.743,1.196,0.00
0.36312,2.743,1.150,0.00
0.37329,2.738,1.150,0.00
0.38363,2.738,1.150,0.00
0.39410,2.729,1.100,0.00
0.40425,2.729,1.100,0.00
0.41441,2.729,1.100,0.00
0.42489,2.714,1.049,0.00
0.43516,2.714,0.989,0.00
0.44531,2.712,0.933,0.00
0.45843,2.712,0.933,0.00
0.46890,2.711,0.875,0.00
0.47919,2.711,0.875,0.00
0.48936,2.713,0.815,0.00
0.50074,2.713,0.815,0.00
0.51090,2.715,0.760,0.00
0.52106,2.724,0.715,0.00
0.53123,2.724,0.715,0.00
0.54140,2.744,0.673,0.00
0.55154,2.744,0.673,0.00
0.56170,2.774,0.641,0.00
0.57184,2.774,0.641,0.00
0.58300,2.774,0.641,0.00
0.59316,2.805,0.607,0.00
0.60330,2.838,0.589,0.00
0.61345,2.838,0.589,0.00
0.62364,2.871,0.571,0.00
0.63377,2.871,0.571,0.00
0.64405,2.871,0.571,0.00
0.65419,2.887,0.568,0.00
0.66453,2.887,0.565,0.00
0.67559,2.887,0.565,0.00
0.68573,2.867,0.569,0.00
0.69600,2.867,0.569,0.00
0.70614,2.819,0.576,0.00
0.71828,2.819,0.576,0.00
0.72864,2.736,0.583,0.00
0.73878,2.736,0.583,0.00
0.74893,2.583,0.584,0.00
0.75911,2.583,0.584,0.00
0.76928,2.423,0.587,0.00
0.78006,2.423,0.587,0.00
0.79030,2.255,0.596,0.00
0.80044,2.144,0.596,0.00
0.81066,2.144,0.608,0.00
0.82087,2.066,0.608,0.00
0.83103,2.066,0.623,0.00
0.84117,2.066,0.623,0.00
0.85131,1.997,0.633,0.00
0.86142,1.997,0.645,0.00
0.87157,1.939,0.645,0.00
0.88171,1.939,0.645,0.00
0.89185,1.906,0.655,0.00
0.90200,1.906,0.655,0.00
0.91215,1.870,0.676,0.00
0.92230,1.831,0.676,0.00
0.93244,1.831,0.725,0.00
0.94261,1.831,0.725,0.00
0.95274,1.778,0.803,0.00
0.96290,1.778,0.803,0.00
0.97304,1.716,0.896,0.00
0.98318,1.651,0.985,0.00
0.99333,1.651,0.985,0.00
1.00362,1.588,1.063,0.00
1.01404,1.588,1.063,0.00
1.02430,1.527,1.123,0.00
1.03485,1.527,1.123,0.00
1.04510,1.481,1.156,0.00
1.05565,1.481,1.156,0.00
1.06580,1.470,1.183,0.00
1.07625,1.470,1.183,0.00
1.08669,1.482,1.172,0.00
1.09723,1.508,1.172,0.00
1.10745,1.508,1.144,0.00
1.11771,1.508,1.144,0.00
1.12813,1.525,1.110,0.00
1.13864,1.509,1.110,0.00
1.14888,1.509,1.078,0.00
1.15903,1.509,1.041,0.00
1.16919,1.488,1.041,0.00
