time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.01209,2.371,1.307,0.00
0.02437,2.388,1.303,0.00
0.03534,2.388,1.303,0.00
0.04600,2.405,1.300,0.00
0.05642,2.415,1.298,0.00
0.06690,2.415,1.298,0.00
0.07747,2.419,1.298,0.00
0.08781,2.419,1.298,0.00
0.09811,2.419,1.297,0.00
0.10828,2.426,1.297,0.00
0.11843,2.440,1.298,0.00
0.12866,2.440,1.298,0.00
0.13882,2.461,1.299,0.00
0.14902,2.461,1.299,0.00
0.15919,2.461,1.299,0.00
0.16970,2.483,1.298,0.00
0.18130,2.499,1.296,0.00
0.19147,2.499,1.296,0.00
0.20178,2.510,1.296,0.00
0.21195,2.510,1.296,0.00
0.22225,2.524,1.295,0.00
0.23258,2.537,1.296,0.00
0.24325,2.537,1.296,0.00
0.25341,2.547,1.293,0.00
0.26397,2.547,1.293,0.00
0.27508,2.555,1.291,0.00
0.28524,2.555,1.291,0.00
0.29608,2.565,1.287,0.00
0.30627,2.565,1.287,0.00
0.31700,2.568,1.283,0.00
0.32709,2.568,1.283,0.00
0.33724,2.566,1.274,0.00
0.34744,2.566,1.274,0.00
0.35760,2.566,1.265,0.00
0.36779,2.564,1.265,0.00
0.37799,2.564,1.255,0.00
0.38826,2.563,1.248,0.00
0.39861,2.563,1.248,0.00
0.40913,2.563,1.248,0.00
0.41930,2.566,1.242,0.00
0.42945,2.567,1.242,0.00
0.44205,2.567,1.235,0.00
0.45260,2.567,1.235,0.00
0.46288,2.559,1.227,0.00
0.47311,2.559,1.227,0.00
0.48559,2.549,1.215,0.00
0.49834,2.549,1.215,0.00
0.50914,2.539,1.200,0.00
0.51935,2.539,1.188,0.00
0.52955,2.528,1.188,0.00
0.54001,2.528,1.188,0.00
0.55250,2.518,1.176,0.00
0.56267,2.509,1.165,0.00
0.57309,2.509,1.165,0.00
0.58306,2.506,1.154,0.00
0.59323,2.505,1.148,0.00
0.60340,2.505,1.148,0.00
0.61357,2.507,1.143,0.00
0.62374,2.507,1.143,0.00
0.63392,2.511,1.137,0.00
0.64769,2.511,1.137,0.00
0.65790,2.517,1.130,0.00
0.66807,2.522,1.130,0.00
0.67822,2.522,1.122,0.00
0.68850,2.522,1.122,0.00
0.69867,2.527,1.114,0.00
0.70885,2.527,1.114,0.00
0.71984,2.527,1.114,0.00
0.73001,2.536,1.108,0.00
0.74043,2.536,1.108,0.00
0.75059,2.545,1.104,0.00
0.76075,2.545,1.104,0.00
0.77174,2.545,1.104,0.00
0.78254,2.555,1.105,0.00
0.79270,2.564,1.109,0.00
0.80286,2.564,1.109,0.00
0.81315,2.564,1.109,0.00
0.82333,2.564,1.109,0.00
0.83348,2.564,1.109,0.00
0.84365,2.564,1.109,0.00
0.85383,2.564,1.109,0.00
0.86402,2.572,1.109,0.00
0.87417,2.583,1.113,0.00
0.88443,2.591,1.125,0.00
0.89460,2.592,1.132,0.00
0.90476,2.592,1.132,0.00
0.91515,2.592,1.132,0.00
0.92532,2.592,1.132,0.00
0.93550,2.592,1.132,0.00
0.94576,2.589,1.140,0.00
0.95681,2.589,1.150,0.00
0.96714,2.582,1.157,0.00
0.97747,2.582,1.157,0.00
0.98780,2.582,1.157,0.00
0.99812,2.592,1.165,0.00
1.00853,2.600,1.175,0.00
1.01868,2.603,1.183,0.00
1.02995,2.600,1.205,0.00
1.04009,2.600,1.218,0.00
1.05025,2.603,1.228,0.00
1.06043,2.603,1.228,0.00
1.07059,2.603,1.228,0.00
1.08075,2.608,1.239,0.00
1.09092,2.614,1.248,0.00
1.10143,2.614,1.248,0.00
1.11180,2.615,1.260,0.00
1.12218,2.615,1.260,0.00
1.13234,2.615,1.260,0.00
1.14250,2.615,1.260,0.00
1.15355,2.590,1.276,0.00
1.16371,2.590,1.276,0.00
1.17411,2.590,1.276,0.00
1.18427,2.578,1.284,0.00
1.19443,2.571,1.294,0.00
1.20459,2.571,1.294,0.00
1.21475,2.571,1.294,0.00
1.22500,2.559,1.294,0.00
1.23538,2.539,1.307,0.00
1.24570,2.539,1.321,0.00
1.25606,2.516,1.332,0.00
1.26642,2.516,1.332,0.00
1.27670,2.489,1.338,0.00
1.28712,2.489,1.338,0.00
1.29727,2.457,1.340,0.00
1.30759,2.457,1.340,0.00
1.31790,2.430,1.342,0.00
1.32816,2.430,1.342,0.00
1.33851,2.405,1.343,0.00
1.34905,2.405,1.343,0.00
1.35921,2.379,1.348,0.00
1.36936,2.379,1.348,0.00
1.37954,2.357,1.352,0.00
1.38968,2.336,1.352,0.00
1.39993,2.336,1.362,0.00
1.41008,2.317,1.373,0.00
1.42024,2.317,1.373,0.00
1.43099,2.317,1.373,0.00
1.44125,2.304,1.385,0.00
1.45201,2.304,1.385,0.00
1.46219,2.294,1.401,0.00
1.47233,2.294,1.401,0.00
1.48249,2.282,1.422,0.00
1.49263,2.282,1.441,0.00
1.50293,2.274,1.441,0.00
1.51307,2.265,1.462,0.00
1.52323,2.265,1.462,0.00
1.53360,2.258,1.484,0.00
1.54376,2.258,1.484,0.00
1.55392,2.258,1.484,0.00
1.56413,2.251,1.509,0.00
1.57430,2.251,1.509,0.00
1.58445,2.245,1.535,0.00
1.59462,2.235,1.562,0.00
1.60520,2.235,1.562,0.00
1.61588,2.227,1.590,0.00
1.62631,2.227,1.590,0.00
1.63671,2.212,1.624,0.00
1.64778,2.212,1.624,0.00
1.65805,2.193,1.656,0.00
1.66822,2.193,1.656,0.00
1.67838,2.169,1.692,0.00
1.68854,2.169,1.692,0.00
1.69868,2.151,1.729,0.00
1.70884,2.151,1.729,0.00
1.71918,2.142,1.766,0.00
1.72939,2.131,1.801,0.00
1.73956,2.131,1.801,0.00
1.74970,2.119,1.801,0.00
1.75986,2.119,1.834,0.00
1.77003,2.119,1.834,0.00
1.78029,2.104,1.865,0.00
1.79044,2.104,1.865,0.00
1.80059,2.091,1.902,0.00
1.81086,2.078,1.935,0.00
1.82117,2.078,1.935,0.00
1.83133,2.078,1.935,0.00
1.84149,2.067,1.962,0.00
1.85176,2.067,1.962,0.00
1.86200,2.057,1.986,0.00
1.87217,2.050,2.005,0.00
1.88233,2.050,2.005,0.00
1.89249,2.050,2.021,0.00
1.90266,2.046,2.021,0.00
1.91282,2.046,2.021,0.00
1.92298,2.033,2.029,0.00
1.93357,2.021,2.030,0.00
1.94374,2.021,2.030,0.00
1.95390,2.015,2.026,0.00
1.96407,2.015,2.026,0.00
1.97424,2.017,2.026,0.00
1.98440,2.017,2.017,0.00
1.99456,2.017,2.017,0.00
2.00502,2.020,2.017,0.00
2.01508,2.020,2.008,0.00
2.02525,2.023,2.008,0.00
2.03541,2.026,2.002,0.00
2.04592,2.026,2.002,0.00
2.05608,2.022,1.995,0.00
2.06624,2.022,1.995,0.00
2.07639,2.022,1.988,0.00
2.08655,2.015,1.988,0.00
2.09671,2.010,1.974,0.00
2.10689,2.010,1.974,0.00
2.11706,2.011,1.960,0.00
2.12724,2.011,1.960,0.00
2.13740,2.015,1.943,0.00
2.14756,2.015,1.943,0.00
2.15810,2.021,1.912,0.00
2.16826,2.023,1.912,0.00
2.17842,2.023,1.894,0.00
2.18858,2.023,1.894,0.00
2.19961,2.023,1.894,0.00
2.20978,2.023,1.865,0.00
2.22026,1.999,1.842,0.00
2.23049,1.999,1.842,0.00
2.24066,1.983,1.830,0.00
2.25085,1.983,1.830,0.00
2.26119,1.973,1.831,0.00
2.27135,1.971,1.824,0.00
2.28156,1.971,1.824,0.00
2.29171,1.971,1.824,0.00
2.30187,1.971,1.809,0.00
2.31205,1.967,1.809,0.00
2.32222,1.967,1.792,0.00
2.33238,1.956,1.778,0.00
2.34252,1.956,1.778,0.00
2.35282,1.956,1.778,0.00
2.36298,1.947,1.768,0.00
2.37315,1.947,1.768,0.00
2.38331,1.936,1.772,0.00
2.39352,1.936,1.779,0.00
2.40371,1.919,1.779,0.00
2.41390,1.893,1.782,0.00
2.42422,1.893,1.782,0.00
2.43457,1.865,1.781,0.00
2.44516,1.865,1.781,0.00
2.45569,1.844,1.781,0.00
2.46586,1.844,1.781,0.00
2.47650,1.824,1.780,0.00
2.48667,1.824,1.780,0.00
2.49748,1.801,1.783,0.00
2.50818,1.801,1.789,0.00
2.51877,1.777,1.789,0.00
2.52911,1.777,1.789,0.00
2.53971,1.751,1.793,0.00
2.54992,1.751,1.789,0.00
2.56019,1.723,1.789,0.00
2.57078,1.723,1.787,0.00
2.58128,1.695,1.787,0.00
2.59159,1.665,1.792,0.00
2.60194,1.665,1.792,0.00
2.61250,1.665,1.792,0.00
2.62268,1.635,1.802,0.00
2.63312,1.608,1.822,0.00
2.64370,1.608,1.822,0.00
2.65379,1.580,1.841,0.00
2.66406,1.580,1.841,0.00
2.67423,1.548,1.848,0.00
2.68451,1.548,1.848,0.00
2.69484,1.521,1.849,0.00
2.70518,1.521,1.849,0.00
2.71542,1.521,1.849,0.00
2.72559,1.505,1.843,0.00
2.73576,1.499,1.841,0.00
2.74598,1.499,1.841,0.00
2.75615,1.499,1.851,0.00
2.76648,1.499,1.851,0.00
2.77680,1.504,1.864,0.00
2.78696,1.504,1.864,0.00
2.79713,1.513,1.871,0.00
2.80725,1.513,1.871,0.00
2.81743,1.513,1.871,0.00
2.82763,1.522,1.868,0.00
2.83808,1.532,1.855,0.00
2.84826,1.532,1.855,0.00
2.85983,1.543,1.841,0.00
2.87025,1.557,1.838,0.00
2.88062,1.557,1.838,0.00
2.89103,1.576,1.843,0.00
2.90143,1.576,1.843,0.00
2.91172,1.600,1.852,0.00
2.92210,1.600,1.852,0.00
2.93227,1.600,1.864,0.00
2.94243,1.630,1.864,0.00
2.95259,1.658,1.853,0.00
2.96291,1.658,1.853,0.00
2.97308,1.658,1.841,0.00
2.98324,1.685,1.841,0.00
2.99343,1.715,1.830,0.00
3.00360,1.715,1.830,0.00
3.01390,1.715,1.830,0.00
3.02431,1.747,1.830,0.00
3.03461,1.777,1.829,0.00
3.04477,1.777,1.829,0.00
3.05493,1.800,1.826,0.00
3.06510,1.800,1.826,0.00
3.07526,1.820,1.822,0.00
3.08541,1.820,1.822,0.00
3.09566,1.820,1.822,0.00
3.10580,1.840,1.814,0.00
3.11610,1.861,1.806,0.00
3.12608,1.861,1.806,0.00
3.13635,1.883,1.797,0.00
3.14716,1.883,1.797,0.00
3.15793,1.902,1.771,0.00
3.16809,1.902,1.771,0.00
3.17830,1.922,1.746,0.00
3.18846,1.922,1.746,0.00
3.19872,1.947,1.729,0.00
3.20889,1.947,1.725,0.00
3.21942,1.975,1.725,0.00
3.22973,1.975,1.725,0.00
3.24075,1.975,1.721,0.00
3.25189,2.002,1.721,0.00
3.26205,2.026,1.703,0.00
3.27233,2.026,1.703,0.00
3.28249,2.039,1.677,0.00
3.29265,2.047,1.649,0.00
3.30282,2.047,1.649,0.00
3.31298,2.061,1.624,0.00
3.32320,2.061,1.624,0.00
3.33337,2.077,1.598,0.00
3.34351,2.077,1.598,0.00
3.35366,2.100,1.576,0.00
3.36389,2.100,1.576,0.00
3.37419,2.128,1.553,0.00
3.38435,2.128,1.553,0.00
3.39453,2.148,1.553,0.00
3.40585,2.148,1.529,0.00
3.41611,2.158,1.502,0.00
3.42627,2.158,1.502,0.00
3.43663,2.158,1.477,0.00
3.44695,2.158,1.477,0.00
3.45713,2.163,1.448,0.00
3.46739,2.163,1.448,0.00
3.47777,2.169,1.433,0.00
3.48792,2.169,1.433,0.00
3.49826,2.178,1.424,0.00
3.50841,2.178,1.424,0.00
3.51856,2.185,1.430,0.00
3.52873,2.185,1.430,0.00
3.53971,2.185,1.430,0.00
3.54986,2.188,1.454,0.00
3.56002,2.190,1.454,0.00
3.57023,2.192,1.454,0.00
3.58049,2.192,1.490,0.00
3.59065,2.192,1.490,0.00
3.60081,2.202,1.490,0.00
3.61111,2.202,1.510,0.00
3.62124,2.214,1.527,0.00
3.63151,2.214,1.527,0.00
3.64167,2.224,1.507,0.00
3.65268,2.224,1.507,0.00
3.66283,2.233,1.472,0.00
3.67301,2.237,1.446,0.00
3.68317,2.237,1.446,0.00
3.69333,2.240,1.408,0.00
3.70350,2.240,1.408,0.00
3.71369,2.240,1.408,0.00
3.72385,2.245,1.387,0.00
3.73402,2.254,1.371,0.00
3.74419,2.254,1.371,0.00
3.75452,2.262,1.351,0.00
3.76776,2.262,1.351,0.00
3.77795,2.270,1.349,0.00
3.78830,2.270,1.349,0.00
3.79845,2.277,1.357,0.00
3.80862,2.277,1.357,0.00
3.81878,2.285,1.359,0.00
3.82925,2.285,1.355,0.00
3.83944,2.292,1.355,0.00
3.84962,2.292,1.355,0.00
3.85978,2.299,1.340,0.00
3.86994,2.299,1.340,0.00
3.88031,2.301,1.319,0.00
3.89046,2.300,1.301,0.00
3.90060,2.300,1.301,0.00
3.91090,2.313,1.293,0.00
3.92108,2.313,1.293,0.00
3.93207,2.324,1.293,0.00
3.94225,2.324,1.294,0.00
3.95240,2.341,1.284,0.00
3.96268,2.341,1.284,0.00
3.97301,2.341,1.284,0.00
3.98320,2.358,1.264,0.00
3.99361,2.360,1.252,0.00
4.00398,2.360,1.252,0.00
4.01415,2.360,1.232,0.00
4.02429,2.357,1.232,0.00
4.03447,2.354,1.218,0.00
4.04462,2.354,1.218,0.00
4.05478,2.354,1.216,0.00
4.06505,2.354,1.216,0.00
4.07595,2.354,1.216,0.00
4.08611,2.358,1.218,0.00
4.09629,2.373,1.223,0.00
4.10644,2.373,1.223,0.00
4.11674,2.381,1.237,0.00
4.12704,2.381,1.237,0.00
4.13755,2.384,1.241,0.00
4.14792,2.384,1.241,0.00
4.15813,2.390,1.241,0.00
4.16866,2.390,1.259,0.00
4.17891,2.407,1.271,0.00
4.18907,2.407,1.271,0.00
4.19923,2.407,1.271,0.00
4.20958,2.407,1.271,0.00
4.21980,2.429,1.279,0.00
4.23127,2.454,1.295,0.00
4.24143,2.484,1.288,0.00
4.25164,2.513,1.244,0.00
4.26180,2.513,1.244,0.00
4.27196,2.513,1.244,0.00
