time,sh_el_deg,sh_el,stim_curr,max_sh_el(deg)
0.00026,0.000,0.000,0.00,0.000
0.02209,-0.028,-0.000,0.00,0.000
0.04562,-0.029,-0.001,0.00,0.000
0.06640,-0.029,-0.001,0.00,0.000
0.08216,-0.029,-0.001,0.00,0.000
0.09823,-0.030,-0.001,0.00,0.000
0.11432,-0.031,-0.001,0.00,0.000
0.12994,-0.031,-0.001,0.00,0.000
0.14585,-0.032,-0.001,0.00,0.000
0.16195,-0.032,-0.001,0.00,0.000
0.17756,-0.030,-0.001,0.00,0.000
0.19372,-0.028,-0.000,0.00,0.000
0.20978,-0.027,-0.000,0.00,0.000
0.22587,-0.027,-0.000,0.00,0.000
0.24183,-0.027,-0.000,0.00,0.000
0.25784,-0.027,-0.000,0.00,0.000
0.27414,-0.027,-0.000,0.00,0.000
0.28992,-0.028,-0.000,0.00,0.000
0.30569,-0.028,-0.000,0.00,0.000
0.32228,-0.031,-0.001,0.00,0.000
0.33800,-0.032,-0.001,0.00,0.000
0.35496,-0.033,-0.001,0.00,0.000
0.37028,-0.034,-0.001,0.00,0.000
0.38674,-0.033,-0.001,0.00,0.000
0.40235,-0.033,-0.001,0.00,0.000
0.41835,-0.032,-0.001,0.00,0.000
0.43413,-0.032,-0.001,0.00,0.000
0.45023,-0.034,-0.001,0.00,0.000
0.46677,-0.036,-0.001,0.00,0.000
0.48225,-0.036,-0.001,0.00,0.000
0.49920,-0.036,-0.001,0.00,0.000
0.53127,-0.041,-0.001,0.00,0.000
0.54651,-0.041,-0.001,0.00,0.000
0.56210,-0.041,-0.001,0.00,0.000
0.57823,-0.041,-0.001,0.00,0.000
0.59450,-0.040,-0.001,0.00,0.000
0.60995,-0.043,-0.001,0.00,0.000
0.62589,-0.046,-0.001,0.00,0.000
0.64213,-0.046,-0.001,0.00,0.000
0.65802,-0.047,-0.001,0.00,0.000
0.67470,-0.049,-0.001,0.00,0.000
0.69010,-0.052,-0.001,0.00,0.000
0.70608,-0.052,-0.001,0.00,0.000
0.72213,-0.054,-0.001,0.00,0.000
0.73808,-0.054,-0.001,0.00,0.000
0.75531,-0.054,-0.001,0.00,0.000
0.77052,-0.054,-0.001,0.00,0.000
0.78668,-0.055,-0.001,0.00,0.000
0.80281,-0.055,-0.001,0.00,0.000
0.81859,-0.057,-0.001,0.00,0.000
0.83507,-0.058,-0.001,0.00,0.000
0.85086,-0.058,-0.001,0.00,0.000
0.86714,-0.058,-0.001,0.00,0.000
0.88314,-0.059,-0.001,0.00,0.000
0.89930,-0.059,-0.001,0.00,0.000
0.91638,-0.060,-0.001,0.00,0.000
0.93152,-0.060,-0.001,0.00,0.000
0.94776,-0.060,-0.001,0.00,0.000
0.96311,-0.061,-0.001,0.00,0.000
0.97939,-0.061,-0.001,0.00,0.000
0.99545,-0.061,-0.001,0.00,0.000
1.01112,-0.062,-0.001,0.00,0.000
1.02722,-0.062,-0.001,0.00,0.000
1.03831,-0.062,-0.001,0.00,0.000
1.04872,-0.062,-0.001,0.00,0.000
1.06411,-0.062,-0.001,0.00,0.000
1.08060,-0.062,-0.001,0.00,0.000
1.09666,-0.063,-0.001,0.00,0.000
1.11180,-0.063,-0.001,0.00,0.000
1.12785,-0.062,-0.001,0.00,0.000
1.14335,-0.062,-0.001,0.00,0.000
1.15940,-0.062,-0.001,0.00,0.000
1.17550,-0.063,-0.001,0.00,0.000
1.19116,-0.061,-0.001,0.00,0.000
1.20689,-0.059,-0.001,0.00,0.000
1.22291,-0.059,-0.001,0.00,0.000
1.23873,-0.060,-0.001,0.00,0.000
1.25569,-0.061,-0.001,0.00,0.000
1.27043,-0.061,-0.001,0.00,0.000
1.28674,-0.062,-0.001,0.00,0.000
1.30266,-0.062,-0.001,0.00,0.000
1.31826,-0.062,-0.001,0.00,0.000
1.33406,-0.061,-0.001,0.00,0.000
1.35008,-0.062,-0.001,0.00,0.000
1.36615,-0.065,-0.001,0.00,0.000
1.38236,-0.069,-0.001,0.00,0.000
1.39805,-0.069,-0.001,0.00,0.000
1.41210,-0.071,-0.001,0.00,0.000
1.42597,-0.072,-0.001,0.00,0.000
1.44152,-0.072,-0.001,0.00,0.000
1.45770,-0.073,-0.001,0.00,0.000
1.47387,-0.072,-0.001,0.00,0.000
1.48986,-0.069,-0.001,0.00,0.000
1.50553,-0.064,-0.001,0.00,0.000
1.52205,-0.060,-0.001,0.00,0.000
1.54559,-0.060,-0.001,0.00,0.000
1.56169,-0.058,-0.001,0.00,0.000
1.57490,-0.056,-0.001,0.00,0.000
1.59002,-0.056,-0.001,0.00,0.000
1.60600,-0.051,-0.001,0.00,0.000
1.62190,-0.051,-0.001,0.00,0.000
1.63840,-0.052,-0.001,0.00,0.000
1.65434,-0.054,-0.001,0.00,0.000
1.67008,-0.054,-0.001,0.00,0.000
1.68616,-0.054,-0.001,0.00,0.000
1.70215,-0.054,-0.001,0.00,0.000
1.71694,-0.053,-0.001,0.00,0.000
1.74810,-0.055,-0.001,0.00,0.000
1.76368,-0.055,-0.001,0.00,0.000
1.77953,-0.055,-0.001,0.00,0.000
1.79573,-0.055,-0.001,0.00,0.000
1.81167,-0.055,-0.001,0.00,0.000
1.82784,-0.055,-0.001,0.00,0.000
1.84370,-0.055,-0.001,0.00,0.000
1.86016,-0.055,-0.001,0.00,0.000
1.87594,-0.055,-0.001,0.00,0.000
1.89191,-0.054,-0.001,0.00,0.000
1.90769,-0.054,-0.001,0.00,0.000
1.92340,-0.054,-0.001,0.00,0.000
1.93966,-0.054,-0.001,0.00,0.000
1.95531,-0.053,-0.001,0.00,0.000
1.97178,-0.052,-0.001,0.00,0.000
1.98794,-0.051,-0.001,0.00,0.000
2.00434,-0.051,-0.001,0.00,0.000
2.01960,-0.051,-0.001,0.00,0.000
2.03669,-0.051,-0.001,1.00,0.000
2.05216,-0.050,-0.001,1.00,0.000
2.06545,-0.050,-0.001,1.00,0.000
2.07853,-0.050,-0.001,1.00,0.000
2.09247,-0.051,-0.001,1.00,0.000
2.11273,-0.050,-0.001,1.00,0.000
2.13364,-0.050,-0.001,1.00,0.000
2.14657,-0.052,-0.001,1.00,0.000
2.16847,-0.052,-0.001,1.00,0.000
2.18977,-0.052,-0.001,1.00,0.000
2.21580,-0.053,-0.001,1.00,0.000
2.22936,-0.052,-0.001,1.00,0.000
