time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00243,-0.989,-0.315,0.00
0.01261,-0.989,-0.315,0.00
0.02283,-0.986,-0.317,0.00
0.03300,-0.984,-0.316,0.00
0.04318,-0.984,-0.316,0.00
0.05334,-0.981,-0.316,0.00
0.06350,-0.981,-0.316,0.00
0.07366,-0.982,-0.317,0.00
0.08384,-0.982,-0.317,0.00
0.09420,-0.982,-0.317,0.00
0.10436,-0.984,-0.324,0.00
0.11453,-0.984,-0.324,0.00
0.12488,-0.982,-0.329,0.00
0.13522,-0.982,-0.329,0.00
0.14538,-0.982,-0.331,0.00
0.15553,-0.978,-0.331,0.00
0.16794,-0.978,-0.331,0.00
0.17814,-0.974,-0.333,0.00
0.18860,-0.968,-0.333,0.00
0.19879,-0.968,-0.333,0.00
0.20895,-0.963,-0.332,0.00
0.21926,-0.963,-0.332,0.00
0.22943,-0.958,-0.328,0.00
0.23989,-0.958,-0.328,0.00
0.25039,-0.956,-0.326,0.00
0.26054,-0.956,-0.326,0.00
0.27071,-0.956,-0.318,0.00
0.28179,-0.956,-0.318,0.00
0.29194,-0.955,-0.310,0.00
0.30210,-0.955,-0.310,0.00
0.31226,-0.951,-0.302,0.00
0.32263,-0.951,-0.292,0.00
0.33280,-0.943,-0.292,0.00
0.34295,-0.943,-0.292,0.00
0.35311,-0.936,-0.292,0.00
0.36328,-0.936,-0.270,0.00
0.37347,-0.932,-0.270,0.00
0.38364,-0.932,-0.261,0.00
0.39387,-0.930,-0.261,0.00
0.40609,-0.929,-0.255,0.00
0.41645,-0.929,-0.255,0.00
0.42671,-0.929,-0.249,0.00
0.43686,-0.928,-0.249,0.00
0.44702,-0.928,-0.242,0.00
0.45724,-0.926,-0.242,0.00
0.46761,-0.923,-0.237,0.00
0.47778,-0.923,-0.237,0.00
0.48793,-0.918,-0.235,0.00
0.49810,-0.918,-0.235,0.00
0.50847,-0.918,-0.235,0.00
0.51867,-0.914,-0.231,0.00
0.52895,-0.914,-0.231,0.00
0.53923,-0.910,-0.231,0.00
0.54948,-0.907,-0.226,0.00
0.55994,-0.907,-0.226,0.00
0.57022,-0.904,-0.223,0.00
0.58055,-0.904,-0.223,0.00
0.59073,-0.904,-0.218,0.00
0.60088,-0.904,-0.218,0.00
0.61105,-0.907,-0.215,0.00
0.62124,-0.907,-0.215,0.00
0.63144,-0.903,-0.211,0.00
0.64235,-0.903,-0.211,0.00
0.65255,-0.894,-0.204,0.00
0.66271,-0.894,-0.204,0.00
0.67290,-0.883,-0.198,0.00
0.68308,-0.869,-0.190,0.00
0.69331,-0.869,-0.190,0.00
0.70347,-0.869,-0.190,0.00
0.71393,-0.860,-0.185,0.00
0.72405,-0.857,-0.181,0.00
0.73423,-0.857,-0.181,0.00
0.74440,-0.857,-0.181,0.00
0.75457,-0.858,-0.176,0.00
0.76476,-0.859,-0.174,0.00
0.77493,-0.859,-0.174,0.00
0.78550,-0.859,-0.171,0.00
0.79585,-0.859,-0.171,0.00
0.80631,-0.859,-0.168,0.00
0.81663,-0.859,-0.168,0.00
0.82716,-0.857,-0.166,0.00
0.83824,-0.857,-0.166,0.00
0.84841,-0.857,-0.165,0.00
0.85857,-0.857,-0.165,0.00
0.86875,-0.860,-0.164,0.00
0.87946,-0.860,-0.164,0.00
0.88963,-0.865,-0.164,0.00
0.89981,-0.865,-0.164,0.00
0.91013,-0.871,-0.164,0.00
0.92046,-0.871,-0.168,0.00
0.93065,-0.881,-0.168,0.00
0.94083,-0.881,-0.168,0.00
0.95102,-0.892,-0.172,0.00
0.96118,-0.892,-0.172,0.00
0.97135,-0.904,-0.178,0.00
0.98151,-0.926,-0.178,0.00
0.99165,-0.926,-0.188,0.00
1.00219,-0.926,-0.188,0.00
1.01247,-0.959,-0.196,0.00
1.02274,-0.959,-0.207,0.00
1.03292,-1.000,-0.207,0.00
1.04308,-1.000,-0.216,0.00
1.05322,-1.045,-0.216,0.00
1.06338,-1.045,-0.216,0.00
1.07353,-1.083,-0.220,0.00
1.08368,-1.083,-0.220,0.00
1.09383,-1.117,-0.223,0.00
1.10399,-1.154,-0.233,0.00
1.11413,-1.154,-0.233,0.00
1.12433,-1.206,-0.233,0.00
1.13449,-1.206,-0.258,0.00
1.14464,-1.269,-0.258,0.00
1.15478,-1.269,-0.287,0.00
1.16494,-1.332,-0.287,0.00
1.17509,-1.332,-0.319,0.00
1.18525,-1.396,-0.354,0.00
1.19539,-1.396,-0.354,0.00
1.20556,-1.453,-0.398,0.00
1.21580,-1.453,-0.398,0.00
1.22595,-1.500,-0.443,0.00
1.23611,-1.500,-0.443,0.00
1.24628,-1.536,-0.481,0.00
1.25641,-1.536,-0.481,0.00
1.26657,-1.562,-0.514,0.00
1.27673,-1.562,-0.514,0.00
1.28688,-1.580,-0.549,0.00
1.29702,-1.580,-0.549,0.00
1.30717,-1.595,-0.586,0.00
1.31733,-1.595,-0.586,0.00
1.32748,-1.612,-0.649,0.00
1.33762,-1.612,-0.649,0.00
1.34809,-1.612,-0.649,0.00
1.35828,-1.629,-0.670,0.00
1.36881,-1.646,-0.688,0.00
1.38059,-1.646,-0.704,0.00
1.39074,-1.659,-0.704,0.00
1.40089,-1.669,-0.704,0.00
1.41104,-1.669,-0.712,0.00
1.42119,-1.672,-0.712,0.00
1.43134,-1.672,-0.716,0.00
1.44161,-1.672,-0.716,0.00
1.45208,-1.672,-0.718,0.00
1.46235,-1.674,-0.719,0.00
1.47262,-1.674,-0.719,0.00
1.48278,-1.674,-0.716,0.00
1.49295,-1.675,-0.716,0.00
1.50310,-1.669,-0.713,0.00
1.51325,-1.669,-0.713,0.00
1.52340,-1.661,-0.711,0.00
1.53357,-1.661,-0.711,0.00
1.54376,-1.661,-0.711,0.00
1.55390,-1.654,-0.707,0.00
1.56406,-1.654,-0.707,0.00
1.57422,-1.650,-0.706,0.00
1.58436,-1.647,-0.707,0.00
1.59450,-1.647,-0.707,0.00
1.60464,-1.647,-0.707,0.00
1.61478,-1.646,-0.710,0.00
1.62494,-1.647,-0.710,0.00
1.63508,-1.647,-0.716,0.00
1.64528,-1.644,-0.727,0.00
1.65542,-1.644,-0.727,0.00
1.66557,-1.643,-0.739,0.00
1.67586,-1.643,-0.739,0.00
1.68609,-1.644,-0.752,0.00
1.69632,-1.644,-0.752,0.00
1.70669,-1.644,-0.760,0.00
1.71701,-1.648,-0.760,0.00
1.72715,-1.649,-0.756,0.00
1.73730,-1.649,-0.756,0.00
1.74750,-1.637,-0.740,0.00
1.75776,-1.637,-0.740,0.00
1.76812,-1.612,-0.715,0.00
1.77872,-1.612,-0.715,0.00
1.78880,-1.584,-0.679,0.00
1.79901,-1.584,-0.679,0.00
1.80924,-1.557,-0.639,0.00
1.81940,-1.557,-0.639,0.00
1.82955,-1.543,-0.595,0.00
1.83979,-1.543,-0.595,0.00
1.84992,-1.546,-0.551,0.00
1.86018,-1.546,-0.551,0.00
1.87040,-1.563,-0.504,0.00
1.88054,-1.563,-0.504,0.00
1.89068,-1.584,-0.465,0.00
1.90082,-1.584,-0.465,0.00
1.91097,-1.607,-0.433,0.00
1.92148,-1.607,-0.433,0.00
1.93190,-1.630,-0.400,0.00
1.94225,-1.630,-0.374,0.00
1.95255,-1.656,-0.374,0.00
1.96287,-1.656,-0.374,0.00
1.97338,-1.656,-0.374,0.00
1.98364,-1.689,-0.344,0.00
1.99378,-1.740,-0.344,0.00
2.00400,-1.740,-0.344,0.00
2.01413,-1.806,-0.343,0.00
2.02433,-1.806,-0.343,0.00
