time,contralateral_sh_el_deg,sh_el_deg,stim_curr
0.00225,0.480,6.425,0.00
0.01443,0.480,6.436,0.00
0.02470,0.474,6.436,0.00
0.03477,0.474,6.445,0.00
0.04494,0.477,6.445,0.00
0.05511,0.491,6.444,0.00
0.06526,0.491,6.444,0.00
0.07563,0.515,6.432,0.00
0.08610,0.515,6.432,0.00
0.09626,0.551,6.420,0.00
0.10643,0.551,6.420,0.00
0.11657,0.581,6.411,0.00
0.12674,0.581,6.411,0.00
0.13692,0.595,6.400,0.00
0.14728,0.595,6.400,0.00
0.15831,0.614,6.391,0.00
0.16858,0.614,6.391,0.00
0.17864,0.628,6.383,0.00
0.18888,0.628,6.383,0.00
0.19918,0.646,6.375,0.00
0.20969,0.646,6.375,0.00
0.21995,0.670,6.371,0.00
0.23099,0.670,6.371,0.00
0.24115,0.689,6.370,0.00
0.25147,0.689,6.370,0.00
0.26185,0.693,6.376,0.00
0.27216,0.693,6.376,0.00
0.28241,0.689,6.386,0.00
0.29257,0.689,6.386,0.00
0.30283,0.699,6.397,0.00
0.31300,0.699,6.397,0.00
0.32320,0.711,6.404,0.00
0.33384,0.711,6.404,0.00
0.34401,0.718,6.404,0.00
0.35461,0.718,6.403,0.00
0.36501,0.719,6.403,0.00
0.37518,0.717,6.403,0.00
0.38533,0.717,6.401,0.00
0.39548,0.700,6.389,0.00
0.40563,0.700,6.389,0.00
0.41716,0.666,6.379,0.00
0.42740,0.666,6.379,0.00
0.43777,0.637,6.369,0.00
0.44812,0.637,6.369,0.00
0.45843,0.637,6.369,0.00
0.46935,0.606,6.355,0.00
0.47953,0.592,6.349,0.00
0.48985,0.592,6.349,0.00
0.50036,0.589,6.347,0.00
0.51146,0.589,6.347,0.00
0.52156,0.583,6.343,0.00
0.53184,0.583,6.343,0.00
0.54197,0.577,6.343,0.00
0.55352,0.581,6.343,0.00
0.56370,0.581,6.331,0.00
0.57385,0.590,6.331,0.00
0.58400,0.590,6.319,0.00
0.59417,0.590,6.295,0.00
0.60434,0.601,6.295,0.00
0.61448,0.604,6.272,0.00
0.62472,0.604,6.272,0.00
0.63486,0.583,6.252,0.00
0.64524,0.583,6.252,0.00
0.65539,0.561,6.241,0.00
0.66559,0.561,6.241,0.00
0.67628,0.555,6.241,0.00
0.68654,0.555,6.233,0.00
0.69700,0.546,6.232,0.00
0.70716,0.546,6.232,0.00
0.71731,0.532,6.229,0.00
0.72744,0.532,6.229,0.00
0.73837,0.519,6.224,0.00
0.74851,0.519,6.224,0.00
0.75865,0.519,6.218,0.00
0.76978,0.519,6.218,0.00
0.78004,0.517,6.211,0.00
0.79023,0.517,6.211,0.00
0.80038,0.522,6.203,0.00
0.81184,0.522,6.203,0.00
