t,v_battery,kp_m1,kd_m1,p_des_m1,v_des_m1,t_des_m1,p_cur_m1,v_cur_m1,t_cur_m1,kp_m2,kd_m2,p_des_m2,v_des_m2,t_des_m2,p_cur_m2,v_cur_m2,t_cur_m2,sh_el,sh_el_dot,sh_hr,el_fe,el_fe_dot,sh_force_des,el_force_des,force_cur,trigger,gravity_support_shoulder,gravity_support_elbow
0.00736,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.033,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.15,0.00
0.01777,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.033,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.15,0.00
0.02797,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.033,0.128,0.243,-12.970,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.03816,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.033,0.128,0.243,-11.061,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.04834,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.033,0.128,0.243,-8.711,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.05852,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.033,0.128,0.243,-6.562,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.06869,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.033,0.128,0.242,-4.773,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.07894,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.033,0.128,0.242,-3.360,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.08914,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.011,0.128,0.242,-2.270,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.09931,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.242,-1.450,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.10948,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.242,-0.844,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.12081,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.242,-0.405,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.13097,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.242,-0.094,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.14113,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.242,0.128,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.15130,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.242,0.277,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.16306,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.242,0.367,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.17323,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.242,0.418,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.18342,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.242,0.449,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.19359,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.241,0.452,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.20376,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.241,0.449,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.21393,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.241,0.435,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.22411,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.241,0.409,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.23428,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.241,0.376,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.24446,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.241,0.354,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.25464,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.241,0.330,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.26480,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.241,0.306,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.27498,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.241,0.277,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.28518,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.241,0.255,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.29535,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.241,0.229,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.30552,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.241,0.210,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.31583,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.241,0.192,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.32640,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.241,0.174,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.33753,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.241,0.160,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.34771,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.241,0.148,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.35788,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.069,-0.077,0.128,0.241,0.133,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
