t,v_battery,kp_m1,kd_m1,p_des_m1,v_des_m1,t_des_m1,p_cur_m1,v_cur_m1,t_cur_m1,kp_m2,kd_m2,p_des_m2,v_des_m2,t_des_m2,p_cur_m2,v_cur_m2,t_cur_m2,sh_el,sh_el_dot,sh_hr,el_fe,el_fe_dot,sh_force_des,el_force_des,force_cur,trigger,gravity_support_shoulder,gravity_support_elbow
0.00264,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.629,-0.011,-0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.15,0.00
0.01283,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.629,-0.011,-0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.15,0.00
0.02343,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.629,-0.011,-0.004,0.156,-0.000,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.03503,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.629,-0.011,-0.004,0.156,-0.000,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.04524,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.629,-0.011,-0.004,0.156,-0.002,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.05572,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.629,-0.011,-0.004,0.156,-0.002,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.06588,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.629,-0.011,-0.004,0.156,-0.001,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.07610,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.629,-0.011,-0.004,0.156,-0.003,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.08626,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.629,-0.011,-0.004,0.156,-0.004,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.09643,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.629,-0.033,-0.004,0.156,-0.003,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.10662,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.630,0.033,-0.004,0.156,-0.003,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.11678,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.630,0.033,-0.004,0.156,-0.002,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.12695,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.630,0.033,-0.004,0.156,-0.002,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.13712,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.630,0.033,-0.004,0.155,-0.003,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.14729,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.630,0.033,-0.004,0.155,-0.002,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.15746,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.630,0.033,-0.004,0.155,-0.001,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.16784,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.630,0.033,-0.004,0.155,-0.001,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.17801,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.630,0.033,-0.004,0.155,-0.001,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.18839,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.630,0.033,-0.004,0.156,0.001,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.19879,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.630,0.033,-0.004,0.156,0.001,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.20919,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.630,0.033,-0.004,0.156,0.001,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.21935,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.630,0.033,-0.004,0.156,0.001,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.22978,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.630,0.033,-0.004,0.156,0.001,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.24176,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.630,0.033,-0.004,0.156,0.001,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.25192,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.630,0.033,-0.004,0.156,0.001,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.26209,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.630,0.033,-0.004,0.156,0.001,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
