t,v_battery,kp_m1,kd_m1,p_des_m1,v_des_m1,t_des_m1,p_cur_m1,v_cur_m1,t_cur_m1,kp_m2,kd_m2,p_des_m2,v_des_m2,t_des_m2,p_cur_m2,v_cur_m2,t_cur_m2,sh_el,sh_el_dot,sh_hr,el_fe,el_fe_dot,sh_force_des,el_force_des,force_cur,trigger,gravity_support_shoulder,gravity_support_elbow
0.00849,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.774,0.033,0.018,1.571,0.016,0.000,0.000,0.000,10.977,5.000,0.000,0.000,0.15,0.00
0.01866,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.774,0.033,0.018,0.295,-12.457,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.02887,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.774,0.033,0.018,0.295,-10.623,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.03903,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.774,0.033,0.018,0.295,-8.366,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.04921,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.774,0.033,0.018,0.295,-6.305,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.05937,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.774,0.033,0.018,0.295,-4.594,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.06953,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.774,0.033,0.018,0.295,-3.229,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.07977,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.774,0.033,0.018,0.295,-2.181,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.08996,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.774,-0.033,0.018,0.294,-1.408,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.10012,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.774,-0.033,0.018,0.294,-0.821,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
