t,v_battery,kp_m1,kd_m1,p_des_m1,v_des_m1,t_des_m1,p_cur_m1,v_cur_m1,t_cur_m1,kp_m2,kd_m2,p_des_m2,v_des_m2,t_des_m2,p_cur_m2,v_cur_m2,t_cur_m2,sh_el,sh_el_dot,sh_hr,el_fe,el_fe_dot,sh_force_des,el_force_des,force_cur,trigger,gravity_support_shoulder,gravity_support_elbow
0.00268,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.034,-0.077,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.15,0.00
0.01288,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.034,-0.077,0.011,0.214,0.004,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.02613,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.034,-0.077,0.011,0.214,0.004,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.03644,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.034,-0.077,0.011,0.214,0.003,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.04662,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.034,-0.077,0.011,0.214,0.010,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.05682,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.034,-0.077,0.011,0.214,0.008,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.06699,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.034,-0.077,0.011,0.214,0.006,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.07788,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.034,-0.033,0.011,0.215,0.015,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.08924,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.034,0.033,0.011,0.215,0.015,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.10093,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.034,0.033,0.011,0.215,0.008,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.11228,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.034,0.033,0.011,0.215,0.013,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.12245,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.034,0.033,0.011,0.215,0.009,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
