t,v_battery,kp_m1,kd_m1,p_des_m1,v_des_m1,t_des_m1,p_cur_m1,v_cur_m1,t_cur_m1,kp_m2,kd_m2,p_des_m2,v_des_m2,t_des_m2,p_cur_m2,v_cur_m2,t_cur_m2,sh_el,sh_el_dot,sh_hr,el_fe,el_fe_dot,sh_force_des,el_force_des,force_cur,trigger,gravity_support_shoulder,gravity_support_elbow
0.00536,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.330,-0.033,0.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.15,0.00
0.01791,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.330,-0.033,0.150,0.194,0.005,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.03042,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.330,-0.033,0.150,0.194,0.004,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.04539,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.330,-0.033,0.150,0.194,0.003,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.05559,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.330,-0.033,0.150,0.194,0.003,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.06577,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.330,-0.033,0.150,0.195,0.015,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.07600,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.330,-0.033,0.150,0.195,0.023,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.08618,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.330,-0.033,0.150,0.195,0.017,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.09634,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.330,-0.033,0.150,0.196,0.031,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.10672,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-3.330,-0.033,0.150,0.197,0.046,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
