t,v_battery,kp_m1,kd_m1,p_des_m1,v_des_m1,t_des_m1,p_cur_m1,v_cur_m1,t_cur_m1,kp_m2,kd_m2,p_des_m2,v_des_m2,t_des_m2,p_cur_m2,v_cur_m2,t_cur_m2,sh_el,sh_el_dot,sh_hr,el_fe,el_fe_dot,sh_force_des,el_force_des,force_cur,trigger,gravity_support_shoulder,gravity_support_elbow
0.00398,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.033,-0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.15,0.00
0.02568,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.033,-0.011,1.571,0.016,0.000,0.000,0.000,10.977,5.000,0.000,0.000,0.15,0.00
0.03585,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.033,-0.011,0.273,-21.578,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.04602,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.033,-0.011,0.273,-17.375,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.05802,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.033,-0.011,0.273,-13.205,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.06820,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.033,-0.011,0.273,-9.715,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.07838,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.033,-0.011,0.273,-6.947,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.08857,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,-0.033,-0.011,0.273,-4.812,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.09875,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.273,-3.198,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.10936,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.273,-1.998,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.11954,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.273,-1.120,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.12971,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.273,-0.488,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.13991,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.273,-0.038,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.15008,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.273,0.274,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.16024,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.273,0.481,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.17041,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.273,0.610,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.18057,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.273,0.682,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.19086,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.273,0.714,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.20103,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.273,0.718,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.21220,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.273,0.703,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.22238,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.273,0.675,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.23255,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.273,0.635,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.24275,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.273,0.596,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.25293,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.273,0.548,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.26477,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.272,0.501,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.27497,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.272,0.462,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.28514,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.272,0.418,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.29531,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.445,0.055,-0.011,0.272,0.384,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
