t,v_battery,kp_m1,kd_m1,p_des_m1,v_des_m1,t_des_m1,p_cur_m1,v_cur_m1,t_cur_m1,kp_m2,kd_m2,p_des_m2,v_des_m2,t_des_m2,p_cur_m2,v_cur_m2,t_cur_m2,sh_el,sh_el_dot,sh_hr,el_fe,el_fe_dot,sh_force_des,el_force_des,force_cur,trigger,gravity_support_shoulder,gravity_support_elbow
0.02267,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.015,0.077,0.055,0.266,-21.705,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.03283,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.015,0.077,0.055,0.265,-17.486,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.04375,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.015,0.077,0.055,0.265,-13.305,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.05398,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.015,0.077,0.055,0.265,-9.789,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.06444,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.015,0.077,0.055,0.265,-6.997,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.07635,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.015,0.077,0.055,0.265,-4.847,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.08713,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.015,0.077,0.055,0.263,-3.283,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.09779,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.015,0.077,0.055,0.261,-2.101,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.10968,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.015,0.077,0.055,0.261,-1.189,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.12027,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.015,-0.099,0.055,0.261,-0.530,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
