t,v_battery,kp_m1,kd_m1,p_des_m1,v_des_m1,t_des_m1,p_cur_m1,v_cur_m1,t_cur_m1,kp_m2,kd_m2,p_des_m2,v_des_m2,t_des_m2,p_cur_m2,v_cur_m2,t_cur_m2,sh_el,sh_el_dot,sh_hr,el_fe,el_fe_dot,sh_force_des,el_force_des,force_cur,trigger,gravity_support_shoulder,gravity_support_elbow
0.00548,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,1.571,0.016,0.000,0.000,0.000,10.977,5.000,0.000,0.000,0.15,0.00
0.02507,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,1.571,0.016,0.000,0.000,0.000,10.977,5.000,0.000,0.000,0.15,0.00
0.03550,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.251,-21.955,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.04568,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.251,-17.679,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.06334,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.251,-13.436,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.07369,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,-0.033,-0.018,0.251,-7.067,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.08386,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.251,-4.895,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.09494,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.251,-3.254,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.10599,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,-2.037,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.11680,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,-1.139,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.12775,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,-0.495,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.13867,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,-0.038,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.14963,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.276,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.16057,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.487,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.17083,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.620,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.18116,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.693,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.19159,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.727,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.20194,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.731,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.21222,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.716,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.22238,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.688,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.23254,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.655,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.24312,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.612,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.25443,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.572,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.26460,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.526,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.27480,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.483,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.28518,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.442,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.29541,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.400,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.30601,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.364,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.31758,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.330,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.32826,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.288,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.33935,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.262,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.34983,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.230,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.36062,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.210,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.37344,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.192,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.38564,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.250,0.166,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.39581,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.249,0.146,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.40599,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.249,0.134,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.41633,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.249,0.123,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.42649,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.249,0.113,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.43666,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.249,0.094,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.44796,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.249,0.084,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.45813,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.249,0.078,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.46831,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.249,0.072,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.48048,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.466,0.033,-0.018,0.249,0.066,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
