t,v_battery,kp_m1,kd_m1,p_des_m1,v_des_m1,t_des_m1,p_cur_m1,v_cur_m1,t_cur_m1,kp_m2,kd_m2,p_des_m2,v_des_m2,t_des_m2,p_cur_m2,v_cur_m2,t_cur_m2,sh_el,sh_el_dot,sh_hr,el_fe,el_fe_dot,sh_force_des,el_force_des,force_cur,trigger,gravity_support_shoulder,gravity_support_elbow
0.01948,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-2.453,0.033,-0.004,0.312,0.003,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.02966,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-2.453,0.033,-0.004,0.312,0.007,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.03985,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-2.453,0.033,-0.004,0.313,0.009,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.05012,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-2.453,0.033,-0.004,0.313,0.007,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.06252,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-2.453,0.033,-0.004,0.313,0.005,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.07419,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-2.453,0.033,-0.004,0.313,0.006,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.08802,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-2.453,-0.033,-0.004,0.313,0.009,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.09818,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-2.453,-0.055,-0.004,0.313,0.007,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.11300,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-2.453,-0.055,-0.004,0.313,0.005,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.12322,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-2.453,-0.055,-0.004,0.313,0.006,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.13363,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-2.453,-0.055,-0.004,0.313,0.004,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.14381,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-2.453,-0.055,-0.004,0.313,0.005,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.15398,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-2.453,-0.055,-0.004,0.313,0.003,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.16419,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-2.453,-0.055,-0.004,0.313,0.002,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.17503,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-2.453,-0.055,-0.004,0.313,0.001,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
