t,v_battery,kp_m1,kd_m1,p_des_m1,v_des_m1,t_des_m1,p_cur_m1,v_cur_m1,t_cur_m1,kp_m2,kd_m2,p_des_m2,v_des_m2,t_des_m2,p_cur_m2,v_cur_m2,t_cur_m2,sh_el,sh_el_dot,sh_hr,el_fe,el_fe_dot,sh_force_des,el_force_des,force_cur,trigger,gravity_support_shoulder,gravity_support_elbow
0.00296,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.140,-0.055,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.15,0.00
0.01316,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.140,-0.055,0.040,0.333,-12.087,0.000,0.000,0.000,5.099,5.000,0.000,0.000,0.15,0.00
0.02334,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.140,-0.055,0.040,0.331,-10.333,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.03407,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.140,-0.055,0.040,0.330,-8.168,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.05000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.140,-0.055,0.040,0.330,-8.168,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.06032,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.140,-0.055,0.040,0.330,-4.472,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.07049,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.140,-0.055,0.040,0.330,-3.144,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.08065,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.140,-0.055,0.040,0.329,-2.154,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.09141,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.140,-0.055,0.040,0.328,-1.399,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.10158,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.140,-0.033,0.040,0.328,-0.832,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.11187,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.140,-0.033,0.040,0.328,-0.407,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.12205,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.140,-0.033,0.040,0.328,-0.103,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.13227,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.140,-0.033,0.040,0.328,0.109,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.14341,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.140,-0.033,0.040,0.328,0.242,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.15363,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.140,-0.033,0.040,0.328,0.346,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.16380,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.140,-0.033,0.040,0.329,0.443,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.17398,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.140,-0.033,0.040,0.331,0.513,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.18416,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,3.140,-0.033,0.040,0.331,0.497,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
