t,v_battery,kp_m1,kd_m1,p_des_m1,v_des_m1,t_des_m1,p_cur_m1,v_cur_m1,t_cur_m1,kp_m2,kd_m2,p_des_m2,v_des_m2,t_des_m2,p_cur_m2,v_cur_m2,t_cur_m2,sh_el,sh_el_dot,sh_hr,el_fe,el_fe_dot,sh_force_des,el_force_des,force_cur,trigger,gravity_support_shoulder,gravity_support_elbow
0.00329,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.853,-0.099,0.150,1.571,0.016,0.000,0.000,0.000,10.977,5.000,0.000,0.000,0.15,0.00
0.04258,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.853,-0.011,0.150,0.214,-13.248,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.05729,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.853,-0.011,0.150,0.214,-13.248,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.07681,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.853,-0.011,0.150,0.214,-8.894,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.10896,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.853,-0.011,0.150,0.214,-8.894,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.11920,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.853,-0.011,0.150,0.215,-6.689,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.12976,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.853,-0.055,0.150,0.215,-6.689,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.14882,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.853,-0.055,0.150,0.215,-4.862,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.16967,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.853,-0.055,0.150,0.215,-3.416,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.19004,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.853,-0.055,0.150,0.215,-3.416,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.20021,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.853,-0.055,0.150,0.215,-1.457,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.21210,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.853,-0.055,0.150,0.215,-1.457,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.23118,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.853,-0.055,0.150,0.216,-0.834,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.25410,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,1.853,-0.055,0.150,0.216,-0.391,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
