t,v_battery,kp_m1,kd_m1,p_des_m1,v_des_m1,t_des_m1,p_cur_m1,v_cur_m1,t_cur_m1,kp_m2,kd_m2,p_des_m2,v_des_m2,t_des_m2,p_cur_m2,v_cur_m2,t_cur_m2,sh_el,sh_el_dot,sh_hr,el_fe,el_fe_dot,sh_force_des,el_force_des,force_cur,trigger,gravity_support_shoulder,gravity_support_elbow
0.00476,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.742,-0.033,-0.004,1.571,0.016,0.000,0.000,0.000,34.260,5.000,0.000,0.000,0.50,0.00
0.01490,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.742,-0.033,-0.004,1.571,0.013,0.000,0.000,0.000,34.260,5.000,0.000,0.000,0.50,0.00
0.02504,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.742,-0.033,-0.004,1.571,0.010,0.000,0.000,0.000,34.260,5.000,0.000,0.000,0.50,0.00
0.03518,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.742,-0.033,-0.004,1.571,0.008,0.000,0.000,0.000,34.260,5.000,0.000,0.000,0.50,0.00
0.04531,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.742,-0.033,-0.004,1.571,0.005,0.000,0.000,0.000,34.260,5.000,0.000,0.000,0.50,0.00
0.05545,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.742,-0.033,-0.004,1.571,0.004,0.000,0.000,0.000,34.260,5.000,0.000,0.000,0.50,0.00
0.06559,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.742,-0.033,-0.004,1.571,0.002,0.000,0.000,0.000,34.260,5.000,0.000,0.000,0.50,0.00
0.07590,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.742,-0.033,-0.004,1.571,0.002,0.000,0.000,0.000,34.260,5.000,0.000,0.000,0.50,0.00
0.08604,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.742,-0.033,-0.004,1.571,0.001,0.000,0.000,0.000,34.260,5.000,0.000,0.000,0.50,0.00
0.09617,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.742,-0.033,-0.004,1.571,0.000,0.000,0.000,0.000,34.260,5.000,0.000,0.000,0.50,0.00
0.10632,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.742,-0.033,-0.004,1.571,-0.000,0.000,0.000,0.000,34.260,5.000,0.000,0.000,0.50,0.00
0.11646,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-0.742,0.011,-0.004,1.571,-0.000,0.000,0.000,0.000,34.260,5.000,0.000,0.000,0.50,0.00
