t,v_battery,kp_m1,kd_m1,p_des_m1,v_des_m1,t_des_m1,p_cur_m1,v_cur_m1,t_cur_m1,kp_m2,kd_m2,p_des_m2,v_des_m2,t_des_m2,p_cur_m2,v_cur_m2,t_cur_m2,sh_el,sh_el_dot,sh_hr,el_fe,el_fe_dot,sh_force_des,el_force_des,force_cur,trigger,gravity_support_shoulder,gravity_support_elbow
0.03888,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,0.099,0.216,1.571,0.016,0.000,0.000,0.000,34.260,5.000,0.000,0.000,0.50,0.00
0.04911,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,0.099,0.216,0.391,-9.827,0.000,0.000,0.000,5.162,5.000,0.000,0.000,0.50,0.00
0.05938,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,0.099,0.216,0.391,-7.739,0.000,0.000,0.000,5.164,5.000,0.000,0.000,0.50,0.00
0.06956,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,0.099,0.216,0.391,-5.831,0.000,0.000,0.000,5.166,5.000,0.000,0.000,0.50,0.00
0.07973,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,0.099,0.216,0.391,-4.238,0.000,0.000,0.000,5.170,5.000,0.000,0.000,0.50,0.00
0.09007,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,0.099,0.216,0.391,-2.979,0.000,0.000,0.000,5.173,5.000,0.000,0.000,0.50,0.00
0.10016,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,0.099,0.216,0.391,-2.016,0.000,0.000,0.000,5.172,5.000,0.000,0.000,0.50,0.00
0.11033,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,0.099,0.216,0.391,-1.293,0.000,0.000,0.000,5.169,5.000,0.000,0.000,0.50,0.00
0.12051,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,0.099,0.216,0.391,-0.753,0.000,0.000,0.000,5.171,5.000,0.000,0.000,0.50,0.00
0.13139,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,0.011,0.216,0.390,-0.368,0.000,0.000,0.000,5.165,5.000,0.000,0.000,0.50,0.00
0.14156,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,-0.011,0.216,0.390,-0.093,0.000,0.000,0.000,5.160,5.000,0.000,0.000,0.50,0.00
0.15173,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,-0.011,0.216,0.390,0.107,0.000,0.000,0.000,5.161,5.000,0.000,0.000,0.50,0.00
0.16190,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,-0.011,0.216,0.390,0.241,0.000,0.000,0.000,5.161,5.000,0.000,0.000,0.50,0.00
0.17207,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,-0.011,0.216,0.390,0.324,0.000,0.000,0.000,5.158,5.000,0.000,0.000,0.50,0.00
0.18223,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,-0.011,0.216,0.390,0.376,0.000,0.000,0.000,5.158,5.000,0.000,0.000,0.50,0.00
0.19251,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,-0.011,0.216,0.390,0.402,0.000,0.000,0.000,5.158,5.000,0.000,0.000,0.50,0.00
0.20276,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,-0.011,0.216,0.390,0.409,0.000,0.000,0.000,5.158,5.000,0.000,0.000,0.50,0.00
0.21292,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,-0.011,0.216,0.390,0.402,0.000,0.000,0.000,5.157,5.000,0.000,0.000,0.50,0.00
0.22309,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,-0.011,0.216,0.390,0.388,0.000,0.000,0.000,5.155,5.000,0.000,0.000,0.50,0.00
0.23325,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,-0.011,0.216,0.390,0.370,0.000,0.000,0.000,5.155,5.000,0.000,0.000,0.50,0.00
0.24360,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,-1.969,-0.011,0.216,0.390,0.348,0.000,0.000,0.000,5.155,5.000,0.000,0.000,0.50,0.00
