t,v_battery,kp_m1,kd_m1,p_des_m1,v_des_m1,t_des_m1,p_cur_m1,v_cur_m1,t_cur_m1,kp_m2,kd_m2,p_des_m2,v_des_m2,t_des_m2,p_cur_m2,v_cur_m2,t_cur_m2,sh_el,sh_el_dot,sh_hr,el_fe,el_fe_dot,sh_force_des,el_force_des,force_cur,trigger,gravity_support_shoulder,gravity_support_elbow
0.00565,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.587,-0.033,0.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.50,0.00
0.01615,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.587,-0.033,0.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.50,0.00
0.02636,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.587,-0.033,0.150,0.458,-10.861,0.000,0.000,0.000,7.135,5.000,0.000,0.000,0.50,0.00
0.04254,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.587,-0.033,0.150,0.458,-10.861,0.000,0.000,0.000,7.135,5.000,0.000,0.000,0.50,0.00
0.05363,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.587,-0.033,0.150,0.458,-7.301,0.000,0.000,0.000,6.836,5.000,0.000,0.000,0.50,0.00
0.06380,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.587,-0.033,0.150,0.458,-5.507,0.000,0.000,0.000,6.832,5.000,0.000,0.000,0.50,0.00
0.07397,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.587,-0.033,0.150,0.457,-4.011,0.000,0.000,0.000,6.828,5.000,0.000,0.000,0.50,0.00
0.08415,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.587,-0.033,0.150,0.457,-2.819,0.000,0.000,0.000,6.831,5.000,0.000,0.000,0.50,0.00
0.09595,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.587,-0.033,0.150,0.457,-1.905,0.000,0.000,0.000,6.833,5.000,0.000,0.000,0.50,0.00
0.10612,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.587,-0.033,0.150,0.457,-1.225,0.000,0.000,0.000,6.828,5.000,0.000,0.000,0.50,0.00
0.11765,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.587,0.033,0.150,0.457,-0.725,0.000,0.000,0.000,6.820,5.000,0.000,0.000,0.50,0.00
0.12783,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.587,0.033,0.150,0.456,-0.367,0.000,0.000,0.000,6.806,5.000,0.000,0.000,0.50,0.00
0.13818,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.587,0.033,0.150,0.456,-0.094,0.000,0.000,0.000,6.806,5.000,0.000,0.000,0.50,0.00
